date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2023-10-08,14792.801591512187,3,2,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.02814060614118911,0.002515892968567801,0.002512733408154135
2023-10-09,14475.389180000071,3,2,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.011055990761868502,-0.021457220902242113,-0.021690774044162264
2023-10-10,14708.979102873827,3,2,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,-0.048403632656699544,0.016137039216637783,0.016008221179387907
2023-10-11,14803.084644173046,3,2,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,-0.010072402891782824,0.006397829559825263,0.006377450324019982
2023-10-12,14720.546048531125,3,2,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.008558430598759869,-0.005575770025365023,-0.005591372655868175
2023-10-13,14773.89222610631,3,2,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.005112482413297342,0.003623926544525702,0.003617375943885885
2023-10-14,14848.489982156902,3,2,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.004481601191077534,0.005049296076410581,0.005036591130385912
2023-10-15,14915.722028824162,3,2,0.5,0.5,0.0,1.0,0.022709908581156076,0.004527870965199243,0.004517650995650454
2023-10-16,14978.362688515652,3,2,0.5,0.5,0.0,1.0,0.021627752831823027,0.004199639787496601,0.004190845912465278
2023-10-17,14841.93157647194,3,2,0.5,0.5,0.0,1.0,0.007846797963910456,-0.009108546433337361,-0.009150282874588593
2023-10-18,14683.684179961578,3,2,0.5,0.5,0.0,1.0,0.0036838832327857913,-0.010662183402140313,-0.010719431771633155
2023-10-19,14810.841275762461,3,2,0.5,0.5,0.0,1.0,-0.029839731405415616,0.008659754203540482,0.008622473604717977
2023-10-20,15151.81671770209,3,2,0.5,0.5,0.0,1.0,0.014180906562885875,0.023022017155610586,0.02276100888413827
2023-10-21,15541.363657170836,3,2,0.5,0.5,0.0,1.0,0.0003660238695511273,0.025709586297571363,0.025384652390284868
2023-10-22,15719.21833679399,1,3,0.5,0.5,-1.3877787807814457e-17,1.0,0.043792500000000005,0.011443955855256815,0.011378969125990825
2023-10-23,15369.299100231787,1,3,0.5,0.5,-1.3877787807814457e-17,1.0,0.01592421872889458,-0.022260600308804612,-0.022512106938195296
2023-10-24,15293.466191578713,1,3,0.5,0.5,-1.3877787807814457e-17,1.0,-0.0019491449637499556,-0.004934051198986045,-0.004946263817955743
2023-10-25,15176.078011684662,1,3,0.5,0.5,-1.3877787807814457e-17,1.0,1.734723475976807e-18,-0.007675707941126597,-0.007705317802406145
2023-10-26,15006.337499049083,1,3,0.5,0.5,-1.3877787807814457e-17,1.0,0.010564500000000001,-0.011184741703679224,-0.01124776127284943
2023-10-27,15070.251827469127,1,3,0.5,0.5,-1.3877787807814457e-17,1.0,1.734723475976807e-18,0.004259155734974929,0.004250111203471924
2023-10-28,15025.6995931071,1,3,0.5,0.5,-1.3877787807814457e-17,1.0,0.0027097902046090833,-0.002956303243773273,-0.0029606817397784357
2023-10-29,15101.803394123195,4,2,0.5,0.5,-5.551115123125783e-17,1.0,0.021905850613918504,0.005064908994387718,0.005052125489516418
2023-10-30,14754.506362375696,4,2,0.5,0.5,-5.551115123125783e-17,1.0,0.02117768361054498,-0.022997056886772116,-0.0232656145455007
2023-10-31,14889.093970136857,4,2,0.5,0.5,-5.551115123125783e-17,1.0,0.004768070529617058,0.009121796721329956,0.009080444414941036
2023-11-01,15146.585650840934,4,2,0.5,0.5,-5.551115123125783e-17,1.0,0.006232244807410447,0.017293979151487004,0.017146140340882056
2023-11-02,14880.719543729789,4,2,0.5,0.5,-5.551115123125783e-17,1.0,0.005286485144447059,-0.017552873844963512,-0.017708752305116565
2023-11-03,15080.538251623404,4,2,0.5,0.5,-5.551115123125783e-17,1.0,-0.001325055574394659,0.013428027274246412,0.013338670352037597
2023-11-04,15293.939893502304,4,2,0.5,0.5,-5.551115123125783e-17,1.0,0.009625301341310174,0.0141507974263404,0.01405160952254308
2023-11-05,15685.010863864169,2,2,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.01633764226739609,0.025570322172379756,0.025248869726173025
