rank,symbol,name,price,market_cap,circulating_supply,total_supply,max_supply,effective_max_supply,circulating_pct,potential_dilution_pct,locked_tokens,volume_24h,market_cap_dominance,timestamp
45,FIL,Filecoin,3.173638940249249,2243954456.6318774,707060412.0,1958830529.0,,1958830529.0,36.09604820489297,177.0386371171916,1251770117.0,3487174941.153525,0.0646,2025-11-08T01:49:16.629504
46,ONDO,Ondo,0.6738332828555678,2128711797.1598108,3159107529.0,10000000000.0,,10000000000.0,31.59107529,216.54509725300332,6840892471.0,142466120.61294776,0.0613,2025-11-08T01:49:16.629506
47,POL,Polygon (prev. MATIC),0.18407016135487161,1939102296.404148,10534582477.307247,10534582487.307247,,10534582487.307247,99.99999990507455,9.492545168772657e-08,10.0,157191607.323221,0.0558,2025-11-08T01:49:16.629508
48,WLD,Worldcoin,0.8324930509542604,1890170366.9819438,2270493867.564782,10000000000.0,,10000000000.0,22.70493867564782,340.4328125636163,7729506132.435218,330868899.3049817,0.0544,2025-11-08T01:49:16.629510
49,PI,Pi,0.22574234211296945,1874660080.3161252,8304423807.997787,100000000000.0,100000000000.0,100000000000.0,8.304423807997788,1104.1774638680224,91695576192.00221,39218159.26618967,0.054,2025-11-08T01:49:16.629511
50,ARB,Arbitrum,0.30241268467546367,1666200722.540196,5509691911.0,10000000000.0,,10000000000.0,55.096919109999995,81.49835165983022,4490308089.0,311930024.5924423,0.048,2025-11-08T01:49:16.629513
51,KCS,KuCoin Token,12.731277203175454,1651614036.3515406,129728856.73556715,142228856.73556715,200000000.0,200000000.0,64.86442836778357,54.16770411202347,70271143.26443285,12413495.56104615,0.0476,2025-11-08T01:49:16.629514
52,ALGO,Algorand,0.18228482718387168,1602563293.9624977,8791534208.966188,10000000000.0,10000000000.0,10000000000.0,87.91534208966189,13.74578955515339,1208465791.0338116,104272837.05287501,0.0461,2025-11-08T01:49:16.629515
53,TRUMP,OFFICIAL TRUMP,7.677675603042917,1535529248.1403527,199999235.124205,999999262.036981,999999993.45,999999993.45,19.999923643419997,400.001908921788,800000758.325795,724963522.3472055,0.0442,2025-11-08T01:49:16.629517
54,XAUt,Tether Gold,3990.2038588962296,1515230603.2794938,379737.6417,522089.3,,522089.3,72.73423180670433,37.486844249288445,142351.6583,17981663458.633045,0.0436,2025-11-08T01:49:16.629556
55,VET,VeChain,0.017108219953543606,1471050997.17062,85985041177.0,85985041177.0,86712634466.0,86712634466.0,99.1609143310191,0.8461858935465891,727593289.0,74926420.68904214,0.0424,2025-11-08T01:49:16.629557
56,ATOM,Cosmos,3.0795228530676524,1467982522.0892415,476691550.0,476691550.0,,476691550.0,100.0,0.0,0.0,182264497.12799707,0.0423,2025-11-08T01:49:16.629560
57,PUMP,Pump.fun,0.0041018104388874585,1452040895.3661604,354000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,35.4,182.48587570621467,646000000000.0,351548534.32007635,0.0418,2025-11-08T01:49:16.629563
58,KAS,Kaspa,0.05187682987180402,1395187678.576427,26894235480.92973,26894235480.92973,28704026601.0,28704026601.0,93.69499218619308,6.7292900791084564,1809791120.0702705,83446068.64427428,0.0402,2025-11-08T01:49:16.629565
59,PAXG,PAX Gold,3996.6373139604925,1330688027.2604156,332951.91,332951.91,,332951.91,100.0,0.0,0.0,156298849.83424732,0.0383,2025-11-08T01:49:16.629566
60,IP,Story,3.96395771870379,1280208783.0165975,322962270.0,1017345606.0,,1017345606.0,31.745580665534423,215.00447590983308,694383336.0,62394366.40371931,0.0369,2025-11-08T01:49:16.629567
61,SKY,Sky,0.05506615517624616,1260671651.4951272,22893765643.528023,23462665147.365967,23462665147.0,23462665147.0,97.57529888481268,2.4849538181273507,568899503.4719772,21417327.15916873,0.0363,2025-11-08T01:49:16.629569
62,RENDER,Render,2.3988038337725577,1243982765.3898513,518584616.1640741,533344789.44407415,644168762.0,644168762.0,80.50446509606968,24.216712552111748,125584145.83592588,280630729.84480345,0.0358,2025-11-08T01:49:16.629570
63,FLR,Flare,0.01578554886580582,1235988779.6761806,78298752243.80333,104273853115.42546,,104273853115.42546,75.08953577953132,33.17434841201807,25975100871.62213,11642036.43233833,0.0356,2025-11-08T01:49:16.629571
64,DASH,Dash,96.93900214144183,1209371178.5558693,12475589.30709127,12475589.30709127,18900000.0,18900000.0,66.00840903222894,51.495849492713106,6424410.69290873,937970621.1794167,0.0348,2025-11-08T01:49:16.629573
65,JUP,Jupiter,0.3570420680698641,1149207337.3520675,3218688888.86,6999010136.428871,7000000000.0,7000000000.0,45.981269840857145,117.47985722469964,3781311111.14,74168360.05973738,0.0331,2025-11-08T01:49:16.629574
66,SEI,Sei,0.18160909642871317,1134855064.6331062,6248888888.0,10000000000.0,,10000000000.0,62.488888880000005,60.02844952489737,3751111112.0,186384060.48720315,0.0327,2025-11-08T01:49:16.629576
67,BONK,Bonk,1.3437888792370932e-05,1103728119.5165448,82135530109697.17,87995305350051.97,88872433754423.19,88872433754423.19,92.4195801103616,8.202179538779937,6736903644726.016,261624276.64325824,0.0318,2025-11-08T01:49:16.629578
68,QNT,Quant,88.42358462629979,1067514770.2141452,12072738.0,14881364.0,14881364.0,14881364.0,81.1265553345782,23.264200714038523,2808626.0,31172766.60693744,0.0307,2025-11-08T01:49:16.629579
69,RLUSD,Ripple USD,0.9999255095108462,1027621528.8061293,1027698082.539,1027698082.539,,1027698082.539,100.0,0.0,0.0,115588492.04244846,0.0296,2025-11-08T01:49:16.629581
70,XDC,XDC Network,0.057231659247613566,1016200842.6084466,17755921389.8,38031498519.45,,38031498519.45,46.6874093344476,114.19050965892106,20275577129.649998,39206542.9608074,0.0293,2025-11-08T01:49:16.629582
71,PENGU,Pudgy Penguins,0.015875377257633192,997932502.4936354,62860396090.04,88888888888.0,,88888888888.0,70.71794560200219,41.406822764332084,26028492797.96,299790168.04402226,0.0287,2025-11-08T01:49:16.629584
72,GT,GateToken,12.292255933612564,986736740.0270504,80273039.0057099,117344473.53114802,300000000.0,300000000.0,26.757679668569967,273.72448298445596,219726960.9942901,8941140.60444757,0.0284,2025-11-08T01:49:16.629585
73,FDUSD,First Digital USD,0.9972531586650377,983484009.8212715,986192925.312768,986192925.312768,,986192925.312768,100.0,0.0,0.0,5839676400.359656,0.0283,2025-11-08T01:49:16.629586
74,VIRTUAL,Virtuals Protocol,1.4885751572903376,976627397.0002012,656082020.5934123,1000000000.0,1000000000.0,1000000000.0,65.60820205934122,52.419967109527136,343917979.4065877,715539846.5223321,0.0281,2025-11-08T01:49:16.629587
75,IMX,Immutable,0.4442941350838218,883688829.2064347,1988972528.3898141,2000000000.0,2000000000.0,2000000000.0,99.44862641949071,0.5544305641623529,11027471.610185862,92896074.79502344,0.0254,2025-11-08T01:49:16.629589
76,AERO,Aerodrome Finance,0.9776316850805998,882338969.4917632,902526977.1396779,1780501856.5008662,,1780501856.5008662,50.68947127712467,97.27962726872707,877974879.3611883,96895636.80251336,0.0254,2025-11-08T01:49:16.629590
77,FET,Artificial Superintelligence Alliance,0.36735091494468075,867118976.3206692,2360464996.939638,2714384546.672,2719493897.0,2719493897.0,86.79795161679078,15.21009210159209,359028900.06036186,1065978409.5283387,0.025,2025-11-08T01:49:16.629592
78,TIA,Celestia,1.0354625951598053,865526780.2426294,835884158.721398,1151486492.715383,,1151486492.715383,72.59174675599138,37.7567071586502,315602333.99398506,243713926.19622624,0.0249,2025-11-08T01:49:16.629595
79,CAKE,PancakeSwap,2.4941312364443453,855453516.5759981,342986569.4619742,357314802.64276767,450000000.0,450000000.0,76.21923765821649,31.200472574157175,107013430.5380258,164808639.31655264,0.0246,2025-11-08T01:49:16.629596
80,INJ,Injective,8.276325787821605,827392030.766431,99970935.41,100000000.0,,100000000.0,99.97093541,0.02907303995986845,29064.590000003576,227600652.54166758,0.0238,2025-11-08T01:49:16.629598
81,OP,Optimism,0.4265567679668121,808995156.3098053,1896570907.0,4294967296.0,4294967296.0,4294967296.0,44.15798250120133,126.45962142242225,2398396389.0,190569481.60769004,0.0233,2025-11-08T01:49:16.629599
82,STX,Stacks,0.43009034405062546,778299326.5673896,1809618228.66634,1809618228.66634,,1809618228.66634,100.0,0.0,0.0,45064644.19103672,0.0224,2025-11-08T01:49:16.629600
