symbol,type,base,quote,last_price,base_volume_24h,notional_volume_24h,bid,ask,high_24h,low_24h,change_24h,percentage_24h,active
SCR/USDC:USDC,swap,SCR,USDC,0.28804,0,124574.583101,0.28793,0.28827,,,,,True
BLAST/USDC:USDC,swap,BLAST,USDC,0.002059,0,124089.933395,0.002057,0.002061,,,,,True
IOTA/USDC:USDC,swap,IOTA,USDC,0.19127,0,119731.47158,0.191133,0.191449,,,,,True
MANTA/USDC:USDC,swap,MANTA,USDC,0.19656,0,109350.640347,0.19643,0.19668,,,,,True
XAI/USDC:USDC,swap,XAI,USDC,0.04282,0,109203.97231,0.04278,0.04286,,,,,True
KLUNC/USDC:USDC,swap,KLUNC,USDC,0.056108,0,106848.001813,0.056078,0.056162,,,,,True
BANANA/USDC:USDC,swap,BANANA,USDC,19.1055,0,105602.9686,19.09437,19.11756,,,,,True
RUNE/USDC:USDC,swap,RUNE,USDC,1.1958,0,105363.69811,1.19495,1.19635,,,,,True
ACE/USDC:USDC,swap,ACE,USDC,0.4735,0,104585.808822,0.4729,0.4739,,,,,True
SUSHI/USDC:USDC,swap,SUSHI,USDC,0.72372,0,104512.412983,0.7235,0.72404,,,,,True
ANZ/USDC,spot,ANZ,USDC,0.001726,0,98079.09393525,,,,,,,True
USDXL/USDC,spot,USDXL,USDC,0.98486,0,87483.6369065999,,,,,,,True
MINA/USDC:USDC,swap,MINA,USDC,0.17038,0,84630.66869,0.170256,0.170599,,,,,True
YGG/USDC:USDC,swap,YGG,USDC,0.1735,0,84007.69975,0.173295,0.173638,,,,,True
SAGA/USDC:USDC,swap,SAGA,USDC,0.21762,0,81813.10174,0.21743,0.21782,,,,,True
NOT/USDC:USDC,swap,NOT,USDC,0.001615,0,79278.687687,0.001614,0.001616,,,,,True
USTC/USDC:USDC,swap,USTC,USDC,0.011467,0,77370.913204,0.01146,0.011483,,,,,True
MEW/USDC:USDC,swap,MEW,USDC,0.002839,0,76759.479511,0.002835,0.002843,,,,,True
TNSR/USDC:USDC,swap,TNSR,USDC,0.10243,0,75642.472863,0.10233,0.10253,,,,,True
BIGTIME/USDC:USDC,swap,BIGTIME,USDC,0.049819,0,74032.652044,0.049791,0.049854,,,,,True
FTT/USDC:USDC,swap,FTT,USDC,0.92525,0,72998.555923,0.92372,0.92719,,,,,True
POLYX/USDC:USDC,swap,POLYX,USDC,0.120405,0,71222.28447,0.120351,0.120484,,,,,True
AAVE0/USDC,spot,AAVE0,USDC,295.535,0,62249.0507,,,,,,,True
PEOPLE/USDC:USDC,swap,PEOPLE,USDC,0.017981,0,62219.166003,0.017973,0.017989,,,,,True
ARK/USDC:USDC,swap,ARK,USDC,0.449625,0,59871.87911,0.449468,0.449912,,,,,True
LIQD/USDC,spot,LIQD,USDC,0.005689,0,58990.5497523,,,,,,,True
THBILL/USDC,spot,THBILL,USDC,1.00465,0,55708.375278,,,,,,,True
WCT/USDC:USDC,swap,WCT,USDC,0.254165,0,55098.6758,0.25399,0.254351,,,,,True
LINK0/USDC,spot,LINK0,USDC,23.404,0,52738.40408,,,,,,,True
WOULD/USDC,spot,WOULD,USDC,0.15226,0,49387.675016,,,,,,,True
AVAX0/USDC,spot,AVAX0,USDC,30.315,0,44022.70352,,,,,,,True
GAS/USDC:USDC,swap,GAS,USDC,3.0886,0,43670.26681,3.08559,3.09189,,,,,True
JEFF/USDC,spot,JEFF,USDC,5.029,0,39779.9105,,,,,,,True
WMNT/USDC,spot,WMNT,USDC,2.38305,0,39389.675368,,,,,,,True
RUB/USDC,spot,RUB,USDC,12085000.0,0,37417.43448,,,,,,,True
CATBAL/USDC,spot,CATBAL,USDC,2.5628,0,30661.020363,,,,,,,True
PIP/USDC,spot,PIP,USDC,13.0545,0,20209.56398,,,,,,,True
BUDDY/USDC,spot,BUDDY,USDC,0.003835,0,13723.68188445,,,,,,,True
FLR/USDC,spot,FLR,USDC,0.024258,0,10665.47773956,,,,,,,True
MON/USDC,spot,MON,USDC,0.021285,0,10352.82576282,,,,,,,True
LADY/USDC,spot,LADY,USDC,0.009803,0,7937.97283003,,,,,,,True
JPEG/USDC,spot,JPEG,USDC,0.007366,0,6421.24899383,,,,,,,True
HMSTR/USDC:USDC,swap,HMSTR,USDC,0.000651,0,2352.302729,0.00065,0.000652,,,,,True
POINTS/USDC,spot,POINTS,USDC,0.0083055,0,2303.9497817,,,,,,,True
VEGAS/USDC,spot,VEGAS,USDC,0.1495,0,2198.2420235,,,,,,,True
USR/USDC,spot,USR,USDC,1.00015,0,2112.78566,,,,,,,True
TIME/USDC,spot,TIME,USDC,0.0029171,0,1990.49886713,,,,,,,True
ATEHUN/USDC,spot,ATEHUN,USDC,0.64244,0,1660.0762612,,,,,,,True
SOLV/USDC,spot,SOLV,USDC,0.043363,0,1568.93726652,,,,,,,True
LATINA/USDC,spot,LATINA,USDC,0.00069,0,1541.13554105,,,,,,,True
DEPIN/USDC,spot,DEPIN,USDC,0.001638,0,1242.61860086,,,,,,,True
RZR/USDC,spot,RZR,USDC,13.47,0,1190.9632,,,,,,,True
LQNA/USDC,spot,LQNA,USDC,0.59007,0,962.1188133,,,,,,,True
COZY/USDC,spot,COZY,USDC,0.068829,0,878.43865155,,,,,,,True
NFT/USDC,spot,NFT,USDC,0.10912,0,801.9826004,,,,,,,True
BRIDGE/USDC,spot,BRIDGE,USDC,0.052121,0,790.31577294,,,,,,,True
YEETI/USDC,spot,YEETI,USDC,0.00014671,0,778.09618051,,,,,,,True
OMNIX/USDC,spot,OMNIX,USDC,0.0005052,0,743.05714609,,,,,,,True
CAPPY/USDC,spot,CAPPY,USDC,3.586e-05,0,728.0186186,,,,,,,True
GUESS/USDC,spot,GUESS,USDC,0.008342,0,705.0481254,,,,,,,True
HPYH/USDC,spot,HPYH,USDC,0.312065,0,653.3065353,,,,,,,True
TJIF/USDC,spot,TJIF,USDC,0.071878,0,617.92803899,,,,,,,True
SPH/USDC,spot,SPH,USDC,0.72305,0,611.9040906,,,,,,,True
SCHIZO/USDC,spot,SCHIZO,USDC,0.498385,0,488.319712,,,,,,,True
CZ/USDC,spot,CZ,USDC,0.113045,0,410.106793,,,,,,,True
