date,portfolio_value,returns,cummax,drawdown,strategy
2025-04-26,29698.134189155826,0.01000030616035863,111318.09666228008,-0.7332137803320978,Long Low Volume / Short High Volume
2025-04-27,29303.242713067903,-0.013296844629118731,111318.09666228008,-0.7367611952442118,Long Low Volume / Short High Volume
2025-04-28,29025.63132257586,-0.009473742998696855,111318.09666228008,-0.7392550520277522,Long Low Volume / Short High Volume
2025-04-29,28813.13625048384,-0.007320945743796603,111318.09666228008,-0.7411639516448261,Long Low Volume / Short High Volume
2025-04-30,28823.72353070336,0.00036744629697649245,111318.09666228008,-0.741068843297334,Long Low Volume / Short High Volume
2025-05-01,29101.64016487935,0.009641940739542276,111318.09666228008,-0.7385722444287858,Long Low Volume / Short High Volume
2025-05-02,28922.184865962503,-0.006166501197187535,111318.09666228008,-0.7401843389964938,Long Low Volume / Short High Volume
2025-05-03,28661.50599433229,-0.00901311131362692,111318.09666228008,-0.742526086470142,Long Low Volume / Short High Volume
2025-05-04,28562.984339324117,-0.0034374207352416697,111318.09666228008,-0.7434111326392933,Long Low Volume / Short High Volume
2025-05-05,28327.248421597433,-0.008253196337125512,111318.09666228008,-0.7455288109395419,Long Low Volume / Short High Volume
2025-05-06,28166.36783610429,-0.005679358019484937,111318.09666228008,-0.7469740439278603,Long Low Volume / Short High Volume
2025-05-07,28326.639408556544,0.005690175367475403,111318.09666228008,-0.7455342818652866,Long Low Volume / Short High Volume
2025-05-08,27960.78686111082,-0.012915494216204526,111318.09666228008,-0.7488208323760779,Long Low Volume / Short High Volume
2025-05-09,27968.025399072223,0.00025888176886290637,111318.09666228008,-0.7487558066688618,Long Low Volume / Short High Volume
2025-05-10,28266.10730473331,0.010657953195043035,111318.09666228008,-0.7460780578158123,Long Low Volume / Short High Volume
2025-05-11,27947.64386151345,-0.011266618349196289,111318.09666228008,-0.7489388994288881,Long Low Volume / Short High Volume
2025-05-12,27896.5431153756,-0.0018284455888684104,111318.09666228008,-0.7493979509907638,Long Low Volume / Short High Volume
2025-05-13,28000.79497249524,0.0037370887385033136,111318.09666228008,-0.7484614288955656,Long Low Volume / Short High Volume
2025-05-14,27690.289444456634,-0.011089168301957608,111318.09666228008,-0.7512507824449766,Long Low Volume / Short High Volume
2025-05-15,27372.391525170842,-0.011480483796439067,111318.09666228008,-0.754106543806494,Long Low Volume / Short High Volume
2025-05-16,27226.472520430576,-0.005330882564867689,111318.09666228008,-0.7554173729449309,Long Low Volume / Short High Volume
2025-05-17,27125.59810011999,-0.003705012473976921,111318.09666228008,-0.7563235546290881,Long Low Volume / Short High Volume
2025-05-18,27125.770607678758,6.359585441373383e-06,111318.09666228008,-0.7563220049479136,Long Low Volume / Short High Volume
