date,equity,cash,mtm_value,num_positions,long_exposure,short_exposure,daily_return
2025-07-24,79266.64054183423,79266.64054183423,0.0,1,10000.0,0.0,-0.11217311800299323
2025-07-25,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.13288492492371096
2025-07-26,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-07-27,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-07-28,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-07-29,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-07-30,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-07-31,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-01,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-02,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-03,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-04,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-05,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-06,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-07,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-08,89799.98211919065,89799.98211919065,0.0,0,0.0,0.0,0.0
2025-08-09,79784.98211919065,79784.98211919065,0.0,1,0.0,10000.0,-0.11152563467893772
2025-08-10,90013.04663531968,90013.04663531968,0.0,0,0.0,0.0,0.1281953601349355
2025-08-11,90013.04663531968,90013.04663531968,0.0,0,0.0,0.0,0.0
2025-08-12,69983.04663531968,69983.04663531968,0.0,2,10000.0,10000.0,-0.22252329799645454
2025-08-13,80479.25886020927,79854.19984784028,625.0590123689936,1,10000.0,0.0,0.14998221325780725
2025-08-14,79156.43759687248,79854.19984784028,-697.7622509678027,1,10000.0,0.0,-0.016436797282570748
2025-08-15,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.1194641475460052
2025-08-16,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-17,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-18,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-19,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-20,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-21,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-22,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-23,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-24,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-25,88612.7939371614,88612.7939371614,0.0,0,0.0,0.0,0.0
2025-08-26,78597.7939371614,78597.7939371614,0.0,1,10000.0,0.0,-0.11301979719883348
2025-08-27,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.1265030792834576
2025-08-28,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-08-29,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-08-30,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-08-31,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-09-01,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-09-02,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-09-03,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-09-04,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-09-05,88540.65689509899,88540.65689509899,0.0,0,0.0,0.0,0.0
2025-09-06,78525.65689509899,78525.65689509899,0.0,1,0.0,10000.0,-0.1131118782173206
2025-09-07,88200.4187998609,88200.4187998609,0.0,0,0.0,0.0,0.12320510629648407
2025-09-08,88200.4187998609,88200.4187998609,0.0,0,0.0,0.0,0.0
2025-09-09,88200.4187998609,88200.4187998609,0.0,0,0.0,0.0,0.0
2025-09-10,88200.4187998609,88200.4187998609,0.0,0,0.0,0.0,0.0
2025-09-11,88200.4187998609,88200.4187998609,0.0,0,0.0,0.0,0.0
2025-09-12,88200.4187998609,88200.4187998609,0.0,0,0.0,0.0,0.0
2025-09-13,78185.4187998609,78185.4187998609,0.0,1,0.0,10000.0,-0.11354821367374046
2025-09-14,88673.71148278772,88673.71148278772,0.0,0,0.0,0.0,0.13414640279378398
2025-09-15,88673.71148278772,88673.71148278772,0.0,0,0.0,0.0,0.0
2025-09-16,88673.71148278772,88673.71148278772,0.0,0,0.0,0.0,0.0
