symbol,first_date,last_date,days_span,actual_days,expected_days,missing_days,coverage_pct,is_current,days_since_last,market_cap,rank,num_gaps,largest_gap_days,gaps
BAT,2021-04-20,2021-10-28,191,192,192,0,100.0,False,1467,323205023.9171975,60.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
CFG,2025-09-25,2025-10-24,29,30,30,0,100.0,False,10,311495981.47461075,148.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
VTHO,2023-09-13,2023-10-28,45,46,46,0,100.0,False,737,280225034.87568235,182.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
AVAX,2021-09-30,2021-10-28,28,29,29,0,100.0,False,1467,267198080.18400827,70.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
POLS,2022-01-01,2025-10-24,1392,1393,1393,0,100.0,False,10,265253901.28010103,191.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
OXT,2020-01-01,2025-10-24,2123,2124,2124,0,100.0,False,10,263691628.991675,190.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
POWR,2022-01-01,2025-10-24,1392,1393,1393,0,100.0,False,10,249236994.93666136,171.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
PAX,2021-07-27,2021-10-28,93,94,94,0,100.0,False,1467,244621384.48750955,72.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
MAGIC,2023-01-01,2025-10-24,1027,1028,1028,0,100.0,False,10,242790809.23518732,173.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
HNT,2023-07-12,2023-10-28,108,109,109,0,100.0,False,737,207732358.2136989,107.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
BICO,2022-01-01,2025-10-24,1392,1393,1393,0,100.0,False,10,196755352.11099824,196.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
KAVA,2023-01-19,2023-10-28,282,283,283,0,100.0,False,737,196046610.4674713,115.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
ZEN,2021-09-16,2021-10-28,42,43,43,0,100.0,False,1467,142151841.72474566,93.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
QNT,2021-06-24,2021-10-28,126,127,127,0,100.0,False,1467,130584901.78954196,97.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
T,2023-01-26,2023-10-28,275,276,276,0,100.0,False,737,130504759.00850528,143.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
AUDIO,2023-01-26,2023-10-28,275,276,276,0,100.0,False,737,124279386.33082706,148.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
MANA,2021-04-20,2021-10-28,191,192,192,0,100.0,False,1467,120814039.59466664,104.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
CHZ,2021-06-17,2021-10-28,133,134,134,0,100.0,False,1467,106056605.39481974,110.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
CRV,2021-03-25,2021-10-28,217,218,218,0,100.0,False,1467,104403922.04616404,108.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
SOL,2021-06-17,2021-10-28,133,134,134,0,100.0,False,1467,100672674.81180388,112.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
1INCH,2021-04-09,2021-10-28,202,203,203,0,100.0,False,1467,78968434.40300702,124.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
CVC,2022-01-01,2025-10-24,1392,1393,1393,0,100.0,False,10,78213600.61405075,185.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
PYR,2023-01-01,2025-10-24,1027,1028,1028,0,100.0,False,10,75033674.18989977,191.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
API3,2022-01-01,2025-10-24,1392,1393,1393,0,100.0,False,10,72666554.81858148,199.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
UNI,2020-09-17,2020-10-27,40,41,41,0,100.0,False,1833,72531284.43608603,68.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
STORJ,2021-03-25,2021-10-28,217,218,218,0,100.0,False,1467,67439688.15345588,133.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
RLC,2021-05-06,2021-10-28,175,176,176,0,100.0,False,1467,63131195.05945939,140.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
ANKR,2021-03-25,2021-10-28,217,218,218,0,100.0,False,1467,57309638.364605,150.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
MLN,2021-06-10,2021-10-28,140,141,141,0,100.0,False,1467,44868104.97108833,168.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
FET,2021-07-27,2021-10-28,93,94,94,0,100.0,False,1467,42417938.1292991,175.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
IOTX,2021-08-12,2021-10-28,77,78,78,0,100.0,False,1467,38866649.66163049,183.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
DIA,2022-01-25,2022-10-28,276,277,277,0,100.0,False,1102,37042219.80750874,187.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
KNC,2020-02-25,2020-10-27,245,246,246,0,100.0,False,1833,36205346.11051715,117.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
LA,2025-06-04,2025-10-24,142,143,143,0,100.0,False,10,33787080.03526942,124.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
TRB,2021-05-06,2021-10-28,175,176,176,0,100.0,False,1467,32296871.31125794,197.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
ELA,2022-06-22,2022-10-28,128,129,129,0,100.0,False,1102,26067297.57853469,158.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
LRC,2020-09-15,2020-10-27,42,43,43,0,100.0,False,1833,20818468.30993611,178.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
AERO,2024-02-06,2024-10-27,264,265,265,0,100.0,False,372,,999.0,1,371,"[{'start': Timestamp('2024-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 371}]"
AIOZ,2022-03-08,2022-10-28,234,235,235,0,100.0,False,1102,,999.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
AMP,2021-06-10,2021-10-28,140,141,141,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
APE,2022-03-17,2022-10-28,225,226,226,0,100.0,False,1102,,999.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
APT,2022-10-19,2022-10-28,9,10,10,0,100.0,False,1102,,999.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
ARB,2023-03-23,2023-10-28,219,220,220,0,100.0,False,737,,999.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
ARKM,2024-04-02,2024-10-27,208,209,209,0,100.0,False,372,,999.0,1,371,"[{'start': Timestamp('2024-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 371}]"
AXL,2023-02-07,2023-10-28,263,264,264,0,100.0,False,737,,999.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
AXS,2021-08-12,2021-10-28,77,78,78,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
