coin_symbol,symbol,date,timestamp,oi_open,oi_high,oi_low,oi_close
2Z,2ZUSDT_PERP.A,2025-10-25,1761350400,7224117.70518,7575887.78185,7072186.60544,7463709.34672
2Z,2ZUSDT_PERP.A,2025-10-26,1761436800,7860651.937600001,7952583.760100001,7462331.888200001,7492348.416700001
2Z,2ZUSDT_PERP.A,2025-10-27,1761523200,7420495.81151,7472127.79312,7408180.73431,7418112.93865
4,4USDT_PERP.A,2025-10-21,1761004800,15180867.96992,16408866.10304,15140342.4768,15878450.77184
4,4USDT_PERP.A,2025-10-22,1761091200,13597274.47665,16733952.21085,13492214.7409,16364496.794
4,4USDT_PERP.A,2025-10-23,1761177600,27704365.381789997,32044012.578119997,26833440.17733,27838100.35177
4,4USDT_PERP.A,2025-10-24,1761264000,18505833.50265,18641144.4778,16378855.351300001,17871658.249900002
4,4USDT_PERP.A,2025-10-25,1761350400,23167409.67135,23879999.83275,19548445.3596,19651320.0252
4,4USDT_PERP.A,2025-10-26,1761436800,19912473.50946,21828233.56304,19886465.67042,21471604.22526
4,4USDT_PERP.A,2025-10-27,1761523200,21822567.417,22002909.884999998,21246499.713,21403502.237999998
A,AUSDT_PERP.A,2025-10-21,1761004800,5545947.057499999,5753872.425,5425496.4025,5728476.522499999
A,AUSDT_PERP.A,2025-10-22,1761091200,5623031.9989,5624634.7929,5438272.0002999995,5503143.285
A,AUSDT_PERP.A,2025-10-23,1761177600,5689749.5752,5868371.9895,5591765.263,5685045.6883000005
A,AUSDT_PERP.A,2025-10-24,1761264000,5849721.675,5858738.055,5636348.175,5734042.4399999995
A,AUSDT_PERP.A,2025-10-25,1761350400,5697111.319200001,5828051.692500001,5683659.2016,5791998.3408
A,AUSDT_PERP.A,2025-10-26,1761436800,5896732.5312,5905816.424,5727012.7568,5795741.4384
A,AUSDT_PERP.A,2025-10-27,1761523200,5867014.9191,5923877.0874,5811894.659399999,5843130.8931
A2Z,A2ZUSDT_PERP.A,2025-10-21,1761004800,2864762.414924,3032803.636036,2864762.414924,3026431.0759
A2Z,A2ZUSDT_PERP.A,2025-10-22,1761091200,3060445.375039,3213016.62799,3060445.375039,3197849.2002729997
A2Z,A2ZUSDT_PERP.A,2025-10-23,1761177600,3227731.2802950004,3227731.2802950004,3075075.879443,3077767.7047380004
A2Z,A2ZUSDT_PERP.A,2025-10-24,1761264000,3058938.638994,3116204.277431,3053284.067456,3068818.779075
A2Z,A2ZUSDT_PERP.A,2025-10-25,1761350400,3038909.798925,3042686.907117,3007472.4983159998,3016204.856379
A2Z,A2ZUSDT_PERP.A,2025-10-26,1761436800,3061514.331041,3095868.3359879996,3047308.539972,3062790.3574409997
A2Z,A2ZUSDT_PERP.A,2025-10-27,1761523200,3065134.9277580003,3073473.876314,2980096.5549580003,3001104.37929
A8,A8USDT.6,2025-10-21,1761004800,711814.64432,734989.52956,706745.18408,727587.4736
A8,A8USDT.6,2025-10-22,1761091200,702203.6356,708026.16472,637988.52078,638584.0892
A8,A8USDT.6,2025-10-23,1761177600,660429.498,724278.234,660325.98075,722486.2419
A8,A8USDT.6,2025-10-24,1761264000,718051.54374,724939.09014,654900.27432,679197.06186
A8,A8USDT.6,2025-10-25,1761350400,672904.9635000001,679669.221,659628.354,669585.89775
A8,A8USDT.6,2025-10-26,1761436800,704021.74392,722145.8138400001,693709.84848,697993.03728
A8,A8USDT.6,2025-10-27,1761523200,725351.7894,750286.8271,723419.6674,743521.8130000001
AAVE,AAVEUSD_PERP.A,2025-10-21,1761004800,2792590.0,2796560.0,2685410.0,2784000.0
AAVE,AAVEUSD_PERP.A,2025-10-22,1761091200,2783100.0,3120310.0,2738570.0,2747460.0
AAVE,AAVEUSD_PERP.A,2025-10-23,1761177600,2747670.0,2758590.0,2553480.0,2664350.0
AAVE,AAVEUSD_PERP.A,2025-10-24,1761264000,2664680.0,2664690.0,2524590.0,2528970.0
AAVE,AAVEUSD_PERP.A,2025-10-25,1761350400,2528970.0,2603950.0,2496440.0,2501770.0
AAVE,AAVEUSD_PERP.A,2025-10-26,1761436800,2501770.0,2559810.0,2447490.0,2497110.0
AAVE,AAVEUSD_PERP.A,2025-10-27,1761523200,2496780.0,2522490.0,2361390.0,2433500.0
ACE,ACEUSDT_PERP.A,2025-10-21,1761004800,1300449.572409,1304733.2963460002,1272952.6498800002,1280670.072843
