protocol,slug,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,timestamp
Uniswap V3,uniswap-v3,UNI,Dexs,"Ethereum,Arbitrum,Base,Polygon,BOB,Binance,Plasma,Optimism,RSK,xDai,Corn,Celo,Avalanche,Nibiru,Saga,Etherlink,World Chain,Unichain,XDC,zkSync Era,Filecoin,Boba,Goat,Sonic,Mantle,Sei,Telos,Lens,Linea,LightLink,Redbelly,Hemi,Scroll,Blast,Taiko,Lisk,Moonbeam,Manta,Polygon zkEVM",2810324944.6772175,0.1797170240791104,0.0013358618309382564,-0.5288954236680325,,2025-11-03T01:15:59.406037
Jito Liquid Staking,jito-liquid-staking,JTO,Liquid Staking,Solana,2663930971.5133295,0.935821718959275,1.1933769619238035,-6.998086973398358,,2025-11-03T01:15:59.406039
Rocket Pool,rocket-pool,RPL,Liquid Staking,Ethereum,2445312978.946492,0.333087208241551,0.12373954843458534,-7.525924177662759,71833580.35191487,2025-11-03T01:15:59.406040
Gauntlet,gauntlet,-,Risk Curators,"Ethereum,Solana,Base,Katana,Arbitrum,Polygon,Unichain,Hyperliquid L1",2361642755.1321163,0.6498332764691526,0.5744637609123657,41.78516365996347,,2025-11-03T01:15:59.406042
Curve DEX,curve-dex,CRV,Dexs,"Ethereum,Arbitrum,Etherlink,Fraxtal,Base,Binance,TAC,Polygon,Sonic,X Layer,Plasma,Hyperliquid L1,XDC,xDai,Optimism,Avalanche,Kava,Plume Mainnet,Corn,Taiko,Celo,Fantom,Aurora,Moonbeam,Ink,Mantle,Harmony",2297852736.6919227,0.04154539843376881,-0.07532586837906763,-1.2979851689311204,,2025-11-03T01:15:59.406043
Portal,portal,W,Bridge,"Ethereum,Solana,Binance,Avalanche,Near,Polygon,Terra,Arbitrum,Sui,Moonbeam,Aptos,Fantom,Base,Algorand,Celo,Klaytn,Oasis,Optimism,Aurora,Injective,Terra2,XPLA,Karura,Acala",2286012879.564805,0.7899577040294048,-0.7921309708216313,-7.773146080430621,321997871.74150616,2025-11-03T01:15:59.406045
Bitstamp,bitstamp,-,CEX,"Ethereum,Bitcoin,Ripple,Solana,Litecoin,Avalanche,Near,Cardano,XDC,Sui",2260781191.1775446,0.33620300683494975,0.3741319969478667,-4.823287694404371,,2025-11-03T01:15:59.406047
Polygon Bridge & Staking,polygon-bridge-&-staking,POL,Chain,Polygon,2188746812.991478,0.3544011026137781,-0.9748176335877332,-2.3788946858412885,2017972121.9588146,2025-11-03T01:15:59.406048
PancakeSwap AMM,pancakeswap-amm,CAKE,Dexs,"Binance,Op_Bnb,Ethereum,zkSync Era,Aptos,Arbitrum,Base,Linea,Polygon zkEVM",2133855640.935561,0.27203490011147835,-0.061357488943642124,-1.8855597531897956,,2025-11-03T01:15:59.406049
Fluid Lending,fluid-lending,-,Lending,"Ethereum,Plasma,Arbitrum,Base,Polygon",2094965464.030195,0.2346427034698877,0.28931934249352764,-2.9958621387568627,,2025-11-03T01:15:59.406051
Tether Gold,tether-gold,XAUt,RWA,Ethereum,2082509446.267659,-0.18121260923932425,-0.5597578932581939,-2.316688409119436,2063903082.6770923,2025-11-03T01:15:59.406052
Compound V3,compound-v3,COMP,Lending,"Ethereum,Arbitrum,Base,Optimism,Polygon,Mantle,Unichain,Ronin,Scroll",2068152957.2420008,0.22845824914826096,-0.059067141217738595,-7.842247977170231,,2025-11-03T01:15:59.406054
Raydium AMM,raydium-amm,RAY,Dexs,Solana,2040205330.380119,0.5418250950570496,-0.3416119966852733,-7.529130834425956,,2025-11-03T01:15:59.406055
Falcon Finance,falcon-finance,-,Basis Trading,Ethereum,2008005633.1746225,-0.11847671313238095,-0.025131998881690265,-4.372403077294479,,2025-11-03T01:15:59.406056
Venus Core Pool,venus-core-pool,XVS,Lending,"Binance,Ethereum,zkSync Era,Arbitrum,Unichain,Base,Optimism,Op_Bnb",1967314904.3728764,0.09167593911615768,-0.9607504966457299,-4.934204581175081,,2025-11-03T01:15:59.406058
Sanctum Validator LSTs,sanctum-validator-lsts,CLOUD,Liquid Staking,Solana,1938665348.5109565,0.7331410752241112,0.6383748784148082,-6.013283545604125,,2025-11-03T01:15:59.406059
Jupiter Perpetual Exchange,jupiter-perpetual-exchange,JUP,Derivatives,Solana,1841118907.6048155,0.5369550130997993,-0.624240106578398,1.3052416807714877,,2025-11-03T01:15:59.406061
