dex,defi_llama_id,volume_24h,volume_7d,change_1d,chains,timestamp
Canto Dex,1985,14626,54809,75.46,Canto,2025-11-03T01:15:59.015393
Pangea Swap,1987,1348,1978,4248.39,Kaia,2025-11-03T01:15:59.015394
IcecreamSwap V2,1990,1463,9104,71.31,"Bitgert,CORE",2025-11-03T01:15:59.015395
Sphynx,1992,55,760,77.42,"BSC,Cronos",2025-11-03T01:15:59.015396
Bancor V3,1995,105538,508632,135.64,Ethereum,2025-11-03T01:15:59.015397
MM Stableswap Polygon,2015,1,5,0.0,Polygon,2025-11-03T01:15:59.015398
UltronSwap,2032,5232,41097,25.08,Ultron,2025-11-03T01:15:59.015400
Lif3 Swap,2040,0,7669,0.0,Tombchain,2025-11-03T01:15:59.015401
KLEX Finance,2049,573,8991,55.28,Kaia,2025-11-03T01:15:59.015402
Junoswap,2052,0,0,0.0,Juno,2025-11-03T01:15:59.015403
VanSwap,2066,0,0,0.0,Vision,2025-11-03T01:15:59.015404
Aequinox,2090,113,179354,13.0,BSC,2025-11-03T01:15:59.015405
Algofi Swap,2091,0,0,0.0,Algorand,2025-11-03T01:15:59.015406
OKCSwap,2099,0,0,0.0,OKTChain,2025-11-03T01:15:59.015407
Titano Swych,2102,1866,26197,145.2,BSC,2025-11-03T01:15:59.015408
Swaap Maker V1,2104,0,0,0.0,Polygon,2025-11-03T01:15:59.015409
PYEswap,2109,0,0,0.0,BSC,2025-11-03T01:15:59.015410
Wojak Finance,2113,0,0,0.0,Dogechain,2025-11-03T01:15:59.015411
0x,2116,3782624,74290227,-16.56,"Ethereum,Polygon,BSC,OP Mainnet,Fantom,Celo,Avalanche,Arbitrum,Base",2025-11-03T01:15:59.015413
WinerySwap,2118,1259,28721,16.9,BSC,2025-11-03T01:15:59.015414
Frax Swap,2121,739347,6419018,168.96,"Arbitrum,Aurora,Avalanche,Boba,BSC,Ethereum,Fantom,Harmony,Moonbeam,Moonriver,Polygon,Fraxtal",2025-11-03T01:15:59.015415
Capricorn Finance,2128,0,0,0.0,Cube,2025-11-03T01:15:59.015416
Tomb Swap,2129,0,0,0.0,Fantom,2025-11-03T01:15:59.015417
VoltSwap V2,2133,262,7105,187.91,Meter,2025-11-03T01:15:59.015419
MarginX DEX,2138,45790,449487,-24.67,FunctionX,2025-11-03T01:15:59.015420
Zircon Gamma,2143,0,0,0.0,Moonriver,2025-11-03T01:15:59.015421
XSwap V2,2145,13703,78728,143.35,XDC,2025-11-03T01:15:59.015422
Sushi Trident,2152,235,1064,128.16,"Polygon,OP Mainnet,Arbitrum,BSC,Avalanche",2025-11-03T01:15:59.015423
Lifinity V1,2154,24727699,293944093,-17.66,Solana,2025-11-03T01:15:59.015424
Blue Planet,2158,703,13622,29.23,BSC,2025-11-03T01:15:59.015426
DAO Swap,2167,17,147,112.5,BSC,2025-11-03T01:15:59.015427
BabyDogeSwap,2169,31811,445589,71.53,BSC,2025-11-03T01:15:59.015428
TempleDAO Trade,2178,0,0,0.0,Ethereum,2025-11-03T01:15:59.015429
Gravis Finance,2195,280,4584,39.3,"BSC,Polygon",2025-11-03T01:15:59.015430
Uniswap V1,2196,46809,1608337,137.13,Ethereum,2025-11-03T01:15:59.015431
Uniswap V2,2197,2099811513,7859592508,0.0,"BSC,Arbitrum,Ethereum,Polygon,Base,OP Mainnet,Unichain",2025-11-03T01:15:59.015433
Uniswap V3,2198,1267122580,14308364942,-1.66,"Arbitrum,Base,Avalanche,World Chain,Plasma,Ethereum,OP Mainnet,Polygon,ZKsync Era,Sei,Unichain,Taiko,Scroll,Rootstock,Filecoin,Boba,Mantle,Linea,Polygon zkEVM,Blast,Gnosis,BOB,Lisk,Corn,GOAT,BSC,Hemi,XDC,LightLink,Lens,Telos,Celo,Nibiru",2025-11-03T01:15:59.015434
Tetu Swap,2203,0,0,0.0,Polygon,2025-11-03T01:15:59.015435
LiquidSwap,2210,0,0,0.0,Aptos,2025-11-03T01:15:59.015437
AUX Exchange,2213,0,0,0.0,Aptos,2025-11-03T01:15:59.015438
Wavelength DAO,2220,0,0,0.0,Velas,2025-11-03T01:15:59.015439
Quickswap V3,2239,11086827,97794020,23.21,"Polygon,Polygon zkEVM,Manta,Immutable zkEVM,Soneium",2025-11-03T01:15:59.015440
HeliSwap,2244,86,1716,86.96,Hedera,2025-11-03T01:15:59.015441
MetaTdex,2253,0,0,0.0,Polygon,2025-11-03T01:15:59.015442
OPX Finance,2256,0,0,0.0,OP Mainnet,2025-11-03T01:15:59.015444
Helix Spot,2259,958361,7211043,1.61,Injective,2025-11-03T01:15:59.015445
3xcalibur,2283,1,45,-88.89,Arbitrum,2025-11-03T01:15:59.015446
Cetus CLMM,2289,29205126,326130258,-16.66,"Sui,Aptos",2025-11-03T01:15:59.015447
Camelot V2,2307,151583,1722820,17.03,"Arbitrum,ApeChain,Gravity by Galxe,Rari,ReyaChain,Gnosis,Sanko",2025-11-03T01:15:59.015448
Step Exchange,2312,0,0,0.0,Step,2025-11-03T01:15:59.015449
Archly V1,2317,1,1,0.0,Telos,2025-11-03T01:15:59.015451
OpenBook,2322,0,0,0.0,Solana,2025-11-03T01:15:59.015452
Equalizer Exchange,2332,11857,161670,22.14,"Fantom,Sonic",2025-11-03T01:15:59.015453
STON.fi,2337,2387117,26061752,-20.54,TON,2025-11-03T01:15:59.015454
VaporDex V1,2342,4603,37679,9.83,"Avalanche,ApeChain",2025-11-03T01:15:59.015455
10KSwap,2345,0,0,0.0,Starknet,2025-11-03T01:15:59.015466
KyotoSwap,2350,4139,23506,-69.24,BSC,2025-11-03T01:15:59.015467
El Dorado Exchange,2356,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015469
Mummy Finance,2361,0,0,0.0,"Fantom,OP Mainnet",2025-11-03T01:15:59.015470
mySwap V1,2367,0,0,0.0,Starknet,2025-11-03T01:15:59.015471
ABcDeFX,2376,0,0,0.0,"Fantom,KCC,Kava",2025-11-03T01:15:59.015472
AmpleSwap,2383,155,1370,91.36,BSC,2025-11-03T01:15:59.015474
Joe V2,2393,5426,167687,-1.08,"Avalanche,Arbitrum,BSC",2025-11-03T01:15:59.015475
Solidly V2,2400,1956,11712,53.65,Ethereum,2025-11-03T01:15:59.015476
Syrup Finance,2401,0,0,0.0,BSC,2025-11-03T01:15:59.015477
