symbol,name,cmc_rank,market_cap,price,volume_24h,percent_change_24h,percent_change_7d,market_cap_dominance,timestamp,trading_symbol
JUP,Jupiter,65,1149207337.3520675,0.3570420680698641,74168360.05973738,5.25409312,-11.88163401,0.0331,2025-11-08T01:49:13.016642,JUP/USDC:USDC
SEI,Sei,66,1134855064.6331062,0.18160909642871317,186384060.48720315,13.09630176,-4.88369557,0.0327,2025-11-08T01:49:13.016644,SEI/USDC:USDC
BONK,Bonk,67,1103728119.5165448,1.3437888792370932e-05,261624276.64325824,11.61044114,-3.94325803,0.0318,2025-11-08T01:49:13.016645,BONK/USDC:USDC
QNT,Quant,68,1067514770.2141452,88.42358462629979,31172766.60693744,8.26407567,10.68702228,0.0307,2025-11-08T01:49:13.016646,QNT/USDC:USDC
RLUSD,Ripple USD,69,1027621528.8061293,0.9999255095108462,115588492.04244846,0.0849546,-0.04309037,0.0296,2025-11-08T01:49:13.016647,RLUSD/USDC:USDC
XDC,XDC Network,70,1016200842.6084466,0.057231659247613566,39206542.9608074,7.30449216,-4.11560805,0.0293,2025-11-08T01:49:13.016648,XDC/USDC:USDC
PENGU,Pudgy Penguins,71,997932502.4936354,0.015875377257633192,299790168.04402226,10.73335705,-12.85703319,0.0287,2025-11-08T01:49:13.016650,PENGU/USDC:USDC
GT,GateToken,72,986736740.0270504,12.292255933612564,8941140.60444757,7.12043608,-6.24323406,0.0284,2025-11-08T01:49:13.016651,GT/USDC:USDC
FDUSD,First Digital USD,73,983484009.8212715,0.9972531586650377,5839676400.359656,0.01402598,-0.2757385,0.0283,2025-11-08T01:49:13.016652,FDUSD/USDC:USDC
VIRTUAL,Virtuals Protocol,74,976627397.0002012,1.4885751572903376,715539846.5223321,25.05237232,-5.84232984,0.0281,2025-11-08T01:49:13.016653,VIRTUAL/USDC:USDC
IMX,Immutable,75,883688829.2064347,0.4442941350838218,92896074.79502344,7.54811695,-10.37626831,0.0254,2025-11-08T01:49:13.016654,IMX/USDC:USDC
AERO,Aerodrome Finance,76,882338969.4917632,0.9776316850805998,96895636.80251336,14.75714179,-8.49199005,0.0254,2025-11-08T01:49:13.016655,AERO/USDC:USDC
FET,Artificial Superintelligence Alliance,77,867118976.3206692,0.36735091494468075,1065978409.5283387,49.70667011,56.14942823,0.025,2025-11-08T01:49:13.016656,FET/USDC:USDC
TIA,Celestia,78,865526780.2426294,1.0354625951598053,243713926.19622624,27.4559085,14.3075376,0.0249,2025-11-08T01:49:13.016659,TIA/USDC:USDC
CAKE,PancakeSwap,79,855453516.5759981,2.4941312364443453,164808639.31655264,10.01803493,3.34664047,0.0246,2025-11-08T01:49:13.016660,CAKE/USDC:USDC
INJ,Injective,80,827392030.766431,8.276325787821605,227600652.54166758,29.53903944,9.28128838,0.0238,2025-11-08T01:49:13.016661,INJ/USDC:USDC
OP,Optimism,81,808995156.3098053,0.4265567679668121,190569481.60769004,16.20342685,6.60792115,0.0233,2025-11-08T01:49:13.016662,OP/USDC:USDC
STX,Stacks,82,778299326.5673896,0.43009034405062546,45064644.19103672,19.99700242,3.30197038,0.0224,2025-11-08T01:49:13.016663,STX/USDC:USDC
XTZ,Tezos,83,766674104.9825002,0.7202040899739465,135779879.6501529,15.22173192,24.34033477,0.0221,2025-11-08T01:49:13.016664,XTZ/USDC:USDC
LDO,Lido DAO,84,747493212.0602615,0.8344711373203428,104408221.88073486,12.45536897,-4.09064763,0.0215,2025-11-08T01:49:13.016667,LDO/USDC:USDC
GRT,The Graph,85,732661092.834876,0.06930824707626956,114677484.73329854,21.21806344,13.0475863,0.0211,2025-11-08T01:49:13.016668,GRT/USDC:USDC
NEXO,Nexo,86,712491602.882604,1.102679239336417,11966082.81660842,2.9145057,-0.00570394,0.0205,2025-11-08T01:49:13.016669,NEXO/USDC:USDC
CRV,Curve DAO Token,87,685275450.1583908,0.4859301321127373,175133906.41735443,15.08463405,1.08532551,0.0197,2025-11-08T01:49:13.016670,CRV/USDC:USDC
SPX,SPX6900,88,661215040.9460957,0.7102255086516054,45522990.7829238,10.59391429,-15.44579396,0.019,2025-11-08T01:49:13.016671,SPX/USDC:USDC
2Z,DoubleZero,89,634871026.224887,0.18288524103623002,32061005.72503638,16.64590371,1.16338255,0.0183,2025-11-08T01:49:13.016672,2Z/USDC:USDC
MORPHO,Morpho,90,630964431.0775199,1.7751335960041583,45759596.03870223,4.19483044,-10.54424489,0.0182,2025-11-08T01:49:13.016673,MORPHO/USDC:USDC
FLOKI,FLOKI,91,628370352.4760478,6.586675332891529e-05,117945254.34446266,11.87267411,-5.54572426,0.0181,2025-11-08T01:49:13.016674,FLOKI/USDC:USDC
PYTH,Pyth Network,92,627808326.4163187,0.10918437989146161,65229137.49910828,18.28118792,2.25361241,0.0181,2025-11-08T01:49:13.016676,PYTH/USDC:USDC
STRK,Starknet,93,626990501.7220058,0.13749729383332332,344199430.0986119,29.30361449,31.91879386,0.018,2025-11-08T01:49:13.016677,STRK/USDC:USDC
KAIA,Kaia,94,620015791.5143255,0.10060859575950717,80097676.12471677,11.64499956,-2.38663357,0.0179,2025-11-08T01:49:13.016678,KAIA/USDC:USDC
XPL,Plasma,95,609737594.0513444,0.33874310780630246,637231816.8405465,33.27129028,13.176589,0.0176,2025-11-08T01:49:13.016679,XPL/USDC:USDC
IOTA,IOTA,96,597354291.9631517,0.14484401405996444,33331658.13897086,12.96500709,5.18340037,0.0172,2025-11-08T01:49:13.016680,IOTA/USDC:USDC
DEXE,DeXe,97,576162212.1701561,6.880892083527088,10788032.11430472,13.1611011,-2.144258,0.0166,2025-11-08T01:49:13.016681,DEXE/USDC:USDC
CFX,Conflux,98,564076734.8779492,0.10948340170210731,75272655.66076247,23.11793793,7.86893998,0.0162,2025-11-08T01:49:13.016684,CFX/USDC:USDC
TWT,Trust Wallet Token,99,556438299.130654,1.2944624572815238,44081733.58472437,7.30879512,3.74107752,0.016,2025-11-08T01:49:13.016685,TWT/USDC:USDC
ETHFI,ether.fi,100,552561264.7270559,0.9795521678188416,99113520.28238812,13.17368756,0.65728527,0.0159,2025-11-08T01:49:13.016686,ETHFI/USDC:USDC
SAND,The Sandbox,101,543920162.1235939,0.2081362306713709,92499379.86324205,14.60341356,2.78238666,0.0157,2025-11-08T01:49:13.016687,SAND/USDC:USDC
ENS,Ethereum Name Service,102,537584171.0496584,14.287343927753783,87937820.4090821,12.17852492,-3.11362957,0.0155,2025-11-08T01:49:13.016688,ENS/USDC:USDC
SYRUP,Maple Finance,103,523850249.54322773,0.4600591016712991,45839841.26386181,14.087775,3.66351314,0.0151,2025-11-08T01:49:13.016689,SYRUP/USDC:USDC
THETA,Theta Network,104,516262109.92382014,0.5162621099238202,65566482.5984851,21.52564475,5.58358129,0.0149,2025-11-08T01:49:13.016690,THETA/USDC:USDC
JASMY,JasmyCoin,105,506093027.40229034,0.010235474379747454,59876479.99921816,14.23635658,2.23591179,0.0146,2025-11-08T01:49:13.016691,JASMY/USDC:USDC
ZK,ZKsync,106,501018075.5427576,0.058759927226198494,318567351.45769435,-15.15296479,101.67561206,0.0144,2025-11-08T01:49:13.016693,ZK/USDC:USDC
DCR,Decred,107,499860680.5085322,29.213702210635915,35797749.54518842,-20.75767621,76.80578169,0.0144,2025-11-08T01:49:13.016694,DCR/USDC:USDC
MYX,MYX Finance,108,498285330.85704297,2.253609714853155,43066295.41018379,-3.28892271,10.91792,0.0143,2025-11-08T01:49:13.016695,MYX/USDC:USDC
A,Vaulta,109,497174621.8236238,0.3103233775543745,100727288.97722812,15.10852673,16.03989422,0.0143,2025-11-08T01:49:13.016696,A/USDC:USDC
TUSD,TrueUSD,110,492372757.23956084,0.9956678252411582,45199387.52747732,-0.04797615,-0.04643728,0.0142,2025-11-08T01:49:13.016697,TUSD/USDC:USDC
AR,Arweave,111,491581163.27970356,7.487626790434704,538605090.1692256,26.98919211,110.25365524,0.0142,2025-11-08T01:49:13.016698,AR/USDC:USDC
BSV,Bitcoin SV,112,490563693.1077343,24.596647887491056,52041721.83701555,8.47697777,10.8961362,0.0141,2025-11-08T01:49:13.016699,BSV/USDC:USDC
