date,symbol,open,high,low,close,volume
2025-08-25,LTC/USD,118.19,118.64,106.76,109.18,256186.11141207
2025-08-25,LTC/USDC,118.19,118.64,106.76,109.18,256186.11141207
2025-08-25,PENGU/USD,0.03412,0.03549,0.02952,0.02995,1496744083.0
2025-08-25,PENGU/USDC,0.03412,0.03549,0.02952,0.02995,1496744083.0
2025-08-25,PUMP/USD,0.002915,0.002944,0.002616,0.002631,4484914937.0
2025-08-25,PUMP/USDC,0.002915,0.002944,0.002616,0.002631,4484914937.0
2025-08-25,SOL/USD,205.96,213.49,185.41,187.21,2732788.24498917
2025-08-25,SOL/USDC,205.96,213.49,185.41,187.21,2732788.24498917
2025-08-25,SUI/USD,3.681,3.74,3.3123,3.3406,16575727.6
2025-08-25,SUI/USDC,3.681,3.74,3.3123,3.3406,16575727.6
2025-08-25,TAO/USD,361.14,363.3,316.8,320.54,24714.3818
2025-08-25,TAO/USDC,361.14,363.3,316.8,320.54,24714.3818
2025-08-25,USDT/USD,0.99987,1.00026,0.99945,1.00011,104874356.99
2025-08-25,USELESS/USD,0.2637,0.2913,0.2167,0.22,28810924.6
2025-08-25,USELESS/USDC,0.2637,0.2913,0.2167,0.22,28810924.6
2025-08-25,XLM/USD,0.40785,0.410841,0.377477,0.3843,69993026.8486475
2025-08-25,XLM/USDC,0.40785,0.410841,0.377477,0.3843,69993026.8486475
2025-08-25,XRP/USD,3.0253,3.0529,2.823,2.8588,97421581.24063
2025-08-25,XRP/USDC,3.0253,3.0529,2.823,2.8588,97421581.24063
2025-08-25,ZEC/USD,42.66,42.87,38.58,39.79,18318.58339794
2025-08-25,ZEC/USDC,42.66,42.87,38.58,39.79,18318.58339794
2025-08-25,ZORA/USD,0.11529,0.11979,0.0962,0.09877,279178986.0
2025-08-25,ZORA/USDC,0.11529,0.11979,0.0962,0.09877,279178986.0
2025-08-26,ADA/USD,0.8374,0.8748,0.8274,0.8665,55009685.24430648
2025-08-26,ADA/USDC,0.8374,0.8748,0.8274,0.8665,55009685.24430648
2025-08-26,AVAX/USD,23.33,24.35,23.09,24.18,507609.79261154
2025-08-26,AVAX/USDC,23.33,24.35,23.09,24.18,507609.79261154
2025-08-26,BONK/USD,1.998e-05,2.157e-05,1.988e-05,2.121e-05,739717064518.0
2025-08-26,BTC/USD,110127.74,112399.99,108670.0,111788.01,7735.56524843
2025-08-26,BTC/USDC,110127.74,112399.99,108670.0,111788.01,7735.56524843
2025-08-26,BTC/USDT,110036.39,112378.17,108652.63,111779.51,267.2186174
2025-08-26,CLANKER/USD,49.98,56.94,46.75,53.52,23588.5449
2025-08-26,CLANKER/USDC,49.98,56.94,46.75,53.52,23588.5449
2025-08-26,DIA/USD,0.74138,0.79,0.70149,0.73682,6460158.46
2025-08-26,DIA/USDC,0.74138,0.79,0.70149,0.73682,6460158.46
2025-08-26,DOGE/USD,0.20952,0.22004,0.20711,0.21841,284427592.9
2025-08-26,DOGE/USDC,0.20952,0.22004,0.20711,0.21841,284427592.9
2025-08-26,ENA/USD,0.6214,0.644,0.6174,0.6289,15019230.8
2025-08-26,ENA/USDC,0.6214,0.644,0.6174,0.6289,15019230.8
2025-08-26,ETH/USD,4377.02,4634.71,4311.68,4601.64,241823.89422103
2025-08-26,ETH/USDC,4377.02,4634.71,4311.68,4601.64,241823.89422103
2025-08-26,ETH/USDT,4374.54,4633.3,4311.52,4599.29,9492.11406026
2025-08-26,HBAR/USD,0.2309,0.2451,0.22975,0.24182,132844730.2
2025-08-26,HBAR/USDC,0.2309,0.2451,0.22975,0.24182,132844730.2
2025-08-26,LINK/USD,23.39,24.74,22.88,24.382,3221465.83
2025-08-26,LINK/USDC,23.39,24.74,22.88,24.382,3221465.83
2025-08-26,LTC/USD,109.18,114.81,108.82,113.5,134029.02965324
2025-08-26,LTC/USDC,109.18,114.81,108.82,113.5,134029.02965324
2025-08-26,PENGU/USD,0.02995,0.03165,0.02974,0.03116,980308898.0
2025-08-26,PENGU/USDC,0.02995,0.03165,0.02974,0.03116,980308898.0
2025-08-26,PUMP/USD,0.002633,0.003029,0.002626,0.002881,2611394376.0
2025-08-26,PUMP/USDC,0.002633,0.003029,0.002626,0.002881,2611394376.0
2025-08-26,SOL/USD,187.21,198.1,185.61,195.87,1238426.00115457
2025-08-26,SOL/USDC,187.21,198.1,185.61,195.87,1238426.00115457
2025-08-26,SUI/USD,3.3411,3.4922,3.323,3.4529,12731724.6
2025-08-26,SUI/USDC,3.3411,3.4922,3.323,3.4529,12731724.6
2025-08-26,TAO/USD,320.51,350.51,318.16,334.94,21258.8836
2025-08-26,TAO/USDC,320.51,350.51,318.16,334.94,21258.8836
2025-08-26,USDT/USD,1.00012,1.00026,0.99971,1.00011,106785896.83
2025-08-26,USELESS/USD,0.2201,0.2421,0.2144,0.2314,9770026.1
2025-08-26,USELESS/USDC,0.2201,0.2421,0.2144,0.2314,9770026.1
2025-08-26,XLM/USD,0.3843,0.399652,0.382032,0.394826,59078213.39783248
2025-08-26,XLM/USDC,0.3843,0.399652,0.382032,0.394826,59078213.39783248
2025-08-26,XRP/USD,2.8589,3.0828,2.8463,3.0128,95451101.636956
2025-08-26,XRP/USDC,2.8589,3.0828,2.8463,3.0128,95451101.636956
2025-08-26,ZEC/USD,39.78,43.24,39.18,42.88,15627.94117264
2025-08-26,ZEC/USDC,39.78,43.24,39.18,42.88,15627.94117264
2025-08-26,ZORA/USD,0.09876,0.10319,0.09036,0.09939,227222495.0
2025-08-26,ZORA/USDC,0.09876,0.10319,0.09036,0.09939,227222495.0
2025-08-27,ADA/USD,0.8665,0.8785,0.8467,0.8503,50341892.1381705
2025-08-27,ADA/USDC,0.8665,0.8785,0.8467,0.8503,50341892.1381705
2025-08-27,AVAX/USD,24.17,25.32,23.86,24.42,659176.19932038
2025-08-27,AVAX/USDC,24.17,25.32,23.86,24.42,659176.19932038
2025-08-27,BONK/USD,2.121e-05,2.182e-05,2.092e-05,2.105e-05,759810498827.0
2025-08-27,BTC/USD,111788.04,112683.39,110351.11,111253.21,5151.42127925
2025-08-27,BTC/USDC,111788.04,112683.39,110351.11,111253.21,5151.42127925
2025-08-27,BTC/USDT,111650.07,112621.18,110368.77,111269.98,220.85040106
2025-08-27,CLANKER/USD,53.52,54.2,45.91,46.89,21071.0193
2025-08-27,CLANKER/USDC,53.52,54.2,45.91,46.89,21071.0193
2025-08-27,DIA/USD,0.73669,0.8094,0.73378,0.7654,3593174.0
2025-08-27,DIA/USDC,0.73669,0.8094,0.73378,0.7654,3593174.0
2025-08-27,DOGE/USD,0.21842,0.22387,0.21604,0.21886,305753529.4
2025-08-27,DOGE/USDC,0.21842,0.22387,0.21604,0.21886,305753529.4
2025-08-27,ENA/USD,0.6286,0.6368,0.604,0.6094,17035223.6
2025-08-27,ENA/USDC,0.6286,0.6368,0.604,0.6094,17035223.6
2025-08-27,ETH/USD,4601.63,4664.43,4481.39,4506.95,182804.11996722
2025-08-27,ETH/USDC,4601.63,4664.43,4481.39,4506.95,182804.11996722
2025-08-27,ETH/USDT,4597.96,4663.97,4480.75,4506.18,9853.57117322
2025-08-27,HBAR/USD,0.24184,0.24367,0.23713,0.23757,105676481.7
2025-08-27,HBAR/USDC,0.24184,0.24367,0.23713,0.23757,105676481.7
2025-08-27,LINK/USD,24.386,24.694,23.583,23.776,2542134.31
2025-08-27,LINK/USDC,24.386,24.694,23.583,23.776,2542134.31
2025-08-27,LTC/USD,113.49,116.25,111.96,112.17,146589.40817534
2025-08-27,LTC/USDC,113.49,116.25,111.96,112.17,146589.40817534
2025-08-27,PENGU/USD,0.03116,0.03156,0.02994,0.03003,684729317.0
2025-08-27,PENGU/USDC,0.03116,0.03156,0.02994,0.03003,684729317.0
2025-08-27,PUMP/USD,0.002881,0.003169,0.002863,0.00301,3065662297.0
2025-08-27,PUMP/USDC,0.002881,0.003169,0.002863,0.00301,3065662297.0
2025-08-27,SOL/USD,195.87,212.09,193.77,202.93,2640015.95868801
2025-08-27,SOL/USDC,195.87,212.09,193.77,202.93,2640015.95868801
2025-08-27,SUI/USD,3.4534,3.52,3.4108,3.4366,10007324.7
2025-08-27,SUI/USDC,3.4534,3.52,3.4108,3.4366,10007324.7
2025-08-27,TAO/USD,334.94,341.72,328.66,330.65,12856.8148
2025-08-27,TAO/USDC,334.94,341.72,328.66,330.65,12856.8148
2025-08-27,USDT/USD,1.00011,1.0002,0.99985,1.0,58815776.72
2025-08-27,USELESS/USD,0.2314,0.246,0.2151,0.2158,9500531.6
2025-08-27,USELESS/USDC,0.2314,0.246,0.2151,0.2158,9500531.6
2025-08-27,XLM/USD,0.394854,0.394942,0.377589,0.379008,64665705.73215222
