rank,symbol,name,price,market_cap,circulating_supply,total_supply,max_supply,effective_max_supply,circulating_pct,potential_dilution_pct,locked_tokens,volume_24h,market_cap_dominance,timestamp
44,ONDO,Ondo,0.6893531171617728,2177740622.565376,3159107529.0,10000000000.0,,10000000000.0,31.59107529,216.54509725300332,6840892471.0,87689904.10530372,0.0589,2025-11-02T17:04:02.597004
45,ICP,Internet Computer,4.011836862670988,2164270829.324531,539471295.421422,539471295.421422,,539471295.421422,100.0,0.0,0.0,305251595.33081466,0.0585,2025-11-02T17:04:02.597010
46,PI,Pi,0.2513549517111138,2085303623.8785176,8296250420.700642,100000000000.0,100000000000.0,100000000000.0,8.296250420700641,1105.3638080943406,91703749579.29936,24022302.83178218,0.0564,2025-11-02T17:04:02.597012
47,POL,Polygon (prev. MATIC),0.19007989875085546,2001528218.9479127,10529931003.232422,10529931013.232422,,10529931013.232422,99.99999990503262,9.496738389767468e-08,10.0,103609197.41315465,0.0541,2025-11-02T17:04:02.597017
48,WLD,Worldcoin,0.8348406429890622,1895500560.3005054,2270493867.564782,10000000000.0,,10000000000.0,22.70493867564782,340.4328125636163,7729506132.435218,138845992.5939407,0.0513,2025-11-02T17:04:02.597019
49,KCS,KuCoin Token,13.43263960931176,1742600979.4569101,129728856.73556715,142228856.73556715,200000000.0,200000000.0,64.86442836778357,54.16770411202347,70271143.26443285,4899971.82235933,0.0471,2025-11-02T17:04:02.597020
50,ARB,Arbitrum,0.3018807035044799,1663269670.1856222,5509691911.0,10000000000.0,,10000000000.0,55.096919109999995,81.49835165983022,4490308089.0,137885383.27635196,0.045,2025-11-02T17:04:02.597022
51,ALGO,Algorand,0.17555866876686113,1543211812.43725,8790291150.399462,10000000000.0,10000000000.0,10000000000.0,87.90291150399462,13.761874651280065,1209708849.6005383,46899794.24743454,0.0417,2025-11-02T17:04:02.597023
52,XAUt,Tether Gold,3998.1888274801536,1518262796.4186015,379737.6417,522089.3,,522089.3,72.73423180670433,37.486844249288445,142351.6583,66086247.48104548,0.0411,2025-11-02T17:04:02.597025
53,PUMP,Pump.fun,0.004259187537804835,1507752388.3829114,354000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,35.4,182.48587570621467,646000000000.0,291549643.4213879,0.0408,2025-11-02T17:04:02.597066
54,TRUMP,OFFICIAL TRUMP,7.545251936914861,1509044636.65357,199999237.834674,999999264.74745,999999993.45,999999993.45,19.999923914466898,400.00190214556375,800000755.615326,547054403.0742277,0.0408,2025-11-02T17:04:02.597068
55,ATOM,Cosmos,2.982012214640052,1419129682.846526,475896670.0,475896670.0,,475896670.0,100.0,0.0,0.0,74683429.1848108,0.0384,2025-11-02T17:04:02.597069
56,IP,Story,4.291535109388658,1384416129.9700174,322592288.0,1016975624.0,,1016975624.0,31.720749287103857,215.2510651463559,694383336.0,27453617.78067564,0.0374,2025-11-02T17:04:02.597071
57,KAS,Kaspa,0.05142858358821557,1382190306.8876712,26875916279.451813,26875916279.451813,28704026601.0,28704026601.0,93.63117116995531,6.802039054370336,1828110321.5481873,31313332.26442522,0.0374,2025-11-02T17:04:02.597076
58,VET,VeChain,0.01589703368032746,1366907095.5951123,85985041177.0,85985041177.0,86712634466.0,86712634466.0,99.1609143310191,0.8461858935465891,727593289.0,24208850.53981115,0.037,2025-11-02T17:04:02.597078
59,PAXG,PAX Gold,4001.1356562273077,1332185758.9099853,332951.91,332951.91,,332951.91,100.0,0.0,0.0,75690225.19301704,0.036,2025-11-02T17:04:02.597079
60,SKY,Sky,0.055365858291980125,1294256162.7303433,23376430938.808716,23462665147.365967,23462665147.0,23462665147.0,99.63246200868059,0.368893816241731,86234208.19128418,7401911.88971731,0.035,2025-11-02T17:04:02.597081
61,JUP,Jupiter,0.39784357081663474,1280534680.8918889,3218688888.86,6999010240.053609,7000000000.0,7000000000.0,45.981269840857145,117.47985722469964,3781311111.14,33870523.81130455,0.0346,2025-11-02T17:04:02.597082
62,FLR,Flare,0.015629582849642498,1201480058.8055005,76872176971.31197,104215994206.60777,,104215994206.60777,73.76236014110579,35.57049938302161,27343817235.295807,12023280.96790521,0.0325,2025-11-02T17:04:02.597084
63,SEI,Sei,0.191914785639364,1199254171.4247236,6248888888.0,10000000000.0,,10000000000.0,62.488888880000005,60.02844952489737,3751111112.0,84016232.16166574,0.0324,2025-11-02T17:04:02.597085
64,RENDER,Render,2.2543863975216505,1169090104.644275,518584616.1640741,533344789.44407415,644168762.0,644168762.0,80.50446509606968,24.216712552111748,125584145.83592588,40497230.78879847,0.0316,2025-11-02T17:04:02.597086
65,FIL,Filecoin,1.6388977055669416,1156042831.537574,705378272.0,1958846480.0,,1958846480.0,36.00988026381731,177.70156209177932,1253468208.0,277934982.83428395,0.0313,2025-11-02T17:04:02.597088
66,BONK,Bonk,1.3798059716384802e-05,1131812605.8829813,82026939232549.2,87995307250550.44,88872433754423.19,88872433754423.19,92.29739275421464,8.345422352608784,6845494521873.984,105915981.77030909,0.0306,2025-11-02T17:04:02.597089
67,DASH,Dash,89.01067397353687,1110018803.689255,12470625.75910016,12470625.75910016,18900000.0,18900000.0,65.98214687354582,51.55614774349353,6429374.24089984,946583573.939808,0.03,2025-11-02T17:04:02.597094
68,PENGU,Pudgy Penguins,0.017592265254479784,1105856762.0176475,62860396090.04,88888888888.0,,88888888888.0,70.71794560200219,41.406822764332084,26028492797.96,134959952.77328005,0.0299,2025-11-02T17:04:02.597096
69,VIRTUAL,Virtuals Protocol,1.6779719259010817,1100882412.644493,656079160.5934123,1000000000.0,1000000000.0,1000000000.0,65.60791605934124,52.420631543229824,343920839.4065877,636693625.0683099,0.0298,2025-11-02T17:04:02.597097
70,GT,GateToken,12.9898348054342,1042739495.6045626,80273499.33413629,117344473.53114802,300000000.0,300000000.0,26.757833111378766,273.7223398612013,219726500.6658637,5174244.10054347,0.0282,2025-11-02T17:04:02.597099
71,XDC,XDC Network,0.05864794229984034,1041275984.2313894,17754689139.949997,38030266269.6,,38030266269.6,46.685681909470205,114.1984349589525,20275577129.65,22646257.11619852,0.0282,2025-11-02T17:04:02.597100
72,FDUSD,First Digital USD,0.9982435864638624,1025244293.7398837,1027048215.127199,1027048215.127199,,1027048215.127199,100.0,0.0,0.0,2719090593.194255,0.0277,2025-11-02T17:04:02.597101
73,IMX,Immutable,0.5020715006568456,998606422.0939144,1988972528.3898141,2000000000.0,2000000000.0,2000000000.0,99.44862641949071,0.5544305641623529,11027471.610185862,44902209.68399584,0.027,2025-11-02T17:04:02.597103
74,QNT,Quant,78.82477804130295,951630893.2008036,12072738.0,14881364.0,14881364.0,14881364.0,81.1265553345782,23.264200714038523,2808626.0,14384448.8560927,0.0257,2025-11-02T17:04:02.597104
75,AERO,Aerodrome Finance,1.006917539594058,908967036.9447155,902722418.8697404,1776330407.327852,,1776330407.327852,50.81951055646865,96.77481916887788,873607988.4581116,43618043.00611148,0.0246,2025-11-02T17:04:02.597106
76,RLUSD,Ripple USD,1.0001925962607428,898670059.6448904,898497012.4799982,898497012.4799982,,898497012.4799982,100.0,0.0,0.0,39616657.31060241,0.0243,2025-11-02T17:04:02.597107
77,CAKE,PancakeSwap,2.4779860122437296,845062020.7225279,341027760.6681701,355637771.64276767,450000000.0,450000000.0,75.78394681514891,31.954067058447787,108972239.3318299,91349480.80041245,0.0229,2025-11-02T17:04:02.597112
78,SPX,SPX6900,0.8586235533047712,799372595.0980924,930993090.07,930993090.07,1000000000.0,1000000000.0,93.099309007,7.412182825633154,69006909.92999995,25182022.33527703,0.0216,2025-11-02T17:04:02.597114
79,TIA,Celestia,0.9486109852880331,790548009.7793704,833374293.614501,1151044158.612593,,1151044158.612593,72.40159183979577,38.118510185897144,317669864.99809194,73431358.30552532,0.0214,2025-11-02T17:04:02.597115
80,OP,Optimism,0.4145069309070395,786141785.9081502,1896570907.0,4294967296.0,4294967296.0,4294967296.0,44.15798250120133,126.45962142242225,2398396389.0,98876580.97862083,0.0213,2025-11-02T17:04:02.597117
81,LDO,Lido DAO,0.8722758183857401,781357465.9770982,895768803.2933228,1000000000.0,,1000000000.0,89.57688032933227,11.635948508528971,104231196.7066772,41919458.46911827,0.0211,2025-11-02T17:04:02.597118
82,INJ,Injective,7.67681627970502,767458504.452827,99970935.41,100000000.0,,100000000.0,99.97093541,0.02907303995986845,29064.590000003576,74232338.67315271,0.0208,2025-11-02T17:04:02.597119
83,STX,Stacks,0.4180092512132227,755997181.3142618,1808565669.58762,1808565669.58762,,1808565669.58762,100.0,0.0,0.0,12580647.38610506,0.0204,2025-11-02T17:04:02.597121
84,NEXO,Nexo,1.1213228869293348,724538118.2092643,646145839.5746847,1000000000.0,1000000000.0,1000000000.0,64.61458395746847,54.76382246123168,353854160.42531526,7393566.57620343,0.0196,2025-11-02T17:04:02.597122
85,MORPHO,Morpho,2.012029828048903,715127747.0476829,355426016.5919874,999999999.8010328,1000000000.0,1000000000.0,35.54260165919874,181.35250468959163,644573983.4080126,25293782.29746207,0.0193,2025-11-02T17:04:02.597124
86,GRT,The Graph,0.06349020150044979,670723357.979221,10564202697.867786,11389225638.000912,,11389225638.000912,92.75611032430176,7.809609146364097,825022940.1331253,22701949.66807573,0.0181,2025-11-02T17:04:02.597125
