date,portfolio_value,return,n_positions,valid_positions,rolling_30d
2024-11-29,8572.97165242624,-0.03131209281227706,4,2,26.96220989478923
2024-11-30,9265.92781902464,0.08083033453193418,4,2,34.44329373319091
2024-12-01,9321.718525864866,0.006021059944550476,4,2,29.79540039818017
2024-12-02,9408.810258122492,0.011786886058161089,5,2,32.583927749121386
2024-12-03,9403.593372216052,-0.0005544681807071921,5,2,32.79406960525613
2024-12-04,9380.660712341092,-0.002438712412078216,5,2,31.703714928051063
2024-12-05,9378.629621559017,-0.00021651894726371708,5,2,29.178663798250405
2024-12-06,9307.466694811052,-0.007587774506456738,5,2,19.84508492995595
2024-12-07,9209.121816119763,-0.010566234821567197,5,2,16.893243331319926
2024-12-08,9231.405604016396,0.002419751670308779,5,2,11.608004894271982
2024-12-09,9834.282423829682,0.06530715317621691,5,2,21.21148191935082
2024-12-10,9993.854035525506,0.016226055427202683,5,2,24.16257579675137
2024-12-11,9604.079086536944,-0.03900146506072798,5,2,23.61860028667509
2024-12-12,9576.309426980672,-0.0028914442817531555,5,2,29.057131786048775
2024-12-13,9558.065430030472,-0.001905117737611791,5,2,34.1497453781721
2024-12-14,9824.370881931894,0.027861856967908716,5,2,39.50870020617651
2024-12-15,9729.454590516729,-0.00966130987478559,5,2,36.78269724983421
2024-12-16,9803.404499565484,0.007600622250792196,5,2,23.209442496113777
2024-12-17,9985.728701372818,0.01859804946489929,5,2,24.611943591911846
2024-12-18,10455.369313325122,0.04703118079782585,5,2,30.92385893390719
2024-12-19,10839.755638064888,0.03676449039919381,5,2,39.241462791216435
2024-12-20,10443.066829672896,-0.036595733486738266,5,2,35.75172896075928
2024-12-21,10868.02606316882,0.04069295355732532,5,2,32.57607635415838
2024-12-22,10806.29749672686,-0.005679832389356801,5,2,34.23451782736657
2024-12-23,10468.09923917935,-0.03129640449468901,5,2,26.945775159658986
2024-12-24,10347.672780597393,-0.0115041380321684,5,2,21.693461525585754
2024-12-25,10451.218274807676,0.010006645591309971,5,2,30.579179762105497
2024-12-26,10780.40049858859,0.031497019306772706,5,2,26.03410671085969
2024-12-27,10564.931301665281,-0.019987123572219552,5,2,15.476424077902278
2024-12-28,10439.330879213221,-0.011888427748911464,5,2,17.95572607850898
2024-12-29,10702.956748305121,0.02525313855285796,5,2,23.612249215022484
2024-12-30,10694.588646322574,-0.0007818495560932657,5,2,15.451030806219743
2024-12-31,10781.14722801793,0.008093680323564334,5,2,15.658292844121128
2025-01-01,10790.233243399545,0.000842768880662717,5,2,14.563881126371289
2025-01-02,10614.069043206711,-0.016238595630264502,5,2,12.99546838141556
2025-01-03,10177.874593677003,-0.0410958745184425,5,2,9.129752170779131
2025-01-04,10210.396280016748,0.003195331799425978,5,2,9.4709372454481
2025-01-05,10304.484895612977,0.009214981771116418,5,2,11.151212873205415
2025-01-06,10205.37622293986,-0.009618013290049302,5,2,11.246035026357205
2025-01-07,10679.458483124907,0.04645416786491385,5,2,15.649476645817712
2025-01-08,10892.202583729726,0.019920869671527293,5,2,11.11084829534875
2025-01-09,11079.5302061314,0.017198323384243267,5,2,11.208075091052809
2025-01-10,10996.030668918236,-0.007536378859002024,5,2,14.354583711225406
2025-01-11,10969.53260634996,-0.0024097843454709035,5,2,14.40274970485363
2025-01-12,11076.267411562023,0.009730114221118016,5,2,15.566272900726613
2025-01-13,11247.842932064992,0.015490373618451094,5,2,14.329124565780848
2025-01-14,11112.416047486971,-0.012040253886542916,5,2,14.091230164605118
2025-01-15,10661.823574529224,-0.04054856036996986,5,2,9.27631190252891
2025-01-16,10734.665494837227,0.006832032043938667,5,2,8.09971016043285
2025-01-17,10267.680100525216,-0.04350255669695571,5,2,-0.9536635890453088
2025-01-18,10428.743315968557,0.01568642710587592,5,2,-3.0614699183770977
2025-01-19,10744.723950223199,0.030299013474692636,5,2,3.6280047777659927
2025-01-20,10848.422835724587,0.00965114469034201,5,2,0.5238238910676614
2025-01-21,10581.145031750677,-0.02463748030669924,5,2,-1.3719409006665824
2025-01-22,10705.708344308854,0.011772195937623086,5,2,2.9349191425646275
2025-01-23,10712.400280427315,0.000625081115909404,5,2,4.147841057372408
2025-01-24,10833.486126001915,0.01130333467802125,5,2,4.277509966043535
2025-01-25,10796.886346179204,-0.003378393565748569,5,2,0.7899686787914081
2025-01-26,10999.098786945853,0.018728773674477648,5,2,4.661558403461128
2025-01-27,11078.990143426894,0.007263445672099819,5,2,6.576745745562255
2025-01-28,11564.679055911978,0.04383873495665486,5,2,8.435305385941946
2025-01-29,11415.203694430984,-0.012925162968926637,5,2,7.220974044658609
2025-01-30,11280.253482757202,-0.011821971406399005,5,2,5.229408871662276
2025-01-31,11267.974386516878,-0.0010885479000177383,5,2,5.03627719359423
2025-02-01,11751.44803478002,0.042906882078260766,5,2,10.950824964446756
2025-02-02,11990.592913542625,0.023999681706150217,3,3,17.46038058690603
2025-02-03,11764.89767377043,-0.018822692205427594,3,3,15.25857818642067
2025-02-04,11688.069238580056,-0.006530310532293096,3,3,13.68404895607972
2025-02-05,11980.251172229397,0.024998306194568554,3,3,17.145680904541504
2025-02-06,11500.800687220826,-0.040020069539105516,3,3,8.49825716413957
2025-02-07,11260.583216772124,-0.020887021432831426,3,3,4.417468053703696
2025-02-08,11393.248760245207,0.011781409623214265,3,3,3.8757766776007965
2025-02-09,10751.481404640117,-0.056328740740255526,3,3,-1.0034595105245534
