date,portfolio_value,return,n_positions,n_long,n_short,rolling_return_30d
2021-07-26,1.8303309367763654,-0.00906140165341325,5,1,4,0.3603502758113941
2021-07-27,1.811331454532318,-0.010380353553718443,5,1,4,0.2412667216984318
2021-07-28,1.8121115212149763,0.0004306592703982228,5,1,4,0.7366951185585199
2021-07-29,1.7786537497813617,-0.018463417423217967,5,1,4,-5.8256551300606
2021-07-30,1.7405410858566888,-0.021427815239114353,5,1,4,-7.593551368389812
2021-07-31,1.7445665924817095,0.002312790348777844,5,1,4,-7.961062106127868
2021-08-01,1.7321286562043683,-0.007129527947481685,5,1,4,-10.167042953677603
2021-08-02,1.538926128382133,-0.11154051815388945,6,1,5,-24.9540868184143
2021-08-03,1.6190346788271683,0.052054838089761475,6,1,5,-16.10058578378322
2021-08-04,1.6660341063214277,0.029029290174504386,6,1,5,-12.093426919229007
2021-08-05,1.610640779852845,-0.0332486149343546,6,1,5,-10.21945055733697
2021-08-06,1.45004982937351,-0.09970624889679461,6,1,5,-17.305819729862826
2021-08-07,1.3207944316006652,-0.08913859038119347,6,1,5,-27.037756012005985
2021-08-08,1.387841569652683,0.05076273525075628,6,1,5,-21.00264948305486
2021-08-09,1.3119123406016846,-0.0547103003046667,6,1,5,-26.596291999567068
2021-08-10,1.2837462873951648,-0.02146946280999386,6,1,5,-28.70676397527832
2021-08-11,1.2605166985114669,-0.01809515564857663,6,1,5,-30.254855167794997
2021-08-12,1.2523399270161453,-0.006486841074757207,6,1,5,-28.817324835614187
2021-08-13,1.1505498342895921,-0.08127992291125044,6,1,5,-37.442632251466655
2021-08-14,1.1372681565293523,-0.011543765740873416,6,1,5,-38.271706757205884
2021-08-15,1.1870624028505643,0.04378408560490354,6,1,5,-34.75708152835018
2021-08-16,1.1500760475649443,-0.03115788622131612,6,1,5,-38.29646306243137
2021-08-17,1.3171939993313233,0.14531034892885375,6,1,5,-24.15692877060375
2021-08-18,1.4950492783422928,0.13502588009151137,6,1,5,-15.389913017495212
2021-08-19,1.2965200570280166,-0.13279108868866513,6,1,5,-28.490809872322497
2021-08-20,1.3234314038423818,0.020756598919150902,6,1,5,-24.202797735196096
2021-08-21,1.299273735870729,-0.01825381194787635,6,1,5,-22.913379423704093
2021-08-22,1.2409243106979717,-0.04490926243010167,6,1,5,-30.919117894611205
2021-08-23,1.2208548235137084,-0.01617301475299083,6,1,5,-40.10348007196601
2021-08-24,1.4966100775389695,0.22587063483241804,6,1,5,-13.162913920321037
2021-08-25,1.3578748711101145,-0.09269963400018763,6,1,5,-21.526737154998475
2021-08-26,1.4131901614143598,0.04073666247245804,6,1,5,-16.415035552380825
2021-08-27,1.3874015065544767,-0.01824853835245574,6,1,5,-18.28295531466622
2021-08-28,1.4023107999714854,0.01074619952953278,6,1,5,-15.361993619391148
2021-08-29,1.384104448475347,-0.0129831072373604,6,1,5,-14.517522819215753
