date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2024-08-05,41176.068604591324,4,3,0.5,0.5,1.3877787807814457e-17,1.0,0.09251154999784014,-0.006650859497390305,-0.006673075019750383
2024-08-06,41809.446990413635,4,3,0.5,0.5,-1.3877787807814457e-17,1.0,0.08736709508777357,0.015382196680906235,0.015265090071268079
2024-08-07,40587.41832091498,3,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.09500498162534905,-0.029228529853046137,-0.029664193543650106
2024-08-08,40158.01215116525,3,0,0.5,0.0,0.5,0.5,0.04058202804883998,-0.010579785251540796,-0.01063614907678938
2024-08-09,40119.08929261158,3,2,0.5,0.49999999999999994,8.326672684688674e-17,1.0,0.0471745776894061,-0.0009692426608954863,-0.0009697126802964493
2024-08-10,38795.31405686555,4,2,0.5,0.49999999999999994,8.326672684688674e-17,1.0,0.06015093343968253,-0.03299614370832227,-0.03355279564467673
2024-08-11,38858.83882390342,1,3,0.5,0.5,0.0,1.0,0.0483585,0.0016374340196023685,0.001636094886147247
2024-08-12,38725.96200557744,0,2,0.0,0.5,-0.5,0.5,0.015,-0.0034194747539454395,-0.003425334519769538
2024-08-13,38677.441348592925,3,1,0.5,0.5,-2.7755575615628914e-17,1.0,0.02626279151108117,-0.001252923219248303,-0.0012537087837815547
2024-08-14,38789.68072789518,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.04657477751469519,0.0029019339281175505,0.0028977314461096425
2024-08-15,38294.628398235385,4,2,0.5,0.5,-8.326672684688674e-17,1.0,0.0545249358417131,-0.012762474977108695,-0.012844614982435037
2024-08-16,38024.26221109289,2,1,0.5,0.5,-2.7755575615628914e-17,1.0,0.05712063808673453,-0.007060159569401869,-0.007085200427214987
2024-08-17,37920.30172351115,4,4,0.5,0.5,4.163336342344337e-17,1.0,0.04537023393910761,-0.0027340566663622834,-0.002737801025707377
2024-08-18,37881.77704035243,4,2,0.5,0.5,1.3877787807814457e-17,1.0,0.05962740863355053,-0.0010159382021698304,-0.0010164546171785957
2024-08-19,38236.144124588,3,1,0.5,0.5,-1.3877787807814457e-17,1.0,0.04167620781901203,0.009354552819897943,0.009311069955490517
2024-08-20,38986.509729310965,4,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.0580811970815496,0.019624510313539734,0.019434432377160464
2024-08-21,38666.60155064656,2,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.03564799427833649,-0.008205612169070009,-0.008239463512451906
