date,portfolio_value,num_positions,positions
2023-08-26,57393.379549688456,1,BLZ/USD
2023-08-27,56547.16319899921,0,None
2023-08-28,56547.16319899921,0,None
2023-08-29,56547.16319899921,0,None
2023-08-30,56547.16319899921,0,None
2023-08-31,56547.16319899921,0,None
2023-09-01,56547.16319899921,0,None
2023-09-02,56547.16319899921,0,None
2023-09-03,56547.16319899921,0,None
2023-09-04,56547.16319899921,1,BLZ/USD
2023-09-05,60731.049415858804,1,BLZ/USD
2023-09-06,58272.47710285884,1,BLZ/USD
2023-09-07,56072.701875437815,1,BLZ/USD
2023-09-08,54347.38797157819,1,BLZ/USD
2023-09-09,52363.276982139614,1,BLZ/USD
2023-09-10,58790.071274016715,1,BLZ/USD
2023-09-11,59480.196835560564,0,None
2023-09-12,59480.196835560564,0,None
2023-09-13,59480.196835560564,0,None
2023-09-14,59480.196835560564,0,None
2023-09-15,59480.196835560564,0,None
2023-09-16,59480.196835560564,0,None
2023-09-17,59480.196835560564,0,None
2023-09-18,59480.196835560564,1,BLZ/USD
2023-09-19,67105.05185543829,1,BLZ/USD
2023-09-20,63719.74278022287,1,BLZ/USD
2023-09-21,58531.04475839738,1,BLZ/USD
2023-09-22,56569.46379892676,1,BLZ/USD
2023-09-23,56632.74060407097,1,BLZ/USD
2023-09-24,56696.01740921519,1,BLZ/USD
2023-09-25,58404.49114810895,1,BLZ/USD
2023-09-26,51981.8954259713,0,None
2023-09-27,51981.8954259713,0,None
2023-09-28,51981.8954259713,0,None
2023-09-29,51981.8954259713,0,None
2023-09-30,51981.8954259713,0,None
2023-10-01,51981.8954259713,0,None
2023-10-02,51981.8954259713,0,None
2023-10-03,51981.8954259713,0,None
2023-10-04,51981.8954259713,0,None
2023-10-05,51981.8954259713,0,None
2023-10-06,51981.8954259713,0,None
2023-10-07,51981.8954259713,0,None
2023-10-08,51981.8954259713,0,None
2023-10-09,51981.8954259713,0,None
2023-10-10,51981.8954259713,0,None
2023-10-11,51981.8954259713,0,None
2023-10-12,51981.8954259713,0,None
2023-10-13,51981.8954259713,0,None
2023-10-14,51981.8954259713,0,None
2023-10-15,51981.8954259713,0,None
2023-10-16,51981.8954259713,0,None
2023-10-17,51981.8954259713,0,None
2023-10-18,51981.8954259713,0,None
2023-10-19,51981.8954259713,0,None
2023-10-20,51981.8954259713,0,None
2023-10-21,51981.8954259713,1,LINK/USD
2023-10-22,59480.34943806319,1,LINK/USD
2023-10-23,61713.55930325074,3,"BLZ/USD, BTC/USD, LINK/USD"
2023-10-24,61936.629420425255,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-10-25,63639.94771125318,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-10-26,62223.004596296996,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-10-27,61043.53062354136,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-10-28,61221.17966910122,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-10-29,64235.173728676564,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-10-30,64872.52120815879,2,"BLZ/USD, LINK/USD"
2023-10-31,66746.67312822837,2,"BLZ/USD, LINK/USD"
2023-11-01,67434.84292186884,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-11-02,66342.95822323929,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-11-03,66341.45465254472,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-11-04,66818.1469052257,4,"AAVE/USD, BLZ/USD, BTC/USD, LINK/USD"
2023-11-05,67435.1597560669,5,"AAVE/USD, BLZ/USD, BTC/USD, EGLD/USD, LINK/USD"
2023-11-06,69190.03389564331,6,"AAVE/USD, BTC/USD, EGLD/USD, GRT/USD, IMX/USD, LINK/USD"
