date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions,daily_return,log_return
2025-09-12,53706.9869546132,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.009237245439169817,0.009194843008604719
2025-09-13,53708.1740145521,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,2.2102523455691525e-05,2.2102279198519098e-05
2025-09-14,53309.57553917725,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.007421560734253485,-0.007449237537866068
2025-09-15,53157.199643634514,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.002858321305348799,-0.0028624141065789217
2025-09-16,53346.152127461544,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.003554598155917965,0.003548295503075914
2025-09-17,53859.126754566845,9,0,0.49999999999999994,0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.009615963038526854,0.009570023930336999
2025-09-18,53898.427479525875,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.0007296948043387097,0.0007294287065238972
2025-09-19,53261.55009864731,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.011816251617368434,-0.011886618382068387
2025-09-20,53288.176120216165,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.0004999107521193036,0.0004997858383680124
2025-09-21,52863.89441706753,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.007962023361270054,-0.007993889528090338
