date,portfolio_value,long_exposure,short_exposure,net_exposure,gross_exposure
2022-11-03,7246.277074537746,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-11-04,7257.71430469282,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-11-05,7380.650743229513,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-11-06,7390.830179990142,0.5,0.5,0.0,1.0
2022-11-07,7224.366836399952,0.5,0.5,0.0,1.0
2022-11-08,7384.264146322632,0.5,0.5,0.0,1.0
2022-11-09,7475.129719555334,0.5,0.5,0.0,1.0
2022-11-10,7379.710019678839,0.5,0.5,0.0,1.0
2022-11-11,7398.84095059422,0.5,0.5,0.0,1.0
2022-11-12,7425.223288383015,0.5,0.5,0.0,1.0
2022-11-13,7297.229224040815,0.5,0.5,0.0,1.0
2022-11-14,7381.034909336186,0.5,0.5,0.0,1.0
2022-11-15,7253.507101635225,0.5,0.5,0.0,1.0
2022-11-16,7277.417653907128,0.5,0.5,0.0,1.0
2022-11-17,7283.4778717163135,0.5,0.5,0.0,1.0
2022-11-18,7292.875483007164,0.5,0.5,0.0,1.0
2022-11-19,7098.342236855685,0.5,0.5,0.0,1.0
2022-11-20,7062.35674495208,0.5,0.5,0.0,1.0
2022-11-21,7009.054552369686,0.5,0.5,0.0,1.0
2022-11-22,6935.0269208200525,0.5,0.5,0.0,1.0
2022-11-23,6926.8960188988185,0.5,0.5,0.0,1.0
2022-11-24,6964.415222168123,0.5,0.5,0.0,1.0
2022-11-25,7033.936920272469,0.5,0.5,0.0,1.0
2022-11-26,7047.055326614465,0.5,0.5,0.0,1.0
2022-11-27,6973.024228547501,0.5,0.5,0.0,1.0
2022-11-28,7023.294029326116,0.5,0.5,0.0,1.0
2022-11-29,7105.6563678760185,0.5,0.5,0.0,1.0
2022-11-30,7135.086051161061,0.5,0.5,0.0,1.0
2022-12-01,7127.781957944695,0.5,0.5,0.0,1.0
2022-12-02,7150.163331544564,0.5,0.5,0.0,1.0
2022-12-03,7157.126448672339,0.5,0.5,0.0,1.0
2022-12-04,7114.4432989002635,0.5,0.5,0.0,1.0
2022-12-05,7093.855945415571,0.5,0.5,0.0,1.0
2022-12-06,6990.882455698158,0.5,0.5,0.0,1.0
2022-12-07,7018.357929136655,0.5,0.5,0.0,1.0
2022-12-08,7027.755176198781,0.5,0.5,0.0,1.0
2022-12-09,7063.162523678219,0.5,0.5,0.0,1.0
2022-12-10,6991.584641770462,0.5,0.5,0.0,1.0
2022-12-11,7062.461243360271,0.5,0.5,0.0,1.0
2022-12-12,7201.339142787165,0.5,0.5,0.0,1.0
2022-12-13,7243.4410840918645,0.5,0.5,0.0,1.0
2022-12-14,7219.839894476854,0.5,0.5,0.0,1.0
2022-12-15,7382.790168771831,0.5,0.5,0.0,1.0
2022-12-16,7351.744253250701,0.5,0.5,0.0,1.0
2022-12-17,7335.487368660501,0.5,0.5,0.0,1.0
2022-12-18,7326.158387625245,0.5,0.5,0.0,1.0
2022-12-19,7371.831861568982,0.5,0.5,0.0,1.0
2022-12-20,7353.446980944642,0.5,0.5,0.0,1.0
2022-12-21,7433.950598367848,0.5,0.5,0.0,1.0
2022-12-22,7471.166079835552,0.5,0.5,0.0,1.0
2022-12-23,7461.401328977203,0.5,0.5,0.0,1.0
2022-12-24,7445.186323382375,0.5,0.5,0.0,1.0
2022-12-25,7424.319740422723,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-12-26,7447.840238497364,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-12-27,7556.5210553834995,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-12-28,7509.842799176834,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-12-29,7476.753613104535,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-12-30,7440.271120671806,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-12-31,7424.566426468919,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-01,7476.890720183353,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-02,7490.098319595664,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
