date,portfolio_value,method
2020-10-09,8690.372806290183,Top/Bottom Deciles (10%)
2020-10-10,8612.408263044368,Top/Bottom Deciles (10%)
2020-10-11,8650.152488799595,Top/Bottom Deciles (10%)
2020-10-12,8665.62120344389,Top/Bottom Deciles (10%)
2020-10-13,8828.94644097233,Top/Bottom Deciles (10%)
2020-10-14,9013.160938749137,Top/Bottom Deciles (10%)
2020-10-15,9061.194525831415,Top/Bottom Deciles (10%)
2020-10-16,8600.586803534226,Top/Bottom Deciles (10%)
2020-10-17,8434.362356527628,Top/Bottom Deciles (10%)
2020-10-18,8614.79975995414,Top/Bottom Deciles (10%)
2020-10-19,8353.657615130864,Top/Bottom Deciles (10%)
2020-10-20,8516.08883280053,Top/Bottom Deciles (10%)
2020-10-21,8675.925469558364,Top/Bottom Deciles (10%)
2020-10-22,8697.84721046397,Top/Bottom Deciles (10%)
2020-10-23,8797.752499618733,Top/Bottom Deciles (10%)
2020-10-24,8778.437860450033,Top/Bottom Deciles (10%)
2020-10-25,8854.131421251075,Top/Bottom Deciles (10%)
2020-10-26,8870.388632291262,Top/Bottom Deciles (10%)
2020-10-27,8984.563199381704,Top/Bottom Deciles (10%)
2020-10-28,9134.935453090839,Top/Bottom Deciles (10%)
2020-10-29,9206.395637836471,Top/Bottom Deciles (10%)
2020-10-30,9224.022514647064,Top/Bottom Deciles (10%)
2020-10-31,9203.770070307148,Top/Bottom Deciles (10%)
2020-11-01,9200.398111901764,Top/Bottom Deciles (10%)
2020-11-02,9250.708196551612,Top/Bottom Deciles (10%)
2020-11-03,9224.193397849976,Top/Bottom Deciles (10%)
2020-11-04,9262.955904845412,Top/Bottom Deciles (10%)
2020-11-05,9226.503001716115,Top/Bottom Deciles (10%)
2020-11-06,9093.168089274812,Top/Bottom Deciles (10%)
2020-11-07,9193.232995439997,Top/Bottom Deciles (10%)
2020-11-08,9329.138616816335,Top/Bottom Deciles (10%)
2020-11-09,9350.663001777712,Top/Bottom Deciles (10%)
2020-11-10,9292.105905527931,Top/Bottom Deciles (10%)
2020-11-11,9302.379613144361,Top/Bottom Deciles (10%)
2020-11-12,9407.278935701052,Top/Bottom Deciles (10%)
2020-11-13,9296.725093102745,Top/Bottom Deciles (10%)
2020-11-14,9303.980558596342,Top/Bottom Deciles (10%)
2020-11-15,9267.826658941616,Top/Bottom Deciles (10%)
2020-11-16,9325.384881592885,Top/Bottom Deciles (10%)
2020-11-17,9227.281676839035,Top/Bottom Deciles (10%)
2020-11-18,9312.740725228656,Top/Bottom Deciles (10%)
2020-11-19,9295.132244412276,Top/Bottom Deciles (10%)
2020-11-20,9284.294976470053,Top/Bottom Deciles (10%)
2020-11-21,8599.36881861431,Top/Bottom Deciles (10%)
2020-11-22,8652.028488613816,Top/Bottom Deciles (10%)
2020-11-23,7738.522586488606,Top/Bottom Deciles (10%)
2020-11-24,6102.833425850621,Top/Bottom Deciles (10%)
2020-11-25,5961.565187899757,Top/Bottom Deciles (10%)
2020-11-26,6018.8376469854975,Top/Bottom Deciles (10%)
2020-11-27,5303.72298870299,Top/Bottom Deciles (10%)
2020-11-28,5487.4864974193215,Top/Bottom Deciles (10%)
2020-11-29,5647.364405830247,Top/Bottom Deciles (10%)
2020-11-30,5798.188765576185,Top/Bottom Deciles (10%)
2020-12-01,5869.218552460612,Top/Bottom Deciles (10%)
2020-12-02,5910.044965923431,Top/Bottom Deciles (10%)
2020-12-03,5933.7220882767915,Top/Bottom Deciles (10%)
2020-12-04,6178.9357210059525,Top/Bottom Deciles (10%)
2020-12-05,6073.467139941809,Top/Bottom Deciles (10%)
2020-12-06,6004.112025168276,Top/Bottom Deciles (10%)
2020-12-07,6109.166711596844,Top/Bottom Deciles (10%)
2020-12-08,6237.825438230647,Top/Bottom Deciles (10%)
2020-12-09,5859.440070573574,Top/Bottom Deciles (10%)
2020-12-10,6013.422154773911,Top/Bottom Deciles (10%)
2020-12-11,6142.686718619629,Top/Bottom Deciles (10%)
2020-12-12,6099.629843860219,Top/Bottom Deciles (10%)
2020-12-13,5843.8161781383415,Top/Bottom Deciles (10%)
2020-12-14,5953.051232923676,Top/Bottom Deciles (10%)
2020-12-15,6103.9498260344635,Top/Bottom Deciles (10%)
2020-12-16,5874.672035871325,Top/Bottom Deciles (10%)
2020-12-17,6075.986798745192,Top/Bottom Deciles (10%)
2020-12-18,6124.273804220176,Top/Bottom Deciles (10%)
2020-12-19,6258.342007633637,Top/Bottom Deciles (10%)
2020-12-20,6472.085478365687,Top/Bottom Deciles (10%)
2020-12-21,6465.549660835084,Top/Bottom Deciles (10%)
2020-12-22,6653.037368471306,Top/Bottom Deciles (10%)
2020-12-23,7092.3442877166235,Top/Bottom Deciles (10%)
2020-12-24,6388.922157706397,Top/Bottom Deciles (10%)
2020-12-25,6689.827623561448,Top/Bottom Deciles (10%)
2020-12-26,6955.701845207574,Top/Bottom Deciles (10%)
2020-12-27,7059.750940320565,Top/Bottom Deciles (10%)
2020-12-28,7249.120629622376,Top/Bottom Deciles (10%)
2020-12-29,7383.224726223863,Top/Bottom Deciles (10%)
2020-12-30,7688.048165312136,Top/Bottom Deciles (10%)
2020-12-31,7728.0243655864,Top/Bottom Deciles (10%)
2021-01-01,7614.867592858221,Top/Bottom Deciles (10%)
2021-01-02,8000.712565062507,Top/Bottom Deciles (10%)
2021-01-03,8162.17838696825,Top/Bottom Deciles (10%)
2021-01-04,7187.624134693256,Top/Bottom Deciles (10%)
2021-01-05,6723.541475803324,Top/Bottom Deciles (10%)
2021-01-06,4294.043313839123,Top/Bottom Deciles (10%)
2021-01-07,4580.504843383499,Top/Bottom Deciles (10%)
2021-01-08,4701.5462553836,Top/Bottom Deciles (10%)
2021-01-09,4946.791733904177,Top/Bottom Deciles (10%)
2021-01-10,5147.8746684369835,Top/Bottom Deciles (10%)
2021-01-11,4916.531904977237,Top/Bottom Deciles (10%)
2021-01-12,4725.966483727298,Top/Bottom Deciles (10%)
2021-01-13,4752.498000763016,Top/Bottom Deciles (10%)
2021-01-14,4885.852755053544,Top/Bottom Deciles (10%)
2021-01-15,4885.216339589999,Top/Bottom Deciles (10%)
2021-01-16,4797.280317602396,Top/Bottom Deciles (10%)
2021-01-17,4660.20896429444,Top/Bottom Deciles (10%)
2021-01-18,4746.2964247260425,Top/Bottom Deciles (10%)
2021-01-19,4776.241621271217,Top/Bottom Deciles (10%)
2021-01-20,4772.455821350287,Top/Bottom Deciles (10%)
2021-01-21,4773.0154388833225,Top/Bottom Deciles (10%)
2021-01-22,4739.3023153582135,Top/Bottom Deciles (10%)
2021-01-23,4682.147758821912,Top/Bottom Deciles (10%)
2021-01-24,4700.971373583064,Top/Bottom Deciles (10%)
2021-01-25,4769.267776385877,Top/Bottom Deciles (10%)
2021-01-26,4758.701672025371,Top/Bottom Deciles (10%)
2021-01-27,4758.123812576317,Top/Bottom Deciles (10%)
2021-01-28,4405.652413323847,Top/Bottom Deciles (10%)
2021-01-29,4440.946917753566,Top/Bottom Deciles (10%)
2021-01-30,4203.2030435005445,Top/Bottom Deciles (10%)
2021-01-31,4260.815263587962,Top/Bottom Deciles (10%)
2021-02-01,4198.965535380954,Top/Bottom Deciles (10%)
2021-02-02,4195.650753776557,Top/Bottom Deciles (10%)
2021-02-03,4257.103955044592,Top/Bottom Deciles (10%)
2021-02-04,4302.746140495074,Top/Bottom Deciles (10%)
2021-02-05,4238.028654695246,Top/Bottom Deciles (10%)
2021-02-06,4133.835075296347,Top/Bottom Deciles (10%)
2021-02-07,4051.1817904486284,Top/Bottom Deciles (10%)
2021-02-08,4279.204685513688,Top/Bottom Deciles (10%)
2021-02-09,4329.8979238160255,Top/Bottom Deciles (10%)
2021-02-10,4168.611611795696,Top/Bottom Deciles (10%)
2021-02-11,4109.248334783736,Top/Bottom Deciles (10%)
2021-02-12,3854.8817142482308,Top/Bottom Deciles (10%)
2021-02-13,3877.614954420225,Top/Bottom Deciles (10%)
2021-02-14,4152.560513146367,Top/Bottom Deciles (10%)
2021-02-15,4213.555237913978,Top/Bottom Deciles (10%)
2021-02-16,4266.346351291338,Top/Bottom Deciles (10%)
2021-02-17,4294.583323863184,Top/Bottom Deciles (10%)
2021-02-18,4265.258729196399,Top/Bottom Deciles (10%)
2021-02-19,4308.6342852965845,Top/Bottom Deciles (10%)
2021-02-20,4362.0026337074605,Top/Bottom Deciles (10%)
2021-02-21,4390.729193324951,Top/Bottom Deciles (10%)
2021-02-22,4352.628663633425,Top/Bottom Deciles (10%)
2021-02-23,4412.9642704861035,Top/Bottom Deciles (10%)
2021-02-24,4348.600487101526,Top/Bottom Deciles (10%)
2021-02-25,4364.474896952746,Top/Bottom Deciles (10%)
2021-02-26,4201.807756793158,Top/Bottom Deciles (10%)
2021-02-27,3994.6143804157045,Top/Bottom Deciles (10%)
2021-02-28,4075.6584932373407,Top/Bottom Deciles (10%)
