symbol,category,signal,entry_date,exit_date,entry_price,exit_price,entry_z_score,exit_z_score,position_size,return_pct,pnl,hold_days,exit_reason,market_cap
XLM,Dino Coins,SHORT,2022-11-21,2022-11-22,0.084177,0.087026,2.5266391211074173,0.4967132626777985,10000.0,-0.03384534967984143,-368.4534967984143,1,mean_revert,7216429668.542691
ALGO,Dino Coins,SHORT,2023-01-21,2023-01-25,0.2389,0.2447,2.1719313623017644,-0.4455717652997799,10000.0,-0.024277940560904154,-272.77940560904153,4,mean_revert,1266736278.2437887
ALGO,Dino Coins,SHORT,2023-02-04,2023-02-15,0.267,0.2724,2.1534931413255216,1.0347230711157571,10000.0,-0.020224719101123556,-232.24719101123557,11,time_based,1266736278.2437887
XLM,Dino Coins,SHORT,2023-03-09,2023-03-12,0.077094,0.083101,2.3367884796318883,0.4597176567252366,10000.0,-0.07791786650063548,-809.1786650063548,3,mean_revert,1893577776.7076983
XLM,Dino Coins,SHORT,2023-03-22,2023-03-24,0.091078,0.088897,1.6262267126462528,-0.4363082852583309,10000.0,0.023946507389270733,209.46507389270732,2,mean_revert,1893577776.7076983
XLM,Dino Coins,SHORT,2023-03-28,2023-04-01,0.097757,0.108254,2.017469036625532,1.2803372007958105,10000.0,-0.10737849974937852,-1103.784997493785,4,stop_loss,1893577776.7076983
XLM,Dino Coins,SHORT,2023-06-01,2023-06-04,0.091219,0.091495,2.2644663779163507,0.1227907240103994,10000.0,-0.0030256854383408083,-60.25685438340808,3,mean_revert,1893577776.7076983
XLM,Dino Coins,SHORT,2023-06-06,2023-06-09,0.089665,0.088987,2.839633385407423,0.1557149027437951,10000.0,0.007561478837896596,45.614788378965955,3,mean_revert,1893577776.7076983
XLM,Dino Coins,SHORT,2023-06-27,2023-06-30,0.102839,0.110705,2.43840372140559,-0.0888790880918376,10000.0,-0.07648849172006722,-794.8849172006722,3,mean_revert,1893577776.7076983
XLM,Dino Coins,SHORT,2023-07-01,2023-07-05,0.107362,0.10053,1.879630374721624,0.0222385941240278,10000.0,0.06363517818222464,606.3517818222464,4,mean_revert,1893577776.7076983
XLM,Dino Coins,SHORT,2023-08-12,2023-08-14,0.137892,0.135969,6.071152586586327,-0.420259556654153,10000.0,0.013945696632146731,109.45696632146732,2,mean_revert,1893577776.7076983
XLM,Dino Coins,SHORT,2023-10-20,2023-10-22,0.107542,0.110888,1.6905980537327718,-0.0281062258844004,10000.0,-0.031113425452381493,-341.13425452381495,2,mean_revert,1893577776.7076983
XLM,Dino Coins,SHORT,2023-11-01,2023-11-03,0.122594,0.122487,1.8454148389608236,0.2829464538889898,10000.0,0.0008727996476173283,-21.27200352382672,2,mean_revert,1893577776.7076983
ALGO,Dino Coins,SHORT,2023-11-13,2023-11-15,0.1331,0.1423,3.559443696624101,-0.003340450168781,10000.0,-0.06912096168294535,-721.2096168294535,2,mean_revert,1266736278.2437887
ALGO,Dino Coins,SHORT,2023-11-16,2023-11-18,0.1359,0.1346,2.251847627655516,-0.0528211806791874,10000.0,0.009565857247976428,65.65857247976427,2,mean_revert,1266736278.2437887
