date,symbol,signal,beta,beta_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2023-04-04,XLM/USD,LONG,0.7114925026853135,1.0,16.666666666666664,0.5,0.7197541690582839,1893577776.7076983,93522314.56666666
2023-04-04,GRT/USD,SHORT,1.4436631113574674,6.0,100.0,-0.25,1.067583134033125,492947081.70675015,45884080.436666675
2023-04-04,ZRX/USD,SHORT,1.3542134571681725,5.0,83.33333333333334,-0.25,1.3655768590110033,127578346.47958484,5936433.3536330005
2023-05-04,XLM/USD,LONG,0.7080522722015873,1.0,16.666666666666664,0.5,0.3947247042207835,1893577776.7076983,53628229.7
2023-05-04,GRT/USD,SHORT,1.4561919827419996,6.0,100.0,-0.25,0.7412269928375869,492947081.70675015,28457821.810333334
2023-05-04,ZRX/USD,SHORT,1.3602110390160376,5.0,83.33333333333334,-0.25,0.6594239658406913,127578346.47958484,5053161.674134333
2023-07-03,XLM/USD,LONG,0.6727136181173005,1.0,20.0,0.5,0.6953507681497823,1893577776.7076983,86262947.83333333
2023-07-03,GRT/USD,SHORT,1.1985966437912616,4.0,80.0,-0.25,0.9375464614768859,492947081.70675015,27612512.006333333
2023-07-03,T/USD,SHORT,1.273529145770298,5.0,100.0,-0.25,1.3672535820550307,130504759.00850528,5769033.233333333
2023-09-01,CRO/USD,LONG,0.5704920944802443,1.0,20.0,0.5,0.2850895343716685,1435710780.7498856,5463728.406666666
2023-09-01,ALGO/USD,SHORT,1.2370108462538192,4.0,80.0,-0.25,0.5419505942110171,1266736278.2437887,16827982.633333333
2023-09-01,XLM/USD,SHORT,1.5278992306758934,5.0,100.0,-0.25,0.6627047175065167,1893577776.7076983,58040754.233333334
2023-10-01,CRO/USD,LONG,0.55209005639768,1.0,20.0,0.5,0.2555335328932495,1435710780.7498856,5341401.863333333
2023-10-01,ALGO/USD,SHORT,1.2400099535805271,4.0,80.0,-0.25,0.45359291999601553,1266736278.2437887,9375719.863333335
2023-10-01,XLM/USD,SHORT,1.8025233000344703,5.0,100.0,-0.25,0.4312447232824438,1893577776.7076983,54601960.93333333
2023-11-30,XLM/USD,LONG,0.5106217674361262,1.0,20.0,0.5,0.45568496608314807,1893577776.7076983,77329869.43333334
2023-11-30,CRO/USD,SHORT,1.2357785528813237,5.0,100.0,-0.25,1.311890639876951,1435710780.7498856,30024031.98
2023-11-30,GRT/USD,SHORT,1.1962280015765763,4.0,80.0,-0.25,1.3700659938237545,492947081.70675015,46667609.494
2023-12-30,XLM/USD,LONG,0.5894569273854798,1.0,20.0,0.5,0.47986570577393034,1893577776.7076983,76044605.13333334
2023-12-30,CRO/USD,SHORT,1.1430029717808774,5.0,100.0,-0.25,0.7675748796435388,1435710780.7498856,18865542.373333335
2023-12-30,GRT/USD,SHORT,1.0776621543906848,4.0,80.0,-0.25,0.8471370430069755,492947081.70675015,36563631.028
2024-01-29,POWR/USD,LONG,0.0936338407051704,1.0,16.666666666666664,0.5,3.260053748725423,249236994.93666136,6245060.406666666
2024-01-29,CRO/USD,SHORT,1.244316311036576,5.0,83.33333333333334,-0.25,0.6516640046638088,2193472219.621349,12597471.433333334
2024-01-29,GRT/USD,SHORT,1.3125512663157557,6.0,100.0,-0.25,1.1534806311783907,1527332090.1885202,29197029.084333334
2024-02-28,XLM/USD,LONG,0.5410964335702575,1.0,16.666666666666664,0.5,0.3319849019753375,3259659946.8074923,61831266.95386139
2024-02-28,OXT/USD,SHORT,0.9374709149498597,5.0,83.33333333333334,-0.25,0.48382343533327693,263691628.991675,6945908.3
2024-02-28,SUPER/USD,SHORT,1.5412271473045471,6.0,100.0,-0.25,1.3725290860414079,249927117.5158873,8516882.369333334
2024-03-29,XLM/USD,LONG,0.7466705428061071,1.0,11.11111111111111,0.5,0.993172716050524,3259659946.8074923,152033494.08016554
2024-03-29,BONK/USD,SHORT,2.124216874165661,9.0,100.0,-0.25,2.2923288104184465,651393425.618817,2714474852206.933
2024-03-29,OXT/USD,SHORT,1.0513345514222896,8.0,88.88888888888889,-0.25,1.0802864917599309,263691628.991675,7416230.766666667
2024-04-28,CRO/USD,LONG,0.8501187470075181,1.0,16.666666666666664,0.5,0.714563465683733,2193472219.621349,14503365.823333332
2024-04-28,BONK/USD,SHORT,2.2285920334251355,6.0,100.0,-0.25,1.835020372140114,651393425.618817,1481035809805.1333
2024-04-28,CVC/USD,SHORT,1.194013953808678,5.0,83.33333333333334,-0.25,1.3066995709296536,78213600.61405075,7577218.883333335
