date,portfolio_value,num_positions,num_longs,num_shorts,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return
2024-11-01,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-02,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-03,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-04,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-05,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-06,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-07,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-08,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-09,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-10,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-11,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-12,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-13,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-14,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-15,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-16,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-17,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-18,12560.390800195359,2,2,0,6280.195400097679,0.0,6280.195400097679,6280.195400097679,0.008515674333325673
2024-11-19,12584.190866366158,2,2,0,6292.095433183079,0.0,6292.095433183079,6292.095433183079,0.00189485076932705
2024-11-20,12815.42072106445,2,2,0,6407.710360532225,0.0,6407.710360532225,6407.710360532225,0.018374630292385508
2024-11-21,14257.591299195845,2,2,0,7128.795649597922,0.0,7128.795649597922,7128.795649597922,0.11253400177185968
2024-11-22,16235.910884320625,2,2,0,8117.9554421603125,0.0,8117.9554421603125,8117.9554421603125,0.13875552634450683
2024-11-23,16235.910884320625,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-24,15210.28501530185,3,3,0,7605.142507650925,0.0,7605.142507650925,7605.142507650925,-0.06317020808541418
2024-11-25,14843.723873263598,3,3,0,7421.861936631799,0.0,7421.861936631799,7421.861936631799,-0.02409955774461059
2024-11-26,15371.58258691067,3,3,0,7685.791293455335,0.0,7685.791293455335,7685.791293455335,0.03556107066892067
2024-11-27,15455.294718959853,3,3,0,7727.647359479926,0.0,7727.647359479926,7727.647359479926,0.005445901980220658
2024-11-28,15915.743831438669,3,3,0,7957.8719157193345,0.0,7957.8719157193345,7957.8719157193345,0.0297923217157392
2024-11-29,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-11-30,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-01,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-02,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-03,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-04,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-05,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-06,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-07,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-08,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-09,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-10,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-11,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-12,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-13,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-14,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-15,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-16,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-17,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-18,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-19,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-20,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-21,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-22,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-23,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-24,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-25,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-26,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-27,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-28,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-29,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-30,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-12-31,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-01,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-02,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-03,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-04,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-05,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-06,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-07,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-08,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-09,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-10,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-11,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-12,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-13,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-14,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-15,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-16,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-17,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-18,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-19,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-20,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-21,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-22,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-23,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-24,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-25,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-26,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-27,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-28,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
