date,symbol,signal,roc_pct,cum_funding_pct,spread_pct,spread_rank,percentile,weight,position_size,volatility
2025-04-08,FLOKI/USD,LONG,-20.504201680672274,-30.486352636745004,9.98215095607273,6.0,85.71428571428571,0.25,2439.968927958628,0.9436608439942654
2025-04-15,BONK/USD,LONG,13.185755534167454,-21.094254137233,34.28000967140046,7.0,100.0,0.25,2524.667223077806,1.5117447728753317
2025-04-15,FLOKI/USD,LONG,-10.570469798657712,-39.335044534844,28.76457473618629,6.0,85.71428571428571,0.25,2524.667223077806,1.0929540311420278
2025-04-15,GRT/USD,SHORT,-15.283842794759828,-0.5729999999999928,-14.710842794759834,1.0,14.285714285714285,-0.5,-5049.334446155612,0.9070284412485667
2025-04-22,BONK/USD,LONG,9.791216702663785,-10.739442865014002,20.530659567677787,6.0,85.71428571428571,0.25,2637.0165696479635,1.570815681740646
2025-04-22,FLOKI/USD,LONG,2.8301886792452935,-44.30544776643401,47.1356364456793,7.0,100.0,0.25,2637.0165696479635,1.1732117409051555
2025-04-22,GRT/USD,SHORT,-7.3498964803312745,-1.9976999999999927,-5.352196480331282,1.0,14.285714285714285,-0.5,-5274.033139295927,0.9341643679181976
2025-04-29,BONK/USD,LONG,80.41144901610018,-1.6023907825920018,82.01383979869217,7.0,100.0,0.25,2785.1979978886147,1.7575187674968882
2025-04-29,FLOKI/USD,LONG,45.565217391304344,-30.023898915605,75.58911630690935,6.0,85.71428571428571,0.25,2785.1979978886147,1.2206016672642317
2025-04-29,GRT/USD,SHORT,8.978675645342316,-1.5491999999999932,10.52787564534231,1.0,14.285714285714285,-0.5,-5570.3959957772295,0.8835703118260813
2025-05-06,FLOKI/USD,LONG,55.51020408163265,-15.867073868387003,71.37727795001965,8.0,100.0,0.25,2430.745570912225,1.156563432346302
2025-05-06,IMX/USD,LONG,38.32069055715408,-32.2859,70.60659055715408,7.0,87.5,0.25,2430.745570912225,1.2074368257717496
2025-05-06,PEPE/USD,SHORT,26.224328593996837,18.220066907228002,8.004261686768835,1.0,12.5,-0.5,-4861.49114182445,0.8793270099856341
2025-05-13,IMX/USD,LONG,79.81539956278843,-27.719599999999996,107.53499956278843,8.0,88.88888888888889,0.25,2067.369038103214,1.3104762216940202
2025-05-13,WIF/USD,LONG,164.63963963963963,6.937899999999999,157.70173963963964,9.0,100.0,0.25,2067.369038103214,1.663919814719381
2025-05-13,XLM/USD,SHORT,32.02565481994553,7.625000000000007,24.400654819945522,1.0,11.11111111111111,-0.5,-4134.738076206428,0.6412939444419684
2025-05-20,PEPE/USD,LONG,74.53580901856765,20.873661954601,53.66214706396664,7.0,87.5,0.25,2498.188589236364,1.406859950650328
2025-05-20,PYTH/USD,SHORT,-10.256410256410264,-9.2655,-0.990910256410265,1.0,12.5,-0.5,-4996.377178472728,1.3114828514690149
2025-05-20,WIF/USD,LONG,127.33644859813084,7.7848,119.55164859813084,8.0,100.0,0.25,2498.188589236364,1.8191242235452707
2025-05-27,ALGO/USD,SHORT,0.22573363431150906,20.858799999999995,-20.633066365688485,1.0,12.5,-0.5,-5071.209315876162,0.7989815776548762
2025-05-27,PEPE/USD,LONG,58.49486887115165,20.57607693113,37.91879194002165,7.0,87.5,0.25,2535.604657938081,1.4687311754455372
2025-05-27,WIF/USD,LONG,80.32520325203252,7.4433,72.88190325203253,8.0,100.0,0.25,2535.604657938081,1.7608033897057265
2025-06-03,ALGO/USD,SHORT,-1.151727591387075,23.268299999999996,-24.420027591387072,1.0,12.5,-0.5,-4977.970850716964,0.8260142096087529
2025-06-03,PEPE/USD,LONG,51.66872682323855,19.096025471334,32.572701351904556,7.0,87.5,0.25,2488.985425358482,1.5575229121973306
2025-06-03,WIF/USD,LONG,77.41347905282329,9.774099999999999,67.63937905282329,8.0,100.0,0.25,2488.985425358482,1.8335388905286976
2025-06-10,BONK/USD,SHORT,-19.33453237410072,17.713963059371,-37.04849543347172,1.0,12.5,-0.5,-5020.047079602912,1.169728400493408
2025-06-10,GRT/USD,LONG,-13.536379018612521,0.7876000000000061,-14.323979018612528,7.0,87.5,0.25,2510.023539801456,0.9839802839822566
2025-06-10,WIF/USD,LONG,12.843029637760694,5.445099999999999,7.3979296377606945,8.0,100.0,0.25,2510.023539801456,1.666603059077661
2025-06-17,ALGO/USD,SHORT,-25.417766051011426,22.055799999999998,-47.473566051011424,1.0,12.5,-0.5,-4997.5583828115705,0.6943769116920412
2025-06-17,WIF/USD,LONG,-28.011204481792717,-3.9391000000000003,-24.072104481792717,7.0,87.5,0.25,2498.7791914057852,1.317889780153955
2025-06-17,XLM/USD,LONG,-13.863440580859532,6.490400000000006,-20.35384058085954,8.0,100.0,0.25,2498.7791914057852,0.46035412785370067
2025-06-24,BONK/USD,SHORT,-32.00956937799043,13.488668646851,-45.49823802484143,1.0,12.5,-0.5,-4948.821769034656,1.0868259664182036
2025-06-24,WIF/USD,LONG,-21.286231884057983,-5.5782,-15.708031884057984,7.0,87.5,0.25,2474.410884517328,1.3724160917389852
2025-06-24,XLM/USD,LONG,-13.567340020561847,-3.9799999999999933,-9.587340020561854,8.0,100.0,0.25,2474.410884517328,0.48312132799679847
2025-07-01,PEPE/USD,SHORT,-21.67654530059272,17.840733128497998,-39.51727842909072,1.0,14.285714285714285,-0.5,-4856.682993611915,0.9969047401202267
2025-07-01,WIF/USD,LONG,-10.297482837528605,-13.568,3.2705171624713945,7.0,100.0,0.25,2428.3414968059574,1.3410175895360053
