date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_funding_cost,daily_return,log_return
2021-12-07,1.3374271803978475e-14,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.011679206788340737,0.01831821576364323,0.018152458441303854
2021-12-08,1.2744499330826143e-14,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.023295924437173293,-0.04708835609016049,-0.04823309325691776
2021-12-09,1.2218203155975846e-14,2,4,0.5,0.49999999999999994,6.938893903907228e-17,1.0,0.01752968153895538,-0.04129594746631604,-0.042172851794650086
2021-12-10,1.2346038992491713e-14,2,4,0.5,0.49999999999999994,6.938893903907228e-17,1.0,-0.009750518778110954,0.010462736204655654,0.010408380590443042
2021-12-11,1.2311335363263561e-14,2,4,0.5,0.49999999999999994,6.938893903907228e-17,1.0,0.0009530616102402883,-0.0028109120058066317,-0.002814870037818642
2021-12-12,1.2487660595380117e-14,2,4,0.5,0.49999999999999994,6.938893903907228e-17,1.0,-0.017532942091597177,0.014322185767329687,0.01422059214426603
2021-12-13,1.2528070587348586e-14,2,4,0.5,0.49999999999999994,6.938893903907228e-17,1.0,0.015584568860680575,0.0032359937764019353,0.0032307692166026114
2021-12-14,1.2150183070164002e-14,2,4,0.5,0.49999999999999994,6.938893903907228e-17,1.0,0.026285826824722153,-0.030163265328836286,-0.030627536423225597
2021-12-15,1.1717410260901795e-14,2,4,0.5,0.49999999999999994,6.938893903907228e-17,1.0,0.022355760071566734,-0.03561862457240861,-0.03626844494414903
2021-12-16,1.1530365471584629e-14,3,4,0.5000000000000001,0.5,8.326672684688674e-17,1.0,0.019219476433032637,-0.015962980313259933,-0.01609176100469359
2021-12-17,1.13807487830861e-14,3,4,0.5000000000000001,0.5,8.326672684688674e-17,1.0,0.017894949494787538,-0.012975884317565023,-0.013060806531607103
2021-12-18,1.1050563144262277e-14,3,4,0.5000000000000001,0.5,8.326672684688674e-17,1.0,0.021763739249627278,-0.029012646278120058,-0.029441834748971944
2021-12-19,1.0838164971209777e-14,3,4,0.5000000000000001,0.5,8.326672684688674e-17,1.0,0.02223132390102161,-0.01922057457884241,-0.019407691364061872
2021-12-20,1.0591276786953032e-14,3,4,0.5000000000000001,0.5,8.326672684688674e-17,1.0,0.027699812052300717,-0.02277951894186625,-0.0230429808966418
2021-12-21,1.0550744738360346e-14,3,4,0.5000000000000001,0.5,8.326672684688674e-17,1.0,0.016035168690398123,-0.003826927518560952,-0.003834268941725438
2021-12-22,1.0463078563896359e-14,3,4,0.5000000000000001,0.5,8.326672684688674e-17,1.0,0.026408602006483352,-0.008309003453116581,-0.008343715638486751
2021-12-23,1.0057373143281437e-14,2,5,0.5,0.5,-1.3877787807814457e-17,1.0,0.023894249037008954,-0.03877495692470845,-0.03954672148992156
2021-12-24,1.0027866959111608e-14,2,5,0.5,0.5,-1.3877787807814457e-17,1.0,0.015290238492031389,-0.002933786362449897,-0.0029380983493575074
2021-12-25,1.0029922952217973e-14,2,5,0.5,0.5,-1.3877787807814457e-17,1.0,0.01312268818660744,0.00020502796005850144,0.00020500694469874039
2021-12-26,1.0011141962448598e-14,2,5,0.5,0.5,-1.3877787807814457e-17,1.0,0.013944828639637703,-0.0018724959163540777,-0.0018742512283844595
2021-12-27,9.659019429069545e-15,2,5,0.5,0.5,-1.3877787807814457e-17,1.0,0.017426910331140924,-0.035173063642474744,-0.035806534288742704
2021-12-28,9.527549533264803e-15,2,5,0.5,0.5,-1.3877787807814457e-17,1.0,0.01665447103354384,-0.013611101703457917,-0.01370458196364478
2021-12-29,9.277902684347114e-15,2,5,0.5,0.5,-1.3877787807814457e-17,1.0,0.019402320224828285,-0.026202629337802263,-0.026552035317077272
2021-12-30,9.140658668708435e-15,3,5,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.013376758951462106,-0.014792569000559253,-0.014903070133829471
2021-12-31,8.876049360179395e-15,3,5,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.036801919889204275,-0.02894860404698041,-0.029375881141018873
2022-01-01,8.551148697300163e-15,3,5,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.025500518507662297,-0.03660419739629128,-0.03729094165277503
2022-01-02,8.39406180051778e-15,3,5,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.02205494620657782,-0.018370268409901414,-0.018541097138166616
2022-01-03,8.231733024435062e-15,3,5,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.023865166767750332,-0.019338525250398475,-0.01952796077588863
2022-01-04,7.811688525138046e-15,3,5,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.027532072869257303,-0.05102746870557584,-0.052375425686353456
2022-01-05,7.551611949201815e-15,3,5,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.028416745105292907,-0.03329325985019804,-0.03386009720754835
2022-01-06,7.493538789009285e-15,4,3,0.5,0.5,1.3877787807814457e-17,1.0,0.018103510977731697,-0.007690167421628091,-0.007719889234311149
2022-01-07,7.33465486220965e-15,4,3,0.5,0.5,1.3877787807814457e-17,1.0,0.023756432781926372,-0.021202789666301514,-0.021430797505852698
2022-01-08,7.2635539043683e-15,4,3,0.5,0.5,1.3877787807814457e-17,1.0,0.01624730019213132,-0.009693838248297726,-0.009741129368105502
2022-01-09,7.181388098357016e-15,4,3,0.5,0.5,1.3877787807814457e-17,1.0,0.011964158485636076,-0.011312066667787724,-0.011376534733062754
2022-01-10,7.117474893555695e-15,4,3,0.5,0.5,1.3877787807814457e-17,1.0,0.0036514583902087297,-0.008899839964914724,-0.008939680097299568
2022-01-11,7.100391499439951e-15,4,3,0.5,0.5,1.3877787807814457e-17,1.0,0.0015509772402039837,-0.0024002043380878524,-0.002403089446010417
2022-01-12,7.126607050307077e-15,4,3,0.5,0.5,1.3877787807814457e-17,1.0,-0.013007313908868147,0.0036921275213055438,0.003685328348957268
2022-01-13,7.091092352153401e-15,4,5,0.5,0.5,0.0,1.0,0.005070987266539143,-0.004983395029777293,-0.004995853550510158
2022-01-14,7.075448458135192e-15,4,5,0.5,0.5,0.0,1.0,-0.004952552621686446,-0.002206133165570612,-0.0022085702623758636
2022-01-15,7.027462076679331e-15,4,5,0.5,0.5,0.0,1.0,0.007112054446644609,-0.006782097522127661,-0.0068052004623746385
2022-01-16,6.938392699363264e-15,4,5,0.5,0.5,0.0,1.0,0.01968350916057635,-0.012674472852958418,-0.01275547918693655
2022-01-17,6.664143061680588e-15,4,5,0.5,0.5,0.0,1.0,0.023649946791043038,-0.03952639315267403,-0.040328775706689204
2022-01-18,6.4607973899296084e-15,4,5,0.5,0.5,0.0,1.0,0.022299701132758146,-0.030513401328407186,-0.0309886273226702
2022-01-19,6.270565034238745e-15,4,5,0.5,0.5,0.0,1.0,0.02185862722361058,-0.02944409864754105,-0.029886277462669315
2022-01-20,6.203175457024031e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.027209999999999998,-0.010746970463865968,-0.01080513626373997
2022-01-21,6.08435058611252e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.01538085617711437,-0.019155490882812654,-0.019341334408574423
2022-01-22,6.355170362724342e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,-0.049741523941814386,0.04451087635054529,0.043548714933505074
2022-01-23,6.663432104959056e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,-0.03937835883800622,0.0485056614757009,0.04736597094058734
2022-01-24,6.511861704149214e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.013144247066541739,-0.022746596411936104,-0.02300929149286732
2022-01-25,6.704306455791718e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,-0.03059619066920373,0.02955295434482008,0.029124683117529977
2022-01-26,7.074840810467835e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,-0.05038501601409315,0.05526811119381625,0.053794868474498415
2022-01-27,7.073979756947238e-15,4,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.013894563671039157,-0.00012170641625219858,-0.00012171382307905538
2022-01-28,7.053439836036067e-15,4,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.011174628594894289,-0.0029035877422464162,-0.0029078113308228667
2022-01-29,6.915669316666221e-15,4,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.013360241987870915,-0.019532387398553452,-0.019725665404346608
2022-01-30,6.972654330580049e-15,4,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.011536663060836687,0.008239985358539093,0.00820622202529789
2022-01-31,7.068170371022571e-15,4,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.009675780882497136,0.01369866279239118,0.01360568426989373
2022-02-01,6.834043712387868e-15,4,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.008289267786181331,-0.03312408251993382,-0.03368510874245393
2022-02-02,6.845921816195542e-15,4,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.003718101818844006,0.0017380784068066202,0.001736569696450807
2022-02-03,6.981502952402313e-15,4,1,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,-0.02203511560156625,0.019804657407279214,0.01961109660954402
2022-02-04,8.095352389182221e-15,4,1,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,-0.14520909324269873,0.15954292999283726,0.1480259016014394
2022-02-05,8.377930672407247e-15,4,1,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,-0.04576736343829989,0.03490623627485734,0.034310829642389004
2022-02-06,8.36559585040237e-15,4,1,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.0064618634696428055,-0.0014722993645078786,-0.0014733842622107953
2022-02-07,8.45208422393768e-15,4,1,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,-0.018729232527007124,0.01033857899448365,0.010285501404454396
2022-02-08,8.231003360529297e-15,4,1,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,0.02410714158167908,-0.026156964075469857,-0.026505142407907446
2022-02-09,8.494938478816396e-15,4,1,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,-0.009424387948928524,0.03206597139211076,0.031562590783755375
2022-02-10,8.615975379369213e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.0027300000000000033,0.014248119730901454,0.014147569250989523
2022-02-11,8.652236699856586e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,-0.02611824470675315,0.004208614682697398,0.00419978323402914
2022-02-12,8.247179577989518e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.027850500000000004,-0.04681530752317287,-0.04794659297501393
2022-02-13,8.209556350405927e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.015027810859860515,-0.00456195081334243,-0.004572388266483117
2022-02-14,8.179000413368395e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.030000000000000002,-0.003721996138807415,-0.003728940001811731
2022-02-15,8.423660620735574e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,-0.024568293943911402,0.029913216163589773,0.02947454253994086
2022-02-16,8.099662937917758e-15,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.02588599820295577,-0.038462812950971426,-0.039222038623170016
2022-02-17,7.85278176658279e-15,1,4,0.5,0.5,-4.163336342344337e-17,1.0,0.014551158315153634,-0.030480425324764804,-0.03095461401822709
2022-02-18,7.813518533901355e-15,1,4,0.5,0.5,-4.163336342344337e-17,1.0,0.004481958855475328,-0.004999913896565733,-0.005012455287433185
2022-02-19,7.551782052593757e-15,1,4,0.5,0.5,-4.163336342344337e-17,1.0,0.025211858724020503,-0.033497902407471636,-0.03407181003861213
2022-02-20,7.330093400698944e-15,1,4,0.5,0.5,-4.163336342344337e-17,1.0,0.02316313236433974,-0.029355806397864836,-0.029795310797288883
2022-02-21,7.285166272251806e-15,1,4,0.5,0.5,-4.163336342344337e-17,1.0,0.012042753443541679,-0.006129134513191192,-0.006147994762291537
2022-02-22,7.203476774640049e-15,1,4,0.5,0.5,-4.163336342344337e-17,1.0,0.006645987100543186,-0.011213127409720358,-0.011276468468902418
2022-02-23,6.944129475332571e-15,1,4,0.5,0.5,-4.163336342344337e-17,1.0,0.00524313117002927,-0.03600307288010063,-0.03666717201163112
2022-02-24,7.123272800306365e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.04205414130425391,0.025797808870090977,0.025470659950171618
2022-02-25,7.13916742929502e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.02972116006998967,0.002231366035563287,0.0022288802355040545
2022-02-26,7.092778319265102e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.015449446442183372,-0.0064978319235887705,-0.006519034731538207
2022-02-27,6.9816254641338645e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.012973270630976714,-0.015671271556496946,-0.015795364098604707
2022-02-28,6.95225067351379e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.009458599524016856,-0.004207442918698456,-0.004216319112791333
2022-03-01,6.5536047027770615e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.03,-0.0573405634315608,-0.05905021049865724
2022-03-02,6.470787601316883e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.024458895311200747,-0.012636877751428077,-0.012717402195359787
2022-03-03,6.305215100957702e-15,2,2,0.5,0.5,5.551115123125783e-17,1.0,0.014324042399950993,-0.02558768894307173,-0.02592074760618746
2022-03-04,6.1653587140039754e-15,2,2,0.5,0.5,5.551115123125783e-17,1.0,0.02922576595630077,-0.022181065152318657,-0.02243076428006532
2022-03-05,6.171436093715071e-15,2,2,0.5,0.5,5.551115123125783e-17,1.0,-0.004523367912728236,0.000985730108013172,0.000985244595120506
2022-03-06,6.088204815319574e-15,2,2,0.5,0.5,5.551115123125783e-17,1.0,0.018397730145029705,-0.013486533301423687,-0.013578302625741433
2022-03-07,5.987093336223437e-15,2,2,0.5,0.5,5.551115123125783e-17,1.0,0.01807290307299314,-0.016607765698307908,-0.016747220820415697
2022-03-08,5.852849937241704e-15,2,2,0.5,0.5,5.551115123125783e-17,1.0,0.020281914823700432,-0.02242213231745127,-0.022677330262010246
2022-03-09,5.742405732993712e-15,2,2,0.5,0.5,5.551115123125783e-17,1.0,0.026878909301510157,-0.018870158201944487,-0.01905047160219096
2022-03-10,5.811244864535164e-15,2,3,0.5,0.5,0.0,1.0,-0.016878765412750484,0.01198785574239869,0.011916570538723421
2022-03-11,6.01728136321678e-15,2,3,0.5,0.5,0.0,1.0,-0.027822752085046733,0.035454795570397435,0.03484074621243572
2022-03-12,5.860387884309386e-15,2,3,0.5,0.5,0.0,1.0,0.022439383400880072,-0.02607381464102254,-0.02641976326381867
2022-03-13,5.846835250781072e-15,2,3,0.5,0.5,0.0,1.0,0.0022289843829257916,-0.002312583022806458,-0.002315261172684468
2022-03-14,5.735823922919757e-15,2,3,0.5,0.5,0.0,1.0,0.030000000000000002,-0.018986566766437507,-0.019169126102207244
