date,symbol,old_weight,new_weight,weight_change,autocorr_lag1_30d,position_type
2021-06-11,ICP/USD,0.0,0.0025257410930214254,0.0025257410930214254,-0.15499327528852752,long
2021-06-11,ADA/USD,0.0,0.0027624685791427135,0.0027624685791427135,-0.21783611988038795,long
2021-06-11,XLM/USD,0.0,0.0031730303861099147,0.0031730303861099147,-0.19982727026351738,long
2021-06-11,1INCH/USD,0.0,0.0022169014437465303,0.0022169014437465303,-0.2487649049186189,long
2021-06-11,USDT/USD,0.0,0.48542308371973725,0.48542308371973725,-0.1963881659559484,long
2021-06-11,BCH/USD,-0.06928669955380425,0.0,0.06928669955380425,-0.38514152382713934,close
2021-06-18,SNX/USD,0.0,0.08585633382362284,0.08585633382362284,-0.024712282871306807,long
2021-06-18,ZEC/USD,-0.06088826578380781,-0.002006923354131044,0.05888134242967676,-0.34105945242811503,short
2021-06-18,MANA/USD,-0.06973202493266105,0.0,0.06973202493266105,-0.21742455952393763,close
2021-06-18,OGN/USD,0.0019274429303738556,0.057403929924416834,0.05547648699404298,0.17360170377962247,long
2021-06-18,RLC/USD,-0.059528123030155915,0.0,0.059528123030155915,-0.08590696238465298,close
2021-06-18,SUSHI/USD,0.0,0.07281606751394275,0.07281606751394275,-0.012953117840765901,long
2021-06-18,SKL/USD,0.001971331847868307,0.06296402291124267,0.06099269106337436,0.032276103186819796,long
2021-06-18,ALGO/USD,-0.07941882805164004,-0.002432640263354339,0.0769861877882857,-0.29623998989463246,short
2021-06-18,FIL/USD,-0.07141986730520022,0.0,0.07141986730520022,-0.23308548018792927,close
2021-06-18,ANKR/USD,-0.09111000442646075,0.0,0.09111000442646075,-0.15360048889403288,close
2021-06-18,DASH/USD,-0.06790288647007421,-0.0021582527648216676,0.06574463370525255,-0.3040495869367153,short
2021-06-18,LINK/USD,0.0,0.07025279267553097,0.07025279267553097,-0.045047393438538585,long
2021-06-18,NKN/USD,0.0,0.07881869353067475,0.07881869353067475,0.00012519591831260335,long
2021-06-18,ICP/USD,0.0025257410930214254,0.0,-0.0025257410930214254,-0.15169449714420868,close
2021-06-18,OXT/USD,0.0,-0.0023226054999886817,-0.0023226054999886817,-0.26891448728121875,short
2021-06-18,ADA/USD,0.0027624685791427135,0.0,-0.0027624685791427135,-0.14097460079152913,close
2021-06-18,XLM/USD,0.0031730303861099147,0.0,-0.0031730303861099147,-0.0887150878087696,close
2021-06-18,1INCH/USD,0.0022169014437465303,0.07188815962056917,0.06967125817682264,0.09282655376925496,long
2021-06-18,USDT/USD,0.48542308371973725,-0.48715689333851037,-0.9725799770582476,-0.3404896113915381,short
2021-06-18,BCH/USD,0.0,-0.0022389703201443206,-0.0022389703201443206,-0.26427600668700585,short
2021-06-18,CTSI/USD,0.0,-0.0016837144590495807,-0.0016837144590495807,-0.25649020626937596,short
2021-06-25,MANA/USD,0.0,0.06872698222268239,0.06872698222268239,0.10047737630623993,long
2021-06-25,EOS/USD,0.0,-0.002193230776768264,-0.002193230776768264,-0.14460335360637408,short
2021-06-25,SNX/USD,0.08585633382362284,0.0,-0.08585633382362284,0.025849561166652987,close
2021-06-25,OGN/USD,0.057403929924416834,0.0,-0.057403929924416834,0.0028542859974602874,close
2021-06-25,RLC/USD,0.0,0.06577799957939146,0.06577799957939146,0.07810046875140403,long
2021-06-25,SUSHI/USD,0.07281606751394275,-0.0018615206272394318,-0.07467758814118218,-0.07594946732681758,short
2021-06-25,ZRX/USD,0.0,0.07073810014045137,0.07073810014045137,0.09858925618742954,long
2021-06-25,SKL/USD,0.06296402291124267,0.0,-0.06296402291124267,-0.01407916676939593,close
2021-06-25,XTZ/USD,0.0,-0.0021472722709578174,-0.0021472722709578174,-0.05710824838042605,short
2021-06-25,ALGO/USD,-0.002432640263354339,0.0,0.002432640263354339,0.02859454723089566,close
2021-06-25,BTC/USD,0.0,-0.0030991503570194645,-0.0030991503570194645,-0.07397719205113065,short
2021-06-25,DASH/USD,-0.0021582527648216676,0.0,0.0021582527648216676,0.015692120065482682,close
2021-06-25,GRT/USD,0.0,-0.0015252150212181096,-0.0015252150212181096,-0.0937418691979161,short
2021-06-25,LINK/USD,0.07025279267553097,0.0,-0.07025279267553097,-0.004854757157553598,close
2021-06-25,NKN/USD,0.07881869353067475,0.0,-0.07881869353067475,-0.01758353193241495,close
2021-06-25,OXT/USD,-0.0023226054999886817,0.09257558121959425,0.09489818671958293,0.16140379431869104,long
2021-06-25,ADA/USD,0.0,0.08199780689823498,0.08199780689823498,0.07546649171717502,long
2021-06-25,1INCH/USD,0.07188815962056917,0.0540978343494421,-0.017790325271127075,0.13413152408232956,long
2021-06-25,BCH/USD,-0.0022389703201443206,0.0,0.0022389703201443206,-0.005953116574654757,close
2021-06-25,CTSI/USD,-0.0016837144590495807,0.06608569559020346,0.06776941004925303,0.07944865399596703,long
2021-07-02,MANA/USD,0.06872698222268239,0.07593326963781925,0.007206287415136861,0.07164032296483004,long
2021-07-02,ZEC/USD,-0.002057560255011835,-0.0016805181578252253,0.00037704209718660963,-0.11350311239384202,short
2021-07-02,EOS/USD,-0.002193230776768264,0.0,0.002193230776768264,-0.011164425160780997,close
2021-07-02,TRB/USD,0.0,-0.001476050196100421,-0.001476050196100421,-0.13575173862261788,short
2021-07-02,RLC/USD,0.06577799957939146,0.0,-0.06577799957939146,-0.009046420872047179,close
2021-07-02,SUSHI/USD,-0.0018615206272394318,-0.001594757554743168,0.0002667630724962637,-0.20115464257888085,short
2021-07-02,ZRX/USD,0.07073810014045137,0.08008389045703328,0.009345790316581906,0.039858680426662865,long
2021-07-02,STORJ/USD,0.0,0.06512875750835248,0.06512875750835248,0.04818691742816356,long
2021-07-02,XTZ/USD,-0.0021472722709578174,-0.001807574904809533,0.00033969736614828435,-0.10157039798879744,short
2021-07-02,ETC/USD,0.0,0.06645820413064914,0.06645820413064914,0.04911309466519365,long
2021-07-02,BTC/USD,-0.0030991503570194645,-0.002483678569909302,0.0006154717871101625,-0.13939754501703097,short
2021-07-02,GRT/USD,-0.0015252150212181096,-0.0013045742958397708,0.0002206407253783388,-0.278201597917727,short
2021-07-02,ICP/USD,0.0,0.048961254147881154,0.048961254147881154,0.24393267624832438,long
2021-07-02,OXT/USD,0.09257558121959425,0.09933749497606525,0.006761913756471005,0.10350600995018211,long
2021-07-02,ADA/USD,0.08199780689823498,-0.0022272912604180605,-0.08422509815865303,-0.10254161435831954,short
2021-07-02,1INCH/USD,0.0540978343494421,0.06409712914219945,0.009999294792757352,0.05278306201141401,long
2021-07-02,USDT/USD,-0.4871160506917851,-0.4874255550603545,-0.0003095043685694132,-0.29535926827486403,short
2021-07-02,CTSI/USD,0.06608569559020346,0.0,-0.06608569559020346,0.011128717580826081,close
2021-07-09,AAVE/USD,0.0,0.07215046989540119,0.07215046989540119,0.11738032158299669,long
2021-07-09,SNX/USD,0.0,0.05971669593583745,0.05971669593583745,0.2296216922358374,long
2021-07-09,ZEC/USD,-0.0016805181578252253,-0.0013214623927123666,0.00035905576511285875,-0.10268452805933508,short
2021-07-09,MANA/USD,0.07593326963781925,0.0,-0.07593326963781925,0.013855324944758489,close
2021-07-09,TRB/USD,-0.001476050196100421,0.0,0.001476050196100421,-0.04587119922373373,close
2021-07-09,RLC/USD,0.0,-0.0009831667774617635,-0.0009831667774617635,-0.1001805822367374,short
2021-07-09,SUSHI/USD,-0.001594757554743168,-0.0011698018969188884,0.0004249556578242797,-0.1307410246788139,short
2021-07-09,ZRX/USD,0.08008389045703328,0.08192962612809375,0.0018457356710604722,0.17326952795123135,long
2021-07-09,STORJ/USD,0.06512875750835248,0.06789189934832733,0.0027631418399748503,0.10508191833694229,long
2021-07-09,XTZ/USD,-0.001807574904809533,0.0,0.001807574904809533,-0.02636269210082253,close
2021-07-09,ETC/USD,0.06645820413064914,0.07074205734398556,0.004283853213336422,0.10421274827252201,long
2021-07-09,BTC/USD,-0.002483678569909302,-0.0021156773657914213,0.00036800120411788076,-0.14433851149150662,short
2021-07-09,GRT/USD,-0.0013045742958397708,-0.0011001032239496122,0.00020447107189015866,-0.05798709420736862,short
2021-07-09,ICP/USD,0.048961254147881154,0.0525343838678896,0.003573129720008443,0.29569535200042046,long
2021-07-09,OXT/USD,0.09933749497606525,0.0950348674804651,-0.0043026274956001614,0.14787199941418858,long
2021-07-09,ADA/USD,-0.0022272912604180605,0.0,0.0022272912604180605,-0.05654432944126188,close
2021-07-09,XLM/USD,0.0,-0.001543816251343912,-0.001543816251343912,-0.07310986866495295,short
2021-07-09,1INCH/USD,0.06409712914219945,0.0,-0.06409712914219945,0.03965602555122788,close
2021-07-09,USDT/USD,-0.4874255550603545,-0.49176597209182205,-0.004340417031467536,-0.13294014010712285,short
2021-07-16,AAVE/USD,0.07215046989540119,0.06922623303709231,-0.002924236858308879,0.0724619274359849,long
2021-07-16,MANA/USD,0.0,0.05835764051416364,0.05835764051416364,0.04075975596942396,long
2021-07-16,SNX/USD,0.05971669593583745,0.05531306846690812,-0.004403627468929326,0.15598954859209968,long
2021-07-16,EOS/USD,0.0,-0.05251219515641756,-0.05251219515641756,-0.12792904778683234,short
2021-07-16,OGN/USD,0.0,-0.03940891607473724,-0.03940891607473724,-0.12222881304769839,short
2021-07-16,ZEC/USD,-0.0013214623927123666,-0.05330489826060403,-0.05198343586789166,-0.16666579818105623,short
2021-07-16,RLC/USD,-0.0009831667774617635,-0.04202320403187852,-0.04104003725441676,-0.19164184839906853,short
2021-07-16,SUSHI/USD,-0.0011698018969188884,-0.04978765660386581,-0.04861785470694692,-0.24946573851417933,short
2021-07-16,ZRX/USD,0.08192962612809375,0.07327282523357885,-0.008656800894514899,0.17652951322045107,long
2021-07-16,STORJ/USD,0.06789189934832733,0.06169615388632366,-0.006195745462003674,0.12098114672714111,long
2021-07-16,ETC/USD,0.07074205734398556,0.06531311561667581,-0.005428941727309747,0.11205928798360214,long
2021-07-16,BTC/USD,-0.0021156773657914213,-0.09365230813416543,-0.09153663076837401,-0.17552198786824852,short
2021-07-16,GRT/USD,-0.0011001032239496122,0.0,0.0011001032239496122,-0.06325007165908088,close
2021-07-16,LINK/USD,0.0,-0.05693544547985267,-0.05693544547985267,-0.15603517662197086,short
2021-07-16,ICP/USD,0.0525343838678896,0.051419709016796274,-0.0011146748510933238,0.22596617977028804,long
2021-07-16,OXT/USD,0.0950348674804651,0.0,-0.0950348674804651,0.025920127249550694,close
2021-07-16,XLM/USD,-0.001543816251343912,-0.06327814526801917,-0.061734329016675256,-0.12112911434086944,short
2021-07-16,1INCH/USD,0.0,-0.04909723099045957,-0.04909723099045957,-0.13535693291446216,short
2021-07-16,USDT/USD,-0.49176597209182205,0.0,0.49176597209182205,-0.11698902250344567,close
2021-07-16,CTSI/USD,0.0,0.0654012542284613,0.0654012542284613,0.08919371086149196,long
2021-07-23,AAVE/USD,0.06922623303709231,0.04912495800134009,-0.020101275035752222,0.20429123021640025,long
2021-07-23,SNX/USD,0.05531306846690812,0.037671607124854074,-0.01764146134205405,0.18892221478502144,long
2021-07-23,EOS/USD,-0.05251219515641756,-0.001083758348866246,0.05142843680755131,-0.294631318522969,short
2021-07-23,MANA/USD,0.05835764051416364,0.0,-0.05835764051416364,-0.06555784112294573,close
2021-07-23,OGN/USD,-0.03940891607473724,0.0,0.03940891607473724,-0.09873798931964314,close
2021-07-23,ZEC/USD,-0.05330489826060403,0.0,0.05330489826060403,-0.004032462010233366,close
2021-07-23,RLC/USD,-0.04202320403187852,-0.0007764076433284153,0.041246796388550104,-0.23585056566000492,short
2021-07-23,SUSHI/USD,-0.04978765660386581,0.0,0.04978765660386581,0.01718093658300032,close
2021-07-23,ZRX/USD,0.07327282523357885,0.056349397926138016,-0.016923427307440835,0.15053969621118343,long
2021-07-23,STORJ/USD,0.06169615388632366,0.04895820003195532,-0.012737953854368336,0.06025696914295467,long
2021-07-23,XTZ/USD,0.0,0.06543512799377435,0.06543512799377435,0.07766887524160805,long
2021-07-23,ETC/USD,0.06531311561667581,0.0,-0.06531311561667581,0.02452063220250518,close
2021-07-23,DOGE/USD,0.0,-0.0010781122107684834,-0.0010781122107684834,-0.2973499154571281,short
2021-07-23,BTC/USD,-0.09365230813416543,-0.001653355261154639,0.0919989528730108,-0.20634422518421436,short
2021-07-23,DASH/USD,0.0,-0.00108675996995635,-0.00108675996995635,-0.34474763623500615,short
2021-07-23,GRT/USD,0.0,0.05351860411783343,0.05351860411783343,0.04555116384533747,long
2021-07-23,LINK/USD,-0.05693544547985267,0.0,0.05693544547985267,-0.043460579938705945,close
2021-07-23,CHZ/USD,0.0,-0.0012613899512446587,-0.0012613899512446587,-0.1994175174082634,short
2021-07-23,LTC/USD,0.0,0.08814121295854778,0.08814121295854778,0.03604630598815311,long
2021-07-23,ICP/USD,0.051419709016796274,0.033900764506948976,-0.017518944509847298,0.21933138041278738,long
2021-07-23,ADA/USD,0.0,-0.001385036441262031,-0.001385036441262031,-0.24330494733935107,short
2021-07-23,XLM/USD,-0.06327814526801917,0.06690012733860798,0.13017827260662715,0.10459775760460113,long
2021-07-23,1INCH/USD,-0.04909723099045957,0.0,0.04909723099045957,0.022505363414595272,close
2021-07-23,USDT/USD,0.0,-0.49167518017341916,-0.49167518017341916,-0.39205680844221064,short
2021-07-23,CTSI/USD,0.0654012542284613,0.0,-0.0654012542284613,0.022932504690542536,close
2021-07-30,AAVE/USD,0.04912495800134009,0.04321606212817246,-0.005908895873167633,0.18192596222265814,long
2021-07-30,SNX/USD,0.037671607124854074,0.0,-0.037671607124854074,0.11996178125401578,close
2021-07-30,EOS/USD,-0.001083758348866246,-0.0015149527198065622,-0.0004311943709403162,-0.27847223618080497,short
2021-07-30,BAT/USD,0.0,-0.0017677087916128996,-0.0017677087916128996,-0.14637094274300105,short
2021-07-30,RLC/USD,-0.0007764076433284153,-0.0009120350886469348,-0.0001356274453185195,-0.16504903275406796,short
2021-07-30,ZRX/USD,0.056349397926138016,0.047070681913831576,-0.00927871601230644,0.15405495617645415,long
2021-07-30,SKL/USD,0.0,-0.0010909050627070781,-0.0010909050627070781,-0.2075582083488741,short
2021-07-30,STORJ/USD,0.04895820003195532,0.0,-0.04895820003195532,0.09812268680719786,close
2021-07-30,XTZ/USD,0.06543512799377435,0.05994079321366362,-0.0054943347801107295,0.2247380918822274,long
2021-07-30,FIL/USD,0.0,-0.0018456744375357614,-0.0018456744375357614,-0.14587918720670548,short
2021-07-30,ANKR/USD,0.0,0.04545949385289756,0.04545949385289756,0.1800189091338121,long
2021-07-30,DOGE/USD,-0.0010781122107684834,-0.0016662306728574049,-0.0005881184620889215,-0.1148793013857947,short
2021-07-30,BTC/USD,-0.001653355261154639,0.0,0.001653355261154639,0.07498179456083405,close
2021-07-30,DASH/USD,-0.00108675996995635,-0.0014006352278398853,-0.0003138752578835354,-0.30642309055831646,short
2021-07-30,GRT/USD,0.05351860411783343,0.0,-0.05351860411783343,0.11383973267969119,close
2021-07-30,CHZ/USD,-0.0012613899512446587,-0.0017153972858599818,-0.00045400733461532306,-0.12406335639861066,short
2021-07-30,LTC/USD,0.08814121295854778,0.07558736244223843,-0.012553850516309348,0.16055851614656255,long
2021-07-30,ICP/USD,0.033900764506948976,0.0,-0.033900764506948976,-0.10386462835610927,close
2021-07-30,ADA/USD,-0.001385036441262031,0.0,0.001385036441262031,-0.09452171692992657,close
2021-07-30,CRV/USD,0.0,0.05052605112286944,0.05052605112286944,0.16804340472360296,long
2021-07-30,XLM/USD,0.06690012733860798,0.06073821492257858,-0.006161912416029397,0.2938583302729554,long
2021-07-30,1INCH/USD,0.0,0.04482954813724986,0.04482954813724986,0.1390599984284234,long
2021-07-30,USDT/USD,-0.49167518017341916,-0.4880864607131335,0.003588719460285661,-0.3280737448697538,short
2021-07-30,BCH/USD,0.0,0.07263179226649845,0.07263179226649845,0.17106037933266385,long
2021-08-06,SNX/USD,0.0,-0.03994160465420755,-0.03994160465420755,-0.22344249170180275,short
2021-08-06,AAVE/USD,0.04321606212817246,0.0,-0.04321606212817246,0.05326960737477757,close
2021-08-06,EOS/USD,-0.0015149527198065622,-0.06468832105774094,-0.06317336833793438,-0.30640842870006496,short
2021-08-06,BAT/USD,-0.0017677087916128996,0.0,0.0017677087916128996,0.012145711437323098,close
2021-08-06,RLC/USD,-0.0009120350886469348,0.0,0.0009120350886469348,0.1347791996103332,close
2021-08-06,ZRX/USD,0.047070681913831576,0.0,-0.047070681913831576,0.0700040912566572,close
2021-08-06,SKL/USD,-0.0010909050627070781,-0.04020627635305129,-0.03911537129034421,-0.2594986579551674,short
2021-08-06,XTZ/USD,0.05994079321366362,0.053076034064152774,-0.006864759149510846,0.1830528319254687,long
2021-08-06,ALGO/USD,0.0,-0.07738878780554961,-0.07738878780554961,-0.06243547131237352,short
2021-08-06,FIL/USD,-0.0018456744375357614,0.0,0.0018456744375357614,-0.003134795290613988,close
2021-08-06,ANKR/USD,0.04545949385289756,0.0,-0.04545949385289756,0.08636838336574358,close
2021-08-06,DOGE/USD,-0.0016662306728574049,-0.07098482125382143,-0.06931859058096403,-0.16427493984698113,short
2021-08-06,BTC/USD,0.0,0.07039721628881807,0.07039721628881807,0.16971566439629296,long
2021-08-06,DASH/USD,-0.0014006352278398853,-0.058915763810098644,-0.05751512858225876,-0.3444430692963942,short
2021-08-06,LINK/USD,0.0,0.04483690933973102,0.04483690933973102,0.1605575776668864,long
2021-08-06,NKN/USD,0.0,-0.04533548102988304,-0.04533548102988304,-0.19700553093005332,short
2021-08-06,CHZ/USD,-0.0017153972858599818,-0.07143682913765749,-0.06972143185179751,-0.10938453451636765,short
2021-08-06,LTC/USD,0.07558736244223843,0.07222057531348022,-0.0033667871287582085,0.18615496813319063,long
2021-08-06,CRV/USD,0.05052605112286944,0.04557333839638376,-0.004952712726485682,0.3534320941217814,long
2021-08-06,XLM/USD,0.06073821492257858,0.058035892644267256,-0.0027023222783113254,0.3397892360225157,long
2021-08-06,1INCH/USD,0.04482954813724986,0.04467639320757875,-0.0001531549296711135,0.2540553605811205,long
2021-08-06,QNT/USD,0.0,-0.031102114897990033,-0.031102114897990033,-0.1513399012921382,short
2021-08-06,USDT/USD,-0.4880864607131335,0.0,0.4880864607131335,-0.013322687785056256,close
2021-08-06,BCH/USD,0.07263179226649845,0.06999474030185823,-0.0026370519646402163,0.19011797690913132,long
2021-08-06,DOT/USD,0.0,0.04118890044372992,0.04118890044372992,0.1798210826041202,long
2021-08-13,MANA/USD,0.0,0.05602386510202943,0.05602386510202943,0.14731084611223091,long
2021-08-13,SNX/USD,-0.03994160465420755,0.0,0.03994160465420755,-0.21969419203678525,close
2021-08-13,EOS/USD,-0.06468832105774094,0.0,0.06468832105774094,-0.18218637462722798,close
2021-08-13,BAT/USD,0.0,-0.07953187303269033,-0.07953187303269033,-0.24349013616083356,short
2021-08-13,MLN/USD,0.0,0.04856634527659204,0.04856634527659204,0.0648661972220617,long
2021-08-13,SUSHI/USD,0.0,0.04613299061627774,0.04613299061627774,0.06148074327217907,long
2021-08-13,SKL/USD,-0.04020627635305129,-0.04483359018503263,-0.004627313831981339,-0.25816985908443235,short
2021-08-13,XTZ/USD,0.053076034064152774,0.0,-0.053076034064152774,0.004730407475548166,close
2021-08-13,FIL/USD,0.0,-0.06881120340529401,-0.06881120340529401,-0.24710540947965143,short
