date,symbol,signal,adf_stat,adf_pvalue,is_stationary,adf_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2025-04-29,GIGA/USD,LONG,-2.761967373245689,0.21126370597978789,False,1.0,6.666666666666667,0.16666666666666666,1.9204647098075702,769429559.7931653,141471645.15
2025-04-29,PEPE/USD,LONG,-2.7122733733958153,0.23102194640564994,False,2.0,13.333333333333334,0.16666666666666666,1.0757314932130122,8714215845.94732,2222064375252.5
2025-05-06,ALGO/USD,LONG,-3.009699844374463,0.12938929836645013,False,2.0,13.333333333333334,0.16666666666666666,0.8452772521846333,3384098842.854815,20423381.660000004
2025-05-06,BONK/USD,LONG,-2.471697236388886,0.34225404534056036,False,3.0,20.0,0.16666666666666666,1.665861269266222,2620322044.1454067,1421533705875.9666
2025-05-06,GIGA/USD,LONG,-3.1356235540254795,0.09800912601395656,False,1.0,6.666666666666667,0.16666666666666666,1.6307438427634038,769429559.7931653,120362564.25333333
2025-05-13,ALGO/USD,LONG,-2.4569918089679117,0.3497874950831557,False,1.0,6.25,0.16666666666666666,0.7679408533284113,3384098842.854815,20948430.16
2025-05-13,BONK/USD,LONG,-2.409127610682046,0.3747776708055798,False,2.0,12.5,0.16666666666666666,1.524254421075822,2620322044.1454067,1566566371437.3
2025-05-13,CRO/USD,LONG,-2.3610263708413872,0.4005329122794173,False,3.0,18.75,0.16666666666666666,0.6147405113058637,4226833510.875261,11612333.526666667
2025-05-20,ALGO/USD,LONG,-3.1487268045880286,0.09511100284180224,False,2.0,12.5,0.16666666666666666,0.8125315677310513,3384098842.854815,21357410.09
2025-05-20,BONK/USD,LONG,-3.5924767755985436,0.030487945165612915,True,1.0,6.25,0.16666666666666666,1.627009579505033,2620322044.1454067,1600632861506.8
2025-05-20,CRO/USD,LONG,-2.649862831524815,0.2574833648177256,False,3.0,18.75,0.16666666666666666,0.6320106665510214,4226833510.875261,13054000.136666667
2025-05-27,BONK/USD,LONG,-3.1605665464499593,0.09254948898406029,False,2.0,12.5,0.16666666666666666,1.285384589322955,2620322044.1454067,1428343275522.4333
2025-05-27,CRO/USD,LONG,-2.976003862636133,0.13891380389054203,False,3.0,18.75,0.16666666666666666,0.5399610392689347,4226833510.875261,11854171.686666667
2025-05-27,GIGA/USD,LONG,-4.0704835289892305,0.006964494981465746,True,1.0,6.25,0.16666666666666666,1.563366381827027,769429559.7931653,123485148.12333332
2025-06-03,CRO/USD,LONG,-4.110895598581191,0.00607867885334565,True,1.0,6.25,0.16666666666666666,0.5972492068426108,4226833510.875261,15766109.133333333
2025-06-03,GIGA/USD,LONG,-3.609807400363314,0.029026922363325693,True,2.0,12.5,0.16666666666666666,1.9860796923897959,769429559.7931653,144303271.12666667
2025-06-03,WIF/USD,LONG,-2.731656353058145,0.22317502928835775,False,3.0,18.75,0.16666666666666666,1.8335388905286976,2098966578.6955955,23837922.083666667
2025-06-10,CRO/USD,LONG,-2.8577530989211035,0.1765413403989075,False,2.0,12.5,0.16666666666666666,0.48234616052307305,4226833510.875261,13970586.153333332
2025-06-10,GIGA/USD,LONG,-2.7406925165908276,0.2195780142447003,False,3.0,18.75,0.16666666666666666,1.801550588578066,769429559.7931653,126374665.75333335
2025-06-10,TURBO/USD,LONG,-3.9469882173388156,0.010443672254657766,True,1.0,6.25,0.16666666666666666,1.2289335124898588,655209318.6224619,533724672.1
2025-06-17,GIGA/USD,LONG,-2.8797839903164646,0.16918373522824592,False,2.0,13.333333333333334,0.16666666666666666,1.687619357634849,769429559.7931653,129532940.45
2025-06-17,TURBO/USD,LONG,-2.6870495182745167,0.24149898879527304,False,3.0,20.0,0.16666666666666666,1.1938665217670597,655209318.6224619,458895341.76666665
2025-06-17,XLM/USD,LONG,-3.3455647818020027,0.059097004791616586,False,1.0,6.666666666666667,0.16666666666666666,0.46035412785370067,13373293388.155737,63775035.38948366
2025-06-24,PENGU/USD,LONG,-3.342532760253803,0.05955274885756175,False,2.0,13.333333333333334,0.16666666666666666,1.2611877130065938,2520508443.2097683,291824261.46666664
2025-06-24,RSR/USD,LONG,-2.8299188090913057,0.18617272101626475,False,3.0,20.0,0.16666666666666666,1.017407141603756,900348878.381598,40138466.96666667
2025-06-24,TURBO/USD,LONG,-3.583871922864369,0.031236468461511766,True,1.0,6.666666666666667,0.16666666666666666,1.2247507128197364,655209318.6224619,395288070.6
2025-07-01,BONK/USD,LONG,-3.3193611176292985,0.06313093842112007,False,2.0,14.285714285714285,0.25,1.0401245946210684,2620322044.1454067,566758061685.2667
2025-07-01,POPCAT/USD,LONG,-3.7879031663263807,0.01718307381502584,True,1.0,7.142857142857142,0.25,1.2647457816788983,844807311.7319478,16007108.801
2025-07-08,ATH/USD,LONG,-3.4632585799659945,0.043492153506706765,True,3.0,20.0,0.16666666666666666,0.7605058958365829,412583051.170054,16153859.533333333
2025-07-08,GIGA/USD,LONG,-4.341011187978142,0.002714886264460124,True,1.0,6.666666666666667,0.16666666666666666,1.2466580358912585,769429559.7931653,103639978.46
2025-07-08,WIF/USD,LONG,-4.111687700463654,0.0060623903562735905,True,2.0,13.333333333333334,0.16666666666666666,1.3684455548549586,2098966578.6955955,12441861.699
2025-07-15,CRO/USD,LONG,-1.9517416435041586,0.627455467152665,False,3.0,17.647058823529413,0.16666666666666666,0.8433899711344339,4226833510.875261,16328915.936666666
2025-07-15,GIGA/USD,LONG,-3.4213909144497046,0.04859487905400384,True,1.0,5.88235294117647,0.16666666666666666,1.2994041858280168,769429559.7931653,103074698.12999998
2025-07-15,PNUT/USD,LONG,-1.9710424811118366,0.6171152370593939,False,2.0,11.76470588235294,0.16666666666666666,1.3099695244136877,756472715.6159503,10871997.308
2025-07-22,CRO/USD,LONG,-1.7484522401723694,0.7290675753187319,False,2.0,12.5,0.16666666666666666,0.8076922691178402,4226833510.875261,20493184.033333335
2025-07-22,GIGA/USD,LONG,-2.0187177667644085,0.5912014476046846,False,1.0,6.25,0.16666666666666666,1.1466551421063285,769429559.7931653,110261791.39333335
2025-07-22,MOG/USD,LONG,-1.7446170389061084,0.730831262640195,False,3.0,18.75,0.16666666666666666,1.6202471418939086,1135029920.0852993,3454534582925.7334
2025-07-29,ALGO/USD,LONG,-2.35279819900338,0.40499466943996276,False,2.0,12.5,0.16666666666666666,1.1387027136334102,3384098842.854815,45554637.80333333
2025-07-29,BONK/USD,LONG,-3.3004952632613214,0.06617112378858718,False,1.0,6.25,0.16666666666666666,1.6332422719220019,2620322044.1454067,2713980709742.967
2025-07-29,XLM/USD,LONG,-2.3362531428358952,0.4140104618570202,False,3.0,18.75,0.16666666666666666,1.202897115621472,13373293388.155737,149373882.1014836
2025-08-05,ALGO/USD,LONG,-2.8212519365946975,0.18924837726835242,False,2.0,11.11111111111111,0.16666666666666666,1.1404823172379455,3384098842.854815,46685921.26333333
2025-08-05,BONK/USD,LONG,-3.025308339562353,0.1251422579084851,False,1.0,5.555555555555555,0.16666666666666666,1.5334908211018614,2620322044.1454067,2669267545025.3335
2025-08-05,ENA/USD,LONG,-2.723810085856339,0.22632997750321387,False,3.0,16.666666666666664,0.16666666666666666,1.4726286917536762,3796990285.900145,16882753.886666667
2025-08-12,ATH/USD,LONG,-3.5099193458378544,0.038341375342499345,True,1.0,5.263157894736842,0.16666666666666666,0.9863887892638602,412583051.170054,22211369.433333334
2025-08-12,GIGA/USD,LONG,-2.2882501605789107,0.4404596133175636,False,3.0,15.789473684210526,0.16666666666666666,1.089346546227181,769429559.7931653,92188333.22333334
2025-08-12,XLM/USD,LONG,-2.294839404640054,0.43680642280495896,False,2.0,10.526315789473683,0.16666666666666666,0.8566627694963656,13373293388.155737,126801280.7329411
2025-08-19,ATH/USD,LONG,-2.9550546639310737,0.14508322477833419,False,1.0,5.555555555555555,0.16666666666666666,0.946644741956756,412583051.170054,18587880.866666667
2025-08-19,CRO/USD,LONG,-2.4087611090794487,0.37497162063161205,False,3.0,16.666666666666664,0.16666666666666666,0.834744178958521,4226833510.875261,21149597.936666664
2025-08-19,ENA/USD,LONG,-2.685289549166572,0.2422411221503118,False,2.0,11.11111111111111,0.16666666666666666,1.4831464393188332,3796990285.900145,23416716.48
2025-08-26,ATH/USD,LONG,-2.2719380748534284,0.44952947792079884,False,3.0,17.647058823529413,0.16666666666666666,1.0859305319549653,412583051.170054,18219222.166666668
2025-08-26,FARTCOIN/USD,LONG,-2.4270686931725565,0.3653300560278745,False,1.0,5.88235294117647,0.16666666666666666,1.6983643571833151,1299695658.524675,36100532.365666665
2025-08-26,POPCAT/USD,LONG,-2.303261204263162,0.4321468759497518,False,2.0,11.76470588235294,0.16666666666666666,1.190243642953916,844807311.7319478,12145834.154000001
2025-09-02,CRO/USD,LONG,-4.115675709983058,0.0059809846313847136,True,1.0,5.555555555555555,0.16666666666666666,1.7598838661448934,4226833510.875261,115719993.97333334
2025-09-02,FARTCOIN/USD,LONG,-3.3825958742631137,0.053757029650000066,False,2.0,11.11111111111111,0.16666666666666666,1.6817931587332617,1299695658.524675,34782855.43733333
2025-09-02,PYTH/USD,LONG,-3.115190318528122,0.10266284545317245,False,3.0,16.666666666666664,0.16666666666666666,2.7158241671850534,1417261137.014019,26312025.93
2025-09-09,ALGO/USD,LONG,-4.197866056497801,0.004510305962799548,True,2.0,12.5,0.16666666666666666,0.8497273488824955,3384098842.854815,18600166.759999998
2025-09-09,TURBO/USD,LONG,-3.8811984319728334,0.012874375197534224,True,3.0,18.75,0.16666666666666666,1.060169719693817,655209318.6224619,235472735.33333334
2025-09-09,XLM/USD,LONG,-4.570274916204827,0.0011558610689892032,True,1.0,6.25,0.16666666666666666,0.6631692414685179,13373293388.155737,58855759.14244129
2025-09-16,ALGO/USD,LONG,-3.3134490861329864,0.06407123899158149,False,1.0,5.88235294117647,0.16666666666666666,0.7439276139160687,3384098842.854815,16093049.24
2025-09-16,PYTH/USD,LONG,-3.2212611132714315,0.08024780137878174,False,2.0,11.76470588235294,0.16666666666666666,2.7159277221674123,1417261137.014019,36097898.480000004
