date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_dw_long,avg_dw_short,btc_5d_pct,regime,daily_return
2024-10-10,2298.265384812322,0,1149.132692406161,0,1149.132692406161,1149.132692406161,1,0,1.5027789811673269,,,,0.009747882836020239
2024-10-11,2298.5279879784043,0,1149.2639939892022,0,1149.2639939892022,1149.2639939892022,1,0,1.494881013231315,,,,0.0001142614633704575
2024-10-12,2279.336154754603,0,1139.6680773773014,0,1139.6680773773014,1139.6680773773014,1,0,1.484169299653631,,,,-0.008349619114571216
2024-10-13,2317.1721184226462,0,1158.5860592113231,0,1158.5860592113231,1158.5860592113231,1,0,1.4518591208114493,,,,0.01659955403643254
2024-10-14,2311.416624218416,0,1155.708312109208,0,1155.708312109208,1155.708312109208,1,0,1.485831028667379,,,,-0.0024838440608150325
2024-10-15,2342.845636193244,0,1171.422818096622,0,1171.422818096622,1171.422818096622,1,0,1.5335516905584712,,,,0.01359729425042766
2024-10-16,2313.872449026604,0,1156.936224513302,0,1156.936224513302,1156.936224513302,1,0,1.572839630812752,,,,-0.0123666650158466
2024-10-17,2346.2497320350117,0,1173.1248660175058,0,1173.1248660175058,1173.1248660175058,1,0,1.569352911106362,,,,0.013992682709035309
2024-10-18,2347.2015575363293,0,1173.6007787681647,0,1173.6007787681647,1173.6007787681647,1,0,1.524601409574582,,,,0.0004056795354396847
2024-10-19,2412.00670573923,0,1206.003352869615,0,1206.003352869615,1206.003352869615,1,0,1.5953007776079813,,,,0.02760953698025026
2024-10-20,2366.740906869435,0,1183.3704534347175,0,1183.3704534347175,1183.3704534347175,1,0,1.6362565356657233,,,,-0.018766862779480364
2024-10-21,2353.46577859283,0,1176.732889296415,0,1176.732889296415,1176.732889296415,1,0,1.6419463275547803,,,,-0.005609033180638545
2024-10-22,2324.6698990461496,0,1162.3349495230748,0,1162.3349495230748,1162.3349495230748,1,0,1.7015280894712712,,,,-0.012235520825757518
2024-10-23,2351.221604864529,0,1175.6108024322646,0,1175.6108024322646,1175.6108024322646,1,0,1.6115695056053585,,,,0.011421710165935517
2024-10-24,2310.252045462971,0,1155.1260227314856,0,1155.1260227314856,1155.1260227314856,1,0,1.5854110985816625,,,,-0.017424797099854228
2024-10-25,2320.5310747306908,0,1160.2655373653454,0,1160.2655373653454,1160.2655373653454,1,0,1.5870096120112445,,,,0.004449310752870472
2024-10-26,2320.641993476281,0,1160.3209967381406,0,1160.3209967381406,1160.3209967381406,1,0,1.7784328040092539,,,,4.779886242345377e-05
2024-10-27,2322.1815098396733,0,1161.0907549198366,0,1161.0907549198366,1161.0907549198366,1,0,1.9603027983606949,,,,0.0006634010621715536
2024-10-28,2350.8296447093185,0,1175.4148223546592,0,1175.4148223546592,1175.4148223546592,1,0,1.9651852233528841,,,,0.012336733691253654
2024-10-29,2327.301273740425,0,1163.6506368702126,0,1163.6506368702126,1163.6506368702126,1,0,1.9660153741790007,,,,-0.01000853933497281
2024-10-30,2262.885262229963,0,1131.4426311149814,0,1131.4426311149814,1131.4426311149814,1,0,1.8510111787180847,,,,-0.027678415440787862
2024-10-31,2267.8282261035,0,1133.91411305175,0,1133.91411305175,1133.91411305175,1,0,1.9752656481372854,,,,0.002184363456707583
2024-11-01,2258.8958149076757,0,1129.4479074538378,0,1129.4479074538378,1129.4479074538378,1,0,1.7699793306691314,,,,-0.003938751221547188
2024-11-02,2215.391771540838,0,1107.695885770419,0,1107.695885770419,1107.695885770419,1,0,1.7226837560992598,,,,-0.019258986217837504
2024-11-03,2212.3528234460605,0,1106.1764117230302,0,1106.1764117230302,1106.1764117230302,1,0,1.6958300190619424,,,,-0.001371742972875567
2024-11-04,2260.907544970668,0,1130.453772485334,0,1130.453772485334,1130.453772485334,1,0,1.6040344146429533,,,,0.021947096778612618
2024-11-05,2335.6596819997217,0,1167.8298409998608,0,1167.8298409998608,1167.8298409998608,1,0,1.6656286599713999,,,,0.03306288980959793
2024-11-06,2344.2502140494053,0,1172.1251070247026,0,1172.1251070247026,1172.1251070247026,1,0,1.5984381895141508,,,,0.003677989612908217
2024-11-07,2422.697928461199,0,1211.3489642305994,0,1211.3489642305994,1211.3489642305994,1,0,1.522206422232513,,,,0.03346388279785417
2024-11-08,2447.3549592102754,0,1223.6774796051377,0,1223.6774796051377,1223.6774796051377,1,0,1.6170577247300357,,,,0.010177509321080525
2024-11-09,2548.1080189512086,0,1274.0540094756043,0,1274.0540094756043,1274.0540094756043,1,0,1.5651711867610754,,,,0.04116814333031793
2024-11-10,2665.1526032562456,0,1332.5763016281228,0,1332.5763016281228,1332.5763016281228,1,0,1.5719127300121918,,,,0.045933917806675995
2024-11-11,2621.847491885416,0,1310.923745942708,0,1310.923745942708,1310.923745942708,1,0,1.4394948392957823,,,,-0.01624864231711165
2024-11-12,2546.717379648686,0,1273.358689824343,0,1273.358689824343,1273.358689824343,1,0,1.2828884068216782,,,,-0.028655409008058852
2024-11-13,2613.0504419309464,0,1306.5252209654732,0,1306.5252209654732,1306.5252209654732,1,0,0.934671823824099,,,,0.02604649530895764
2024-11-14,2751.6531068631093,0,1375.8265534315547,0,1375.8265534315547,1375.8265534315547,1,0,1.7809834544178151,,,,0.053042475838981806
2024-11-15,3323.975008444974,0,1661.987504222487,0,1661.987504222487,1661.987504222487,1,0,1.9874393922684506,,,,0.20799202492290636
