date,long_return,short_return,long_short_return,direction_class
2023-03-14,0.03435279505776394,-0.030224212486423596,0.002064291285670171,Up
2023-03-15,0.04953448390362203,-0.0827218458435794,-0.016593680969978687,Up
2023-03-16,0.049422336857254834,-0.08174148294832254,-0.01615957304553385,Up
2023-03-17,-0.07547330102551433,0.038726879693537504,-0.018373210665988415,Up
2023-03-18,-0.0041688051811107915,-0.008408983441590818,-0.006288894311350804,Up
2023-03-19,-0.07220851717126084,0.053674184113302194,-0.009267166528979322,Up
2023-03-20,-0.042996835052637565,0.044023226259874884,0.0005131956036186595,Up
2023-03-21,-0.05022219403361237,0.04380758883859661,-0.0032073025975078787,Up
2023-03-22,-0.043118413944982885,0.04411429293685393,0.0004979394959355211,Down
2023-03-23,-0.050538963239586364,0.041451815637331954,-0.004543573801127205,Down
2023-03-24,0.030622018923017785,-0.030576693691875833,2.266261557097582e-05,Down
2023-03-25,0.04189744372376499,-0.03728303997608345,0.0023072018738407724,Down
2023-03-26,0.05099531782487003,-0.02594048316647376,0.012527417329198137,Down
2023-03-27,0.08044717296154087,-0.09625929417530135,-0.00790606060688024,Down
2023-03-28,0.04696201159923703,-0.025857161194339156,0.010552425202448939,Down
2023-03-29,-0.0018279718127708008,0.018254338253170386,0.008213183220199793,Down
2023-03-30,0.02316477999395794,-0.027662852386524155,-0.0022490361962831072,Down
2023-03-31,0.024306682717194186,-0.00303969633665773,0.010633493190268227,Up
2023-04-01,0.017224838046568065,0.0182872468967182,0.017756042471643134,Up
2023-04-02,0.017709084937917372,-0.010185388028528414,0.003761848454694479,Up
2023-04-03,0.015458873656046928,-0.012288017346410728,0.0015854281548181,Up
2023-04-04,0.008735842889491858,0.01437473630472863,0.011555289597110243,Up
2023-04-05,0.012128782416859869,0.000600506925084714,0.006364644670972292,Up
2023-04-06,0.013658021603267052,-0.006339974313538069,0.0036590236448644916,Up
2023-04-07,0.0065369749447599535,-0.01243708771097537,-0.0029500563831077083,Up
2023-04-08,0.04033228955223767,-0.04075624302439854,-0.00021197673608043532,Up
2023-04-09,0.07285867753422316,-0.06584318695947054,0.00350774528737631,Down
2023-04-10,0.044229776332531265,-0.048225642114974,-0.0019979328912213684,Up
2023-04-11,0.06655058194573853,-0.07460592508962517,-0.004027671571943323,Down
2023-04-12,0.043840131229713836,-0.060078071245129684,-0.008118970007707924,Up
2023-04-13,0.05782425043884213,-0.05725415513548795,0.00028504765167709084,Up
2023-04-14,-0.06668674907115223,0.06637009500405774,-0.00015832703354724115,Up
2023-04-15,-0.08718087896055289,0.09446271340421193,0.0036409172218295205,Up
2023-04-16,-0.10389506133332302,0.14992760926098575,0.023016273963831366,Up
2023-04-17,-0.07511694330039703,0.10705740995206982,0.015970233325836393,Up
2023-04-18,-0.13864502959831487,0.14075859339056673,0.00105678189612593,Up
2023-04-19,-0.0603797830784635,0.0635314521670286,0.0015758345442825512,Down
2023-04-20,-0.02280912347748476,0.023180251220742614,0.00018556387162892672,Down
2023-04-21,-0.0013333357847703324,0.0005226479038453464,-0.000405343940462493,Down
2023-04-22,0.012189221847481724,0.0016278894203620147,0.006908555633921869,Down
