date,portfolio_value,cash,num_positions,num_longs,num_shorts
2024-01-28,8111.4628434057595,0,1,1,0
2024-01-29,8352.448053492004,0,1,1,0
2024-01-30,8126.217039941652,0,1,1,0
2024-01-31,7865.5595678075515,0,1,1,0
2024-02-01,7845.887305759696,0,1,1,0
2024-02-02,7949.166681510942,0,1,1,0
2024-02-03,8190.151891597186,0,1,1,0
2024-02-04,7850.805371271658,0,1,1,0
2024-02-05,7895.067960879337,0,1,1,0
2024-02-06,8022.9376641904055,0,1,1,0
2024-02-07,8298.349332860398,0,1,1,0
2024-02-08,8347.529987980039,0,1,1,0
2024-02-09,8622.941656650033,0,1,1,0
2024-02-10,8662.286180745747,0,1,1,0
2024-02-11,8903.271390831991,0,1,1,0
2024-02-12,9050.813356190916,0,1,1,0
2024-02-13,8790.155884056814,0,1,1,0
2024-02-14,9075.403683750737,0,1,1,0
2024-02-15,9262.290173205374,0,1,1,0
2024-02-16,9601.636693530902,0,1,1,0
2024-02-17,9404.914073052336,0,1,1,0
2024-02-18,9699.998003770186,0,1,1,0
2024-02-19,10063.934851655533,0,1,1,0
2024-02-20,9699.998003770186,0,1,1,0
2024-02-21,9326.225024860909,0,1,1,0
2024-02-22,9321.306959348945,0,1,1,0
2024-02-23,9168.846928478055,0,1,1,0
2024-02-24,9739.342527865898,0,1,1,0
2024-02-25,10260.657472134102,0,1,1,0
2024-02-26,10481.970420172487,0,1,1,0
2024-02-27,10280.329734181956,0,1,1,0
2024-02-28,10413.117503004989,0,1,1,0
2024-02-29,10447.543961588739,0,1,1,0
2024-03-01,11283.615098622646,0,1,1,0
2024-03-02,12257.39206999155,0,1,1,0
2024-03-03,12404.934035350476,0,1,1,0
2024-03-04,12365.589511254762,0,1,1,0
2024-03-05,11455.747391541392,0,1,1,0
2024-03-06,12808.215407331538,0,1,1,0
2024-03-07,13821.336902796156,0,1,1,0
2024-03-08,13398.383268767238,0,1,1,0
2024-03-09,13304.940024039919,0,1,1,0
2024-03-10,12985.265765762246,0,1,1,0
2024-03-11,14406.586698719893,0,1,1,0
2024-03-12,15675.447600806647,0,1,1,0
2024-03-13,15724.62825592629,0,1,1,0
2024-03-14,15365.609473552904,0,1,1,0
2024-03-15,9214.384932517858,0,1,1,0
2024-03-16,8377.920304811412,0,1,1,0
2024-03-17,8680.464550162691,0,1,1,0
2024-03-18,8986.51933000645,0,1,1,0
2024-03-19,7477.095878076301,0,1,1,0
2024-03-20,8553.55340926815,0,1,1,0
2024-03-21,8814.290380209075,0,1,1,0
2024-03-22,9671.154461451819,0,1,1,0
2024-03-23,9959.33239368447,0,1,1,0
2024-03-24,10116.183714303068,0,1,1,0
2024-03-25,10225.490304936517,0,1,1,0
2024-03-26,10324.811841011193,0,1,1,0
2024-03-27,10026.119844706724,0,1,1,0
2024-03-28,10309.8673222676,0,1,1,0
2024-03-29,10356.934912766774,0,1,1,0
2024-03-30,10089.81280409162,0,1,1,0
2024-03-31,10233.722505156893,0,1,1,0
2024-04-01,9821.420464410176,0,1,1,0
2024-04-02,9304.212286438307,0,1,1,0
2024-04-03,9129.144565983514,0,1,1,0
2024-04-04,9316.765157559268,0,1,1,0
2024-04-05,9216.3421885916,0,1,1,0
2024-04-06,9338.06020678232,0,1,1,0
2024-04-07,9350.388919490406,0,1,1,0
2024-04-08,9658.457298250592,0,1,1,0
2024-04-09,9554.373075205978,0,1,1,0
2024-04-10,9377.736245861062,0,1,1,0
2024-04-11,9420.326344307174,0,1,1,0
2024-04-12,8292.734808078705,0,1,1,0
2024-04-13,7575.652045293957,0,1,1,0
2024-04-14,7970.245571423607,0,1,1,0
2024-04-15,7733.833165312224,0,1,1,0
2024-04-16,7881.92715675115,0,1,1,0
2024-04-17,7726.286498745456,0,1,1,0
2024-04-18,7943.421281349654,0,1,1,0
2024-04-19,8048.925174342471,0,1,1,0
2024-04-20,8354.826688444873,0,1,1,0
2024-04-21,8197.61692154906,0,1,1,0
2024-04-22,8525.18708222931,0,1,1,0
2024-04-23,8463.917116043678,0,1,1,0
2024-04-24,8239.83342264038,0,1,1,0
2024-04-25,8190.21969392421,0,1,1,0
2024-04-26,8207.778769599361,0,1,1,0
2024-04-27,8239.310386343674,0,1,1,0
2024-04-28,8081.577583151155,0,1,1,0
2024-04-29,8056.621279851153,0,1,1,0
2024-04-30,7732.637653776895,0,1,1,0
2024-05-01,7982.873162015523,0,1,1,0
2024-05-02,7930.943129699654,0,1,1,0
2024-05-03,8040.481874124207,0,1,1,0
2024-05-04,7977.866957461331,0,1,1,0
2024-05-05,7979.809663706243,0,1,1,0
2024-05-06,7889.922140143666,0,1,1,0
2024-05-07,7759.237785437974,0,1,1,0
2024-05-08,7706.560558412522,0,1,1,0
2024-05-09,7801.52900600025,0,1,1,0
2024-05-10,7630.047820151443,0,1,1,0
2024-05-11,7596.1998998074305,0,1,1,0
2024-05-12,7515.278712759824,0,1,1,0
2024-05-13,7457.819439593057,0,1,1,0
2024-05-14,7300.983270052035,0,1,1,0
2024-05-15,7672.936796481385,0,1,1,0
2024-05-16,7662.6255094891685,0,1,1,0
2024-05-17,7821.703263158932,0,1,1,0
2024-05-18,7769.026036133482,0,1,1,0
2024-05-19,7581.928480854436,0,1,1,0
2024-05-20,8098.688342000555,0,1,1,0
2024-05-21,8073.657319229596,0,1,1,0
2024-05-22,7954.255604638576,0,1,1,0
2024-05-23,7849.87250371013,0,1,1,0
2024-05-24,7921.603195829893,0,1,1,0
2024-05-25,7980.108541590074,0,1,1,0
2024-05-26,7802.649798064621,0,1,1,0
2024-05-27,7936.696528963426,0,1,1,0
2024-05-28,7742.500623943362,0,1,1,0
2024-05-29,7646.336664820306,0,1,1,0
2024-05-30,7662.550790018211,0,1,1,0
2024-05-31,7623.92082353288,0,1,1,0
2024-06-01,7634.829866292762,0,1,1,0
2024-06-02,7541.5799665370705,0,1,1,0
2024-06-03,7563.4727715277895,0,1,1,0
2024-06-04,7635.726499944258,0,1,1,0
2024-06-05,7684.069997654138,0,1,1,0
2024-06-06,7553.833959774196,0,1,1,0
2024-06-07,7172.017463178379,0,1,1,0
2024-06-08,7031.320699364303,0,1,1,0
2024-06-09,7154.38366803227,0,1,1,0
2024-06-10,7160.809542534666,0,1,1,0
2024-06-11,6918.419578746636,0,1,1,0
2024-06-12,7168.580367514307,0,1,1,0
2024-06-13,6971.8440004816675,0,1,1,0
2024-06-14,6920.661162875378,0,1,1,0
2024-06-15,7033.786441905921,0,1,1,0
2024-06-16,7093.487299201432,0,1,1,0
2024-06-17,6926.339842668193,0,1,1,0
2024-06-18,6514.112521392437,0,1,1,0
2024-06-19,6672.218921939744,0,1,1,0
2024-06-20,6708.457865354417,0,1,1,0
2024-06-21,6565.967834237348,0,1,1,0
2024-06-22,6477.275822210099,0,1,1,0
2024-06-23,6378.12308424872,0,1,1,0
2024-06-24,6365.0471768310545,0,1,1,0
2024-06-25,6555.058791477466,0,1,1,0
2024-06-26,6426.466581958602,0,1,1,0
2024-06-27,6515.382752398723,0,1,1,0
2024-06-28,6478.620772687345,0,1,1,0
2024-06-29,6423.627242062195,0,1,1,0
2024-06-30,6496.254567833454,0,1,1,0
2024-07-01,6524.872125210401,0,1,1,0
2024-07-02,6681.035819512799,0,1,1,0
2024-07-03,6438.421697311896,0,1,1,0
2024-07-04,6195.135099872368,0,1,1,0
2024-07-05,6078.124408352006,0,1,1,0
2024-07-06,6462.481366960399,0,1,1,0
2024-07-07,5964.177215140927,0,1,1,0
2024-07-08,6079.992395125959,0,1,1,0
2024-07-09,6271.348960249616,0,1,1,0
2024-07-10,6232.270676938537,0,1,1,0
2024-07-11,6323.652589920276,0,1,1,0
2024-07-12,6517.026580759802,0,1,1,0
2024-07-13,7332.290728383472,0,1,1,0
2024-07-14,7498.765709678087,0,1,1,0
2024-07-15,7516.548943766112,0,1,1,0
2024-07-16,7678.989073628989,0,1,1,0
2024-07-17,7900.308146606839,0,1,1,0
2024-07-18,7397.520826529882,0,1,1,0
2024-07-19,7559.437920096052,0,1,1,0
2024-07-20,7557.19633596731,0,1,1,0
2024-07-21,7568.10537872719,0,1,1,0
2024-07-22,7428.305248564613,0,1,1,0
2024-07-23,7238.218914447243,0,1,1,0
2024-07-24,7384.2954801703,0,1,1,0
2024-07-25,7326.313170706825,0,1,1,0
2024-07-26,7396.4000344655105,0,1,1,0
2024-07-27,7268.480300185267,0,1,1,0
2024-07-28,7181.581555461014,0,1,1,0
2024-07-29,7092.814823962808,0,1,1,0
2024-07-30,7346.263269452635,0,1,1,0
2024-07-31,7197.272644362212,0,1,1,0
2024-08-01,7103.350269367898,0,1,1,0
2024-08-02,6818.2207681918435,0,1,1,0
