date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2024-02-12,10235.943134384132,1,1,0.5,0.5,0.0,1.0,0.038554729997455364,-0.026506034722769176,-0.005735678965823943,14490.821841210956,-0.29362576901789145
2024-02-13,9744.761028413744,1,1,0.5,0.5,0.0,1.0,1.3675467203495666,-0.12326179884683978,-0.047986013552618334,14490.821841210956,-0.3275218524390192
2024-02-14,9826.85112886491,1,1,0.5,0.5,0.0,1.0,1.346348839068303,0.06180722531522484,0.008424023966499217,14490.821841210956,-0.32185688040701854
2024-02-15,9792.033524333838,1,1,0.5,0.5,0.0,1.0,1.3631425645051143,-0.01083453865510755,-0.003543108985217147,14490.821841210956,-0.3242596153873116
2024-02-16,10019.319619374917,1,1,0.5,0.5,0.0,1.0,1.072852351528006,-0.00990765326453805,0.023211327297466777,14490.821841210956,-0.3085747841519504
2024-02-17,10395.092084131673,1,1,0.5,0.5,0.0,1.0,1.3289649829182522,0.07875260142019627,0.03750478865152718,14490.821841210956,-0.28264302756323273
2024-02-18,10568.352347737402,1,1,0.5,0.5,0.0,1.0,1.6569579401975982,0.11545116144087675,0.016667506377381125,14490.821841210956,-0.2706864756502841
2024-02-19,10494.973421558298,1,1,0.5,0.5,0.0,1.0,1.5968990404940828,0.12069407326094025,-0.006943270224597842,14490.821841210956,-0.275750296528298
2024-02-20,10538.544863744932,1,1,0.5,0.5,0.0,1.0,1.2534098490589127,-0.09504784686916815,0.004151648645162931,14490.821841210956,-0.27274346622812
2024-02-21,10349.498837969826,1,1,0.5,0.5,0.0,1.0,1.26376178672623,-0.14162216276667206,-0.017938532142655506,14490.821841210956,-0.2857893809351431
2024-02-22,10156.429441773444,1,1,0.5,0.5,0.0,1.0,1.1416366396090805,-0.08842886025103888,-0.018654951241509177,14490.821841210956,-0.29911294520996606
