date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_trendline_score_long,avg_trendline_score_short,avg_r2_long,avg_r2_short,daily_return
2022-07-05,4993.180210021012,0,2496.590105010506,-2496.590105010506,0.0,4993.180210021012,2,1,-124.17326370870501,-407.10905247950313,0.4986462633605659,0.8142181049590063,0.0014053549857278025
2022-07-06,4983.5039294536355,0,2491.7519647268177,-2491.7519647268177,0.0,4983.5039294536355,2,1,-106.91449877827289,-409.3457287602919,0.4811599912089168,0.8186914575205838,-0.001937899326757031
2022-07-07,4969.618238114713,0,2484.8091190573564,-2484.8091190573564,0.0,4969.618238114713,2,1,-90.67318780958225,-408.10055631758706,0.45846309586437767,0.8162011126351741,-0.0027863309702346184
2022-07-08,4987.387347409842,0,2493.693673704921,-2493.693673704921,0.0,4987.387347409842,2,1,-89.44331394002552,-402.9671710507728,0.45149708720163323,0.8059343421015456,0.003575548149523433
2022-07-09,5038.11131081124,0,2519.05565540562,-2519.05565540562,0.0,5038.11131081124,2,1,-78.47997912892647,-393.5135642672877,0.42950545629164494,0.792181661793279,0.010170447945604622
2022-07-10,5098.1661525965765,0,2549.0830762982882,-2549.0830762982882,0.0,5098.1661525965765,1,1,-85.19167513933323,-393.078885560196,0.4877169306294883,0.786157771120392,0.011920110152482177
2022-07-11,5152.495696028752,0,2576.247848014376,-2576.247848014376,0.0,5152.495696028752,1,1,-110.3416708220897,-397.857160453575,0.5482437085197059,0.79571432090715,0.010656683561500735
2022-07-12,5079.810550284229,0,2539.9052751421145,-2539.9052751421145,0.0,5079.810550284229,2,1,-167.31840249814542,-406.8504977089076,0.5788222999891097,0.8137009954178152,-0.014106784368698166
2022-07-13,5075.316150838397,0,2537.6580754191987,-2537.6580754191987,0.0,5075.316150838397,2,1,-160.8856876185733,-403.5403721012295,0.5803553693115338,0.807080744202459,-0.0008847572958365912
2022-07-14,5028.340013692475,0,2514.1700068462374,-2514.1700068462374,0.0,5028.340013692475,2,1,-150.04993320802208,-402.0857958018986,0.5690192619744889,0.8041715916037973,-0.009255805106478499
2022-07-15,5045.16012223357,0,2522.580061116785,-2522.580061116785,0.0,5045.16012223357,2,1,-147.73959242705723,-395.4768062431263,0.5675547646774503,0.7909536124862526,0.003345061888275991
2022-07-16,5039.474052702677,0,2519.7370263513385,-2519.7370263513385,0.0,5039.474052702677,2,1,-134.13841451082598,-362.9920277795389,0.5509160645359936,0.7747734821003572,-0.0011270345029953388
2022-07-17,4937.153704511026,0,2468.576852255513,-2468.576852255513,0.0,4937.153704511026,2,1,-144.06586036951018,-364.4430495161071,0.5632792822804157,0.7646510190532642,-0.02030377518002624
2022-07-18,4926.3372712399405,0,2463.1686356199702,-2463.1686356199702,0.0,4926.3372712399405,2,1,-127.70909230948428,-299.53495794671903,0.5507260384255928,0.735160780297086,-0.002190823684748322
2022-07-19,4988.36295007588,0,2494.18147503794,-2494.18147503794,0.0,4988.36295007588,2,1,-94.40229359668149,-264.902948580198,0.5421913483018805,0.7020231204075912,0.01259062776680886
2022-07-20,4967.659792974367,0,2483.8298964871833,-2483.8298964871833,0.0,4967.659792974367,2,1,-92.5871234277648,-270.98723312975443,0.5176934807076097,0.6789383805856966,-0.004150290848663696
2022-07-21,4983.9375960609495,0,2491.9687980304748,-2491.9687980304748,0.0,4983.9375960609495,2,1,-80.4855849252061,-241.03727836623239,0.48246128645487896,0.6490449993013745,0.0032767548030572247
2022-07-22,4917.2620832015355,0,2458.6310416007677,-2458.6310416007677,0.0,4917.2620832015355,2,1,-76.76383791952892,-230.54632349051477,0.4622095780565603,0.625313608960997,-0.013378079394916753
2022-07-23,4982.479378733748,0,2491.239689366874,-2491.239689366874,0.0,4982.479378733748,2,1,-70.54716160834221,-205.75601877252305,0.43750825674915683,0.5965220004842027,0.013262928521749817
2022-07-24,5015.849997080049,0,2507.9249985400247,-2507.9249985400247,0.0,5015.849997080049,2,1,-63.04555274795616,-190.58957833277927,0.4102076403761662,0.5698632541003193,0.006697592866863555
2022-07-25,4968.998402740213,0,2484.4992013701067,-2484.4992013701067,0.0,4968.998402740213,2,1,-70.11591902599287,-205.64448805942214,0.41663062965002295,0.5653354019399823,-0.009340708826442223
2022-07-26,4798.339609457804,0,2399.169804728902,-2399.169804728902,0.0,4798.339609457804,2,1,-59.18323165280306,-198.63841193225122,0.3433567079023926,0.5593945719057816,-0.03434470681018886
2022-07-27,5117.994046489434,0,2558.997023244717,-2558.997023244717,0.0,5117.994046489434,2,1,-51.138438338399055,-157.74935088763908,0.3277107479891437,0.5282057113701304,0.06661771842942787
2022-07-28,4982.172985224302,0,2491.086492612151,-2491.086492612151,0.0,4982.172985224302,2,1,-27.945178940001853,-132.26087221804215,0.25072944353442833,0.484680549979359,-0.0265379482725846
